"","segment","dr","state"
"1",1,"down_10obs",2
"2",2,"down_10obs",2
"3",3,"down_10obs",2
"4",4,"down_10obs",2
"5",5,"down_10obs",2
"6",6,"down_10obs",2
"7",7,"down_10obs",2
"8",8,"down_10obs",2
"9",9,"down_10obs",2
"10",10,"down_10obs",2
"11",11,"down_10obs",2
"12",12,"down_10obs",2
"13",13,"down_10obs",2
"14",14,"down_10obs",2
"15",15,"down_10obs",2
"16",16,"down_10obs",2
"17",17,"down_10obs",2
"18",18,"down_10obs",2
"19",19,"down_10obs",2
"20",20,"down_10obs",2
"21",21,"down_10obs",2
"22",22,"down_10obs",2
"23",23,"down_10obs",2
"24",24,"down_10obs",2
"25",25,"down_10obs",2
"26",26,"down_10obs",2
"27",27,"down_10obs",2
"28",28,"down_10obs",2
"29",29,"down_10obs",2
"30",30,"down_10obs",2
"31",31,"down_10obs",2
"32",32,"down_10obs",2
"33",33,"down_10obs",2
"34",34,"down_10obs",2
"35",35,"down_10obs",2
"36",36,"down_10obs",2
"37",37,"down_10obs",2
"38",38,"down_10obs",1.7
"39",39,"down_10obs",1.6
"40",40,"down_10obs",1.7
"41",41,"down_10obs",2
"42",42,"down_10obs",1.8
"43",43,"down_10obs",1.9
"44",44,"down_10obs",1.6
"45",45,"down_10obs",2
"46",46,"down_10obs",1.5
"47",47,"down_10obs",1.7
"48",48,"down_10obs",2
"49",49,"down_10obs",1.9
"50",50,"down_10obs",2
"51",1,"down_5obs",2
"52",2,"down_5obs",2
"53",3,"down_5obs",2
"54",4,"down_5obs",2
"55",5,"down_5obs",2
"56",6,"down_5obs",2
"57",7,"down_5obs",2
"58",8,"down_5obs",2
"59",9,"down_5obs",2
"60",10,"down_5obs",2
"61",11,"down_5obs",2
"62",12,"down_5obs",2
"63",13,"down_5obs",2
"64",14,"down_5obs",2
"65",15,"down_5obs",2
"66",16,"down_5obs",2
"67",17,"down_5obs",2
"68",18,"down_5obs",2
"69",19,"down_5obs",2
"70",20,"down_5obs",2
"71",21,"down_5obs",2
"72",22,"down_5obs",2
"73",23,"down_5obs",2
"74",24,"down_5obs",2
"75",25,"down_5obs",2
"76",26,"down_5obs",2
"77",27,"down_5obs",2
"78",28,"down_5obs",2
"79",29,"down_5obs",2
"80",30,"down_5obs",2
"81",31,"down_5obs",2
"82",32,"down_5obs",2
"83",33,"down_5obs",2
"84",34,"down_5obs",2
"85",35,"down_5obs",2
"86",36,"down_5obs",1.9
"87",37,"down_5obs",1.9
"88",38,"down_5obs",1.9
"89",39,"down_5obs",1.8
"90",40,"down_5obs",1.9
"91",41,"down_5obs",1.9
"92",42,"down_5obs",1.9
"93",43,"down_5obs",1.9
"94",44,"down_5obs",1.9
"95",45,"down_5obs",1.8
"96",46,"down_5obs",1.7
"97",47,"down_5obs",1.8
"98",48,"down_5obs",1.9
"99",49,"down_5obs",1.7
"100",50,"down_5obs",1.3
"101",1,"down_no_obs",2
"102",2,"down_no_obs",2
"103",3,"down_no_obs",2
"104",4,"down_no_obs",2
"105",5,"down_no_obs",2
"106",6,"down_no_obs",2
"107",7,"down_no_obs",2
"108",8,"down_no_obs",2
"109",9,"down_no_obs",2
"110",10,"down_no_obs",2
"111",11,"down_no_obs",2
"112",12,"down_no_obs",2
"113",13,"down_no_obs",2
"114",14,"down_no_obs",2
"115",15,"down_no_obs",2
"116",16,"down_no_obs",2
"117",17,"down_no_obs",2
"118",18,"down_no_obs",2
"119",19,"down_no_obs",2
"120",20,"down_no_obs",2
"121",21,"down_no_obs",2
"122",22,"down_no_obs",2
"123",23,"down_no_obs",2
"124",24,"down_no_obs",2
"125",25,"down_no_obs",2
"126",26,"down_no_obs",2
"127",27,"down_no_obs",2
"128",28,"down_no_obs",2
"129",29,"down_no_obs",1.9
"130",30,"down_no_obs",2
"131",31,"down_no_obs",2
"132",32,"down_no_obs",1.9
"133",33,"down_no_obs",1.9
"134",34,"down_no_obs",2
"135",35,"down_no_obs",2
"136",36,"down_no_obs",1.7
"137",37,"down_no_obs",1.8
"138",38,"down_no_obs",2
"139",39,"down_no_obs",1.8
"140",40,"down_no_obs",2
"141",41,"down_no_obs",1.7
"142",42,"down_no_obs",1.7
"143",43,"down_no_obs",2
"144",44,"down_no_obs",2
"145",45,"down_no_obs",1.9
"146",46,"down_no_obs",1.9
"147",47,"down_no_obs",1.8
"148",48,"down_no_obs",2
"149",49,"down_no_obs",1.7
"150",50,"down_no_obs",1.5
"151",1,"rand_10obs",1.8
"152",2,"rand_10obs",2
"153",3,"rand_10obs",1.9
"154",4,"rand_10obs",1.9
"155",5,"rand_10obs",2
"156",6,"rand_10obs",2
"157",7,"rand_10obs",1.9
"158",8,"rand_10obs",1.8
"159",9,"rand_10obs",2
"160",10,"rand_10obs",1.9
"161",11,"rand_10obs",2
"162",12,"rand_10obs",2
"163",13,"rand_10obs",2
"164",14,"rand_10obs",2
"165",15,"rand_10obs",1.9
"166",16,"rand_10obs",1.9
"167",17,"rand_10obs",1.8
"168",18,"rand_10obs",1.9
"169",19,"rand_10obs",1.9
"170",20,"rand_10obs",1.9
"171",21,"rand_10obs",1.9
"172",22,"rand_10obs",1.9
"173",23,"rand_10obs",1.8
"174",24,"rand_10obs",1.9
"175",25,"rand_10obs",1.8
"176",26,"rand_10obs",1.9
"177",27,"rand_10obs",2
"178",28,"rand_10obs",2
"179",29,"rand_10obs",2
"180",30,"rand_10obs",2
"181",31,"rand_10obs",2
"182",32,"rand_10obs",1.9
"183",33,"rand_10obs",2
"184",34,"rand_10obs",1.9
"185",35,"rand_10obs",1.9
"186",36,"rand_10obs",2
"187",37,"rand_10obs",2
"188",38,"rand_10obs",2
"189",39,"rand_10obs",1.8
"190",40,"rand_10obs",2
"191",41,"rand_10obs",1.9
"192",42,"rand_10obs",2
"193",43,"rand_10obs",2
"194",44,"rand_10obs",1.9
"195",45,"rand_10obs",1.9
"196",46,"rand_10obs",2
"197",47,"rand_10obs",2
"198",48,"rand_10obs",2
"199",49,"rand_10obs",2
"200",50,"rand_10obs",1.9
"201",1,"rand_5obs",1.9
"202",2,"rand_5obs",2
"203",3,"rand_5obs",2
"204",4,"rand_5obs",1.8
"205",5,"rand_5obs",2
"206",6,"rand_5obs",2
"207",7,"rand_5obs",2
"208",8,"rand_5obs",2
"209",9,"rand_5obs",1.8
"210",10,"rand_5obs",1.9
"211",11,"rand_5obs",2
"212",12,"rand_5obs",2
"213",13,"rand_5obs",1.8
"214",14,"rand_5obs",1.9
"215",15,"rand_5obs",2
"216",16,"rand_5obs",1.9
"217",17,"rand_5obs",1.9
"218",18,"rand_5obs",1.8
"219",19,"rand_5obs",2
"220",20,"rand_5obs",2
"221",21,"rand_5obs",1.8
"222",22,"rand_5obs",1.9
"223",23,"rand_5obs",1.9
"224",24,"rand_5obs",1.9
"225",25,"rand_5obs",1.8
"226",26,"rand_5obs",2
"227",27,"rand_5obs",1.9
"228",28,"rand_5obs",1.9
"229",29,"rand_5obs",2
"230",30,"rand_5obs",1.9
"231",31,"rand_5obs",2
"232",32,"rand_5obs",2
"233",33,"rand_5obs",2
"234",34,"rand_5obs",2
"235",35,"rand_5obs",1.9
"236",36,"rand_5obs",2
"237",37,"rand_5obs",2
"238",38,"rand_5obs",2
"239",39,"rand_5obs",1.9
"240",40,"rand_5obs",1.9
"241",41,"rand_5obs",1.7
"242",42,"rand_5obs",1.9
"243",43,"rand_5obs",2
"244",44,"rand_5obs",2
"245",45,"rand_5obs",2
"246",46,"rand_5obs",1.9
"247",47,"rand_5obs",1.9
"248",48,"rand_5obs",1.9
"249",49,"rand_5obs",2
"250",50,"rand_5obs",2
"251",1,"rand_no_obs",1.8
"252",2,"rand_no_obs",1.9
"253",3,"rand_no_obs",2
"254",4,"rand_no_obs",1.9
"255",5,"rand_no_obs",2
"256",6,"rand_no_obs",2
"257",7,"rand_no_obs",2
"258",8,"rand_no_obs",1.9
"259",9,"rand_no_obs",1.9
"260",10,"rand_no_obs",1.9
"261",11,"rand_no_obs",2
"262",12,"rand_no_obs",2
"263",13,"rand_no_obs",1.9
"264",14,"rand_no_obs",2
"265",15,"rand_no_obs",2
"266",16,"rand_no_obs",2
"267",17,"rand_no_obs",1.9
"268",18,"rand_no_obs",1.9
"269",19,"rand_no_obs",1.9
"270",20,"rand_no_obs",1.8
"271",21,"rand_no_obs",2
"272",22,"rand_no_obs",1.8
"273",23,"rand_no_obs",1.8
"274",24,"rand_no_obs",2
"275",25,"rand_no_obs",1.9
"276",26,"rand_no_obs",2
"277",27,"rand_no_obs",2
"278",28,"rand_no_obs",2
"279",29,"rand_no_obs",2
"280",30,"rand_no_obs",2
"281",31,"rand_no_obs",1.9
"282",32,"rand_no_obs",1.9
"283",33,"rand_no_obs",2
"284",34,"rand_no_obs",2
"285",35,"rand_no_obs",2
"286",36,"rand_no_obs",2
"287",37,"rand_no_obs",1.9
"288",38,"rand_no_obs",1.9
"289",39,"rand_no_obs",1.9
"290",40,"rand_no_obs",1.8
"291",41,"rand_no_obs",2
"292",42,"rand_no_obs",2
"293",43,"rand_no_obs",2
"294",44,"rand_no_obs",2
"295",45,"rand_no_obs",2
"296",46,"rand_no_obs",2
"297",47,"rand_no_obs",1.9
"298",48,"rand_no_obs",2
"299",49,"rand_no_obs",1.9
"300",50,"rand_no_obs",1.6
