"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps",0.500168486623547,0.288562398558085,0.0252093065355439,0.2501693071099,0.500331579241902,0.75051942007849,0.974753731751116,0.999999301253113,3e+05,0,1,"eps",0.576930387010313,1,1
"eps1",0.499968785689335,0.288517688112728,0.0251026852269956,0.250363983632548,0.499397397228269,0.749876714502599,0.975074432206712,1.00000206647643,283070,0,1,"eps",0.577071401997491,2,1
"eps2",0.500288573690419,0.288404419271513,0.0253942833455182,0.250822491145308,0.499994174563183,0.750274888508223,0.975162307666618,1.0000013332348,3e+05,0,1,"eps",0.576476126856296,3,1
"eps3",0.500521595799439,0.288248566749387,0.0252561011254721,0.251211654136635,0.501081593543272,0.749767725838355,0.974654108653804,0.999997628647401,3e+05,0,1,"eps",0.575896363250806,4,1
"eps4",0.50078016600423,0.288135248574514,0.0256238355856826,0.25191061379823,0.501217322596112,0.750098188040688,0.974445112897365,1.0000028873845,3e+05,0,1,"eps",0.57537272466993,5,1
"eps5",0.500417566881208,0.288294886611837,0.0250602660842899,0.251679328702008,0.500316508777597,0.75023423745375,0.974559426581547,0.9999967251012,3e+05,0,1,"eps",0.576108645443045,6,1
"eps6",0.500612615032652,0.288270188755063,0.0251602369532082,0.251926211849653,0.501189817976368,0.749655926108909,0.974954983213985,0.999996343529806,3e+05,0,1,"eps",0.575834847342512,7,1
"eps7",0.501088629141731,0.288438529271589,0.0250998882860807,0.251025664942359,0.501275443484531,0.750554830718898,0.974937177154898,0.999999559565129,3e+05,0,1,"eps",0.575623776906751,8,1
"eps8",0.501758096068482,0.288147410702914,0.0253284226770005,0.252925486492883,0.502349068784181,0.750627239760366,0.97501015799755,0.999997008647392,3e+05,0,1,"eps",0.574275558203622,9,1
"eps9",0.501749575689981,0.288018843000498,0.0259411557267232,0.252768528780864,0.502263923204452,0.751216546102114,0.975001338095663,1.00000865522892,149613,0,1,"eps",0.574029071383724,10,1
"eps10",0.500064908121286,0.288521944795185,0.0252894257020671,0.250077251635958,0.500473664724268,0.749689910851885,0.975051114527741,1.00000318676832,269754,0,1,"eps",0.576968989644053,1,2
"eps11",0.500275730918055,0.288444839409758,0.0249268734874583,0.251038530191528,0.49971168224374,0.749827127696821,0.974648244252442,0.999997131514886,3e+05,0,1,"eps",0.576571721519319,2,2
"eps21",0.500680067533649,0.288812209115219,0.0253645610648588,0.250855277687271,0.500019441925291,0.751326017757525,0.975153452559588,0.999998113013118,3e+05,0,1,"eps",0.576839838138371,3,2
"eps31",0.501783423163624,0.288927363995037,0.0253974339301061,0.251475942911843,0.503000371586967,0.752804803441174,0.975534625408757,1.00000438842699,256049,0,1,"eps",0.575800934541478,4,2
"eps41",0.502356135130994,0.28902109157299,0.0251982009269845,0.251871732933986,0.503768610510811,0.753092991995245,0.975970093785073,1.00000830487046,244430,0,1,"eps",0.575331067665025,5,2
"eps51",0.502993538752351,0.289316057526402,0.0249645853994739,0.252693226853125,0.50438548790447,0.753765134014585,0.976044917168568,1.00000816959805,156269,0,1,"eps",0.575188417417915,6,2
"eps61",0.502348265711817,0.289510365444097,0.0251493642230875,0.251342591366964,0.503028081583014,0.754189308164456,0.976162623235668,1.00000353318333,3e+05,0,1,"eps",0.576314053824525,7,2
