"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.00275235003706785,0.997732767600208,-1.95123932308052,-0.669456909059344,0.00266895004038518,0.673132347774438,1.95312264165657,1.00000841819987,215795,1,0.501113333333333,"gamma0",1,1
"gamma01",0.00377986915654977,1.00312885397318,-1.95965577319817,-0.676289179499632,0.00202106192106372,0.681313067929398,1.97085167760924,1.00000353939564,243335,1,0.500783333333333,"gamma0",2,1
"gamma02",0.00141908333878849,1.00015018033146,-1.96494139516483,-0.67234854856414,0.00155191910848429,0.674156570059755,1.9603281005874,1.0000019147851,3e+05,1,0.500656666666667,"gamma0",3,1
"gamma03",0.000942008232033143,1.00162692369339,-1.96151799004183,-0.676017992379697,0.000707778472654971,0.677318894224199,1.96140464833432,1.00000604472741,3e+05,1,0.50032,"gamma0",4,1
"gamma04",0.00361018177311419,0.998118153740961,-1.95217283141336,-0.670941011913813,0.00485084272422541,0.676394432291249,1.96326181553599,1.00001380116091,125817,1,0.501896666666667,"gamma0",5,1
"gamma05",0.00479350139745841,1.00209218148598,-1.95557403075002,-0.672940867216932,0.00338976458961734,0.67954673293377,1.97811068520192,0.999997832106989,3e+05,1,0.50128,"gamma0",6,1
"gamma06",0.00227876146839497,0.998089229341463,-1.95712853641243,-0.670673529764082,0.00221636856575826,0.676030062424386,1.95656417671972,1.00000157126974,3e+05,1,0.500976666666667,"gamma0",7,1
"gamma07",0.003275737588755,1.00243246756448,-1.96145183888025,-0.672276439817755,0.00124003957630828,0.681476003678869,1.96405047335032,1.00000179820978,3e+05,1,0.500473333333333,"gamma0",8,1
"gamma08",0.00341936709616232,1.0005110047815,-1.96064039057537,-0.669911139953844,0.0026195004170258,0.678820199793199,1.96466895979747,1.00000162916559,3e+05,1,0.50105,"gamma0",9,1
"gamma09",0.00600648673075008,0.999555134689458,-1.94880249163336,-0.669275137219794,0.00466487296247301,0.679672263623151,1.9645061550078,1.00000261230354,3e+05,1,0.501986666666667,"gamma0",10,1
"gamma010",-0.000716138298388199,0.997305941783261,-1.95520754103218,-0.675456685947933,-0.00100133042058869,0.671048586528351,1.95370012883985,1.00000291289922,285016,1,0.50047,"gamma0",1,2
"gamma011",0.000489354088190278,1.0013817204986,-1.96740414121493,-0.677571051072092,0.00413212654170357,0.676998653403498,1.95930164778914,1.00003410185677,75175,1,0.501643333333333,"gamma0",2,2
"gamma021",-0.00150589256766815,0.999587358960153,-1.95832249991747,-0.676642975635028,-0.0029746958938184,0.674058190062657,1.95370837212615,0.99999880207659,3e+05,1,0.501066666666667,"gamma0",3,2
"gamma031",-0.00130945142571927,1.00132147690979,-1.95798135413435,-0.678011899887212,-0.00264245662150725,0.674688867647709,1.9625589961155,0.999997970822352,3e+05,1,0.50109,"gamma0",4,2
