"","n.rem","year","sim","segment"
"1","1","1","1",1
"2","2","1","1",2
"3","3","1","1",3
"4","4","1","1",4
"5","5","1","1",5
"6","1","2","1",45
"7","2","2","1",46
"8","3","2","1",47
"9","4","2","1",48
"10","5","2","1",49
"11","1","3","1",37
"12","2","3","1",38
"13","3","3","1",40
"14","4","3","1",43
"15","5","3","1",44
"16","1","4","1",36
"17","2","4","1",39
"18","3","4","1",41
"19","4","4","1",42
"20","5","4","1",50
"21","1","5","1",31
"22","2","5","1",32
"23","3","5","1",33
"24","4","5","1",34
"25","5","5","1",35
"26","1","6","1",45
"27","2","6","1",46
"28","3","6","1",47
"29","4","6","1",48
"30","5","6","1",49
"31","1","7","1",38
"32","2","7","1",40
"33","3","7","1",43
"34","4","7","1",44
"35","5","7","1",50
"36","1","8","1",32
"37","2","8","1",33
"38","3","8","1",34
"39","4","8","1",35
"40","5","8","1",37
"41","1","9","1",45
"42","2","9","1",46
"43","3","9","1",47
"44","4","9","1",48
"45","5","9","1",49
"46","1","10","1",36
"47","2","10","1",39
"48","3","10","1",41
"49","4","10","1",42
"50","5","10","1",50
"51","1","1","2",1
"52","2","1","2",2
"53","3","1","2",3
"54","4","1","2",4
"55","5","1","2",5
"56","1","2","2",38
"57","2","2","2",41
"58","3","2","2",44
"59","4","2","2",46
"60","5","2","2",48
"61","1","3","2",33
"62","2","3","2",34
"63","3","3","2",35
"64","4","3","2",36
"65","5","3","2",37
"66","1","4","2",43
"67","2","4","2",45
"68","3","4","2",47
"69","4","4","2",49
"70","5","4","2",50
"71","1","5","2",31
"72","2","5","2",32
"73","3","5","2",39
"74","4","5","2",40
"75","5","5","2",42
"76","1","6","2",37
"77","2","6","2",38
"78","3","6","2",44
"79","4","6","2",46
"80","5","6","2",48
"81","1","7","2",34
"82","2","7","2",35
"83","3","7","2",36
"84","4","7","2",41
"85","5","7","2",50
"86","1","8","2",33
"87","2","8","2",39
"88","3","8","2",43
"89","4","8","2",45
"90","5","8","2",47
"91","1","9","2",28
"92","2","9","2",29
"93","3","9","2",30
"94","4","9","2",37
"95","5","9","2",49
"96","1","10","2",41
"97","2","10","2",42
"98","3","10","2",44
"99","4","10","2",46
"100","5","10","2",50
"101","1","1","3",1
"102","2","1","3",2
"103","3","1","3",3
"104","4","1","3",4
"105","5","1","3",5
"106","1","2","3",37
"107","2","2","3",40
"108","3","2","3",42
"109","4","2","3",43
"110","5","2","3",48
"111","1","3","3",31
"112","2","3","3",32
"113","3","3","3",33
"114","4","3","3",34
"115","5","3","3",35
"116","1","4","3",45
"117","2","4","3",46
"118","3","4","3",47
"119","4","4","3",49
"120","5","4","3",50
"121","1","5","3",36
"122","2","5","3",38
"123","3","5","3",39
"124","4","5","3",41
"125","5","5","3",44
"126","1","6","3",34
"127","2","6","3",35
"128","3","6","3",42
"129","4","6","3",43
"130","5","6","3",48
"131","1","7","3",37
"132","2","7","3",40
"133","3","7","3",45
"134","4","7","3",46
"135","5","7","3",50
"136","1","8","3",29
"137","2","8","3",30
"138","3","8","3",31
"139","4","8","3",32
"140","5","8","3",33
"141","1","9","3",43
"142","2","9","3",44
"143","3","9","3",47
"144","4","9","3",48
"145","5","9","3",49
"146","1","10","3",38
"147","2","10","3",39
"148","3","10","3",41
"149","4","10","3",42
"150","5","10","3",50
"151","1","1","4",1
"152","2","1","4",2
"153","3","1","4",3
"154","4","1","4",4
"155","5","1","4",5
"156","1","2","4",42
"157","2","2","4",44
"158","3","2","4",45
"159","4","2","4",47
"160","5","2","4",49
"161","1","3","4",31
"162","2","3","4",33
"163","3","3","4",34
"164","4","3","4",35
"165","5","3","4",38
"166","1","4","4",41
"167","2","4","4",43
"168","3","4","4",46
"169","4","4","4",48
"170","5","4","4",50
"171","1","5","4",32
"172","2","5","4",36
"173","3","5","4",37
"174","4","5","4",39
"175","5","5","4",40
"176","1","6","4",42
"177","2","6","4",44
"178","3","6","4",45
"179","4","6","4",47
"180","5","6","4",49
"181","1","7","4",33
"182","2","7","4",34
"183","3","7","4",35
"184","4","7","4",38
"185","5","7","4",50
"186","1","8","4",40
"187","2","8","4",41
"188","3","8","4",43
"189","4","8","4",46
"190","5","8","4",48
"191","1","9","4",29
"192","2","9","4",30
"193","3","9","4",32
"194","4","9","4",36
"195","5","9","4",37
"196","1","10","4",44
"197","2","10","4",45
"198","3","10","4",47
"199","4","10","4",49
"200","5","10","4",50
"201","1","1","5",1
"202","2","1","5",2
"203","3","1","5",3
"204","4","1","5",4
"205","5","1","5",5
"206","1","2","5",39
"207","2","2","5",40
"208","3","2","5",42
"209","4","2","5",47
"210","5","2","5",48
"211","1","3","5",25
"212","2","3","5",27
"213","3","3","5",28
"214","4","3","5",31
"215","5","3","5",35
"216","1","4","5",44
"217","2","4","5",45
"218","3","4","5",46
"219","4","4","5",49
"220","5","4","5",50
"221","1","5","5",36
"222","2","5","5",37
"223","3","5","5",38
"224","4","5","5",41
"225","5","5","5",43
"226","1","6","5",34
"227","2","6","5",39
"228","3","6","5",40
"229","4","6","5",47
"230","5","6","5",48
"231","1","7","5",33
"232","2","7","5",42
"233","3","7","5",44
"234","4","7","5",45
"235","5","7","5",50
"236","1","8","5",32
"237","2","8","5",35
"238","3","8","5",36
"239","4","8","5",37
"240","5","8","5",38
"241","1","9","5",43
"242","2","9","5",46
"243","3","9","5",47
"244","4","9","5",48
"245","5","9","5",49
"246","1","10","5",33
"247","2","10","5",34
"248","3","10","5",40
"249","4","10","5",41
"250","5","10","5",50
