"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps",0.500082964868942,0.288345540100454,0.025094196817372,0.251275788061321,0.500420064083301,0.750049970927648,0.974680317123421,1.00000867707617,163110,0,1,"eps",0.576595405876347,1,6
"eps1",0.50010410179532,0.288479012923582,0.0249144895770724,0.250443460114474,0.499269379643571,0.750301911711896,0.974745279203652,0.999997205638998,3e+05,0,1,"eps",0.576837926119728,2,6
"eps2",0.500777158668878,0.288579468646357,0.0251151031634335,0.251239093672536,0.49999105352181,0.75044955768107,0.975423491046906,0.999997526927108,3e+05,0,1,"eps",0.576263241345579,3,6
"eps3",0.499823306295943,0.288352599017939,0.0250590915014999,0.250820460386985,0.500006693565853,0.748912827417551,0.974808680042594,0.999999792181061,3e+05,0,1,"eps",0.576909070436997,4,6
"eps4",0.500352276552901,0.28815141969545,0.025239089089423,0.251001408376706,0.500628306754872,0.749933546868411,0.97493210180894,0.999996145849118,3e+05,0,1,"eps",0.575897089308006,5,6
"eps5",0.500612657465888,0.288062318059925,0.0258375463214579,0.251351377347594,0.500711034196494,0.749759389832433,0.974568173130972,0.999998306499594,3e+05,0,1,"eps",0.575419565933677,6,6
"eps6",0.50069542516585,0.288128865346548,0.0253971736564424,0.251219935580921,0.500570056186528,0.750526744198747,0.974648460045972,1.00000575234167,258507,0,1,"eps",0.575457355639127,7,6
"eps7",0.500521301319196,0.288261018078619,0.0259098562765644,0.250625556973243,0.500692567353953,0.750050182356543,0.974298974835069,1.00000901577626,146497,0,1,"eps",0.575921578799675,8,6
"eps8",0.500779623907413,0.288440207345245,0.0260240859761332,0.25098959676176,0.501432362727073,0.750643161317571,0.975148132791081,1.00000317053207,3e+05,0,1,"eps",0.575982315523632,9,6
"eps9",0.500766617011206,0.288826622324593,0.0252001168422336,0.250896370424476,0.500968475715746,0.751616430069687,0.975081324315323,0.999996171497874,3e+05,0,1,"eps",0.576768922913505,10,6
"eps10",0.499849581558096,0.288840833322269,0.024659406056162,0.249667944211978,0.500982405501418,0.749854418507311,0.975106130400672,0.999999771685749,3e+05,0,1,"eps",0.577855506894523,1,7
"eps11",0.500307069656019,0.289283740249646,0.0248308297772526,0.248964879198834,0.500095910836198,0.752296653923383,0.974913466028621,0.999997069512704,3e+05,0,1,"eps",0.578212377547533,2,7
"eps21",0.499805325115215,0.289638111643841,0.0245906379899344,0.248512285301599,0.499043824772465,0.752129109840726,0.975043893096727,1.00000649460418,184709,0,1,"eps",0.579501852200303,3,7
"eps31",0.499904010179316,0.290123334590166,0.0239415688302502,0.247474481147086,0.499282145283492,0.752016200124077,0.975511560153157,0.999997805935665,3e+05,0,1,"eps",0.58035808611757,4,7
"eps41",0.499537784024208,0.289908638227636,0.0242255837967277,0.24783637701326,0.498749452496061,0.751215680517251,0.97602707304962,1.00000014567836,3e+05,0,1,"eps",0.580353774027204,5,7
