"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","segment","year","sim"
"State.fin[1]",1.45815666666667,0.498246889559214,1,1,1,2,2,0.999997939825459,3e+05,0,1,"State.fin[1]",1,1,6
"State.fin[2]",1.41120666666667,0.492053402600495,1,1,1,2,2,0.999995741882162,3e+05,0,1,"State.fin[2]",2,1,6
"State.fin[3]",1.41429666666667,0.492601002341699,1,1,1,2,2,1.00000115937083,3e+05,0,1,"State.fin[3]",3,1,6
"State.fin[4]",1.41616333333333,0.492922126942616,1,1,1,2,2,1.00001059106862,132012,0,1,"State.fin[4]",4,1,6
"State.fin[5]",1.40209,0.490320745310092,1,1,1,2,2,0.999995213657462,3e+05,0,1,"State.fin[5]",5,1,6
"State.fin[6]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,1,6
"State.fin[7]",1.59127666666667,0.491598795448899,1,1,2,2,2,1.00000112135101,3e+05,0,1,"State.fin[7]",7,1,6
"State.fin[8]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,1,6
"State.fin[9]",1.60849333333333,0.488088097296165,1,1,2,2,2,1.00000270350848,272426,0,1,"State.fin[9]",9,1,6
"State.fin[10]",1.66077666666667,0.473446523514104,1,1,2,2,2,1.00000113264384,3e+05,0,1,"State.fin[10]",10,1,6
"State.fin[11]",1.60841,0.488106613415778,1,1,2,2,2,1.00000387864758,236350,0,1,"State.fin[11]",11,1,6
"State.fin[12]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,1,6
"State.fin[13]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,1,6
"State.fin[14]",1.61385,0.486866478235966,1,1,2,2,2,0.999999989349526,3e+05,0,1,"State.fin[14]",14,1,6
"State.fin[15]",1.61285333333333,0.487098466471215,1,1,2,2,2,1.00000948316145,145489,0,1,"State.fin[15]",15,1,6
"State.fin[16]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,1,6
"State.fin[17]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,1,6
"State.fin[18]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,1,6
"State.fin[19]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,1,6
"State.fin[20]",1.61349333333333,0.486949744521001,1,1,2,2,2,1.0000063130513,186365,0,1,"State.fin[20]",20,1,6
"State.fin[21]",1.61305666666667,0.487051312340043,1,1,2,2,2,1.00000105599203,3e+05,0,1,"State.fin[21]",21,1,6
"State.fin[22]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,1,6
"State.fin[23]",1.59146,0.491564719902591,1,1,2,2,2,1.00000187177138,3e+05,0,1,"State.fin[23]",23,1,6
"State.fin[24]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,1,6
"State.fin[25]",1.61290666666667,0.48708610682829,1,1,2,2,2,1.00000060226255,3e+05,0,1,"State.fin[25]",25,1,6
"State.fin[26]",1.61296666666667,0.487072194874605,1,1,2,2,2,1.0000035765532,245705,0,1,"State.fin[26]",26,1,6
"State.fin[27]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,1,6
"State.fin[28]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,1,6
"State.fin[29]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,1,6
"State.fin[30]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,1,6
"State.fin[31]",1.59159333333333,0.491539893254295,1,1,2,2,2,1.00000337138415,247179,0,1,"State.fin[31]",31,1,6
"State.fin[32]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[32]",32,1,6
"State.fin[33]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,1,6
"State.fin[34]",1.59116,0.491620443061041,1,1,2,2,2,0.999999916492617,3e+05,0,1,"State.fin[34]",34,1,6
"State.fin[35]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,1,6
"State.fin[36]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,1,6
"State.fin[37]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,1,6
"State.fin[38]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[38]",38,1,6
"State.fin[39]",1.60934333333333,0.487898379725039,1,1,2,2,2,1.00000478533229,214633,0,1,"State.fin[39]",39,1,6
"State.fin[40]",1.65447333333333,0.475540474707148,1,1,2,2,2,1.00000363900135,255955,0,1,"State.fin[40]",40,1,6
"State.fin[41]",1.64715333333333,0.477856314852504,1,1,2,2,2,0.999997936119526,3e+05,0,1,"State.fin[41]",41,1,6
"State.fin[42]",1.65469333333333,0.475468953972086,1,1,2,2,2,0.99999975739619,3e+05,0,1,"State.fin[42]",42,1,6
"State.fin[43]",1.60903,0.487968495715495,1,1,2,2,2,1.00000350972108,246767,0,1,"State.fin[43]",43,1,6
"State.fin[44]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[44]",44,1,6
"State.fin[45]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[45]",45,1,6
"State.fin[46]",1.61290333333333,0.487086879486247,1,1,2,2,2,1.00000376459717,240457,0,1,"State.fin[46]",46,1,6
"State.fin[47]",1.61303666666667,0.487055954417866,1,1,2,2,2,0.999998419423746,3e+05,0,1,"State.fin[47]",47,1,6
"State.fin[48]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[48]",48,1,6
"State.fin[49]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[49]",49,1,6
"State.fin[50]",1.67360666666667,0.468893866626997,1,1,2,2,2,1.00000085777552,3e+05,0,1,"State.fin[50]",50,1,6
"State.fin[1]1",1.96051,0.194757968606048,1,2,2,2,2,0.999997270600146,3e+05,0,1,"State.fin[1]",1,2,6
"State.fin[2]1",1.90055,0.299265761545353,1,2,2,2,2,0.999998530704867,3e+05,0,1,"State.fin[2]",2,2,6
"State.fin[3]1",1.9085,0.288319314464751,1,2,2,2,2,1.00000451048424,3e+05,0,1,"State.fin[3]",3,2,6
"State.fin[4]1",1.91280333333333,0.282123507175728,1,2,2,2,2,0.999995361299437,3e+05,0,1,"State.fin[4]",4,2,6
"State.fin[5]1",1.88050666666667,0.324368659612762,1,2,2,2,2,0.999998586864662,3e+05,0,1,"State.fin[5]",5,2,6
"State.fin[6]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,2,6
"State.fin[7]1",1.85763,0.349429807120066,1,2,2,2,2,0.999995309663346,3e+05,0,1,"State.fin[7]",7,2,6
"State.fin[8]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,2,6
"State.fin[9]1",1.87926333333333,0.325821542956389,1,2,2,2,2,1.00004221777044,99724,0,1,"State.fin[9]",9,2,6
"State.fin[10]1",1.91745333333333,0.275196233499138,1,2,2,2,2,1.00000166760519,3e+05,0,1,"State.fin[10]",10,2,6
"State.fin[11]1",1.87909333333333,0.326019322920516,1,2,2,2,2,1.00000648392682,3e+05,0,1,"State.fin[11]",11,2,6
"State.fin[12]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,2,6
"State.fin[13]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,2,6
"State.fin[14]1",1.88552,0.318393887371536,1,2,2,2,2,1.00001303090375,273591,0,1,"State.fin[14]",14,2,6
"State.fin[15]1",1.88478333333333,0.319283770642945,1,2,2,2,2,1.00004230328575,103705,0,1,"State.fin[15]",15,2,6
"State.fin[16]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,2,6
"State.fin[17]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,2,6
"State.fin[18]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,2,6
"State.fin[19]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,2,6
"State.fin[20]1",1.88477333333333,0.319295821752015,1,2,2,2,2,0.999995613046247,3e+05,0,1,"State.fin[20]",20,2,6
"State.fin[21]1",1.88456666666667,0.319544706186192,1,2,2,2,2,0.999995406530502,3e+05,0,1,"State.fin[21]",21,2,6
"State.fin[22]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,2,6
"State.fin[23]1",1.85751,0.349552581438078,1,2,2,2,2,1.00001670793977,188435,0,1,"State.fin[23]",23,2,6
"State.fin[24]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,2,6
"State.fin[25]1",1.88524,0.318732616835705,1,2,2,2,2,0.999995108186816,3e+05,0,1,"State.fin[25]",25,2,6
"State.fin[26]1",1.88415666666667,0.320037492911188,1,2,2,2,2,0.999995496171007,3e+05,0,1,"State.fin[26]",26,2,6
"State.fin[27]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,2,6
"State.fin[28]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,2,6
"State.fin[29]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,2,6
"State.fin[30]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,2,6
"State.fin[31]1",1.85748,0.349583261844047,1,2,2,2,2,0.999995623770074,3e+05,0,1,"State.fin[31]",31,2,6
"State.fin[32]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[32]",32,2,6
"State.fin[33]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,2,6
"State.fin[34]1",1.85776333333333,0.349293292246267,1,2,2,2,2,0.999998283440244,3e+05,0,1,"State.fin[34]",34,2,6
"State.fin[35]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,2,6
"State.fin[36]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,2,6
"State.fin[37]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,2,6
"State.fin[38]1",1.48464,0.499764847653051,1,1,1,2,2,1.00000648114142,174364,0,1,"State.fin[38]",38,2,6
"State.fin[39]1",1.90949666666667,0.286901994354757,1,2,2,2,2,0.999998188797375,3e+05,0,1,"State.fin[39]",39,2,6
"State.fin[40]1",1.91019666666667,0.285900274779125,1,2,2,2,2,1.00000504059232,3e+05,0,1,"State.fin[40]",40,2,6
"State.fin[41]1",1.908,0.289026432103124,1,2,2,2,2,1.00000378634773,3e+05,0,1,"State.fin[41]",41,2,6
"State.fin[42]1",1.90982666666667,0.286430404746909,1,2,2,2,2,1.0000346155975,153884,0,1,"State.fin[42]",42,2,6
"State.fin[43]1",1.90913666666667,0.287415141123602,1,2,2,2,2,0.999997672522965,3e+05,0,1,"State.fin[43]",43,2,6
"State.fin[44]1",1.49621,0.499986469005143,1,1,1,2,2,0.999995831280885,3e+05,0,1,"State.fin[44]",44,2,6
"State.fin[45]1",1.49656,0.499988999575657,1,1,1,2,2,0.999998237377763,3e+05,0,1,"State.fin[45]",45,2,6
"State.fin[46]1",1.90970666666667,0.28660202562315,1,2,2,2,2,1.00001140776188,3e+05,0,1,"State.fin[46]",46,2,6
"State.fin[47]1",1.91089,0.284902928145,1,2,2,2,2,1.00000225662989,3e+05,0,1,"State.fin[47]",47,2,6
"State.fin[48]1",1.49589666666667,0.499983995679404,1,1,1,2,2,1.00000331522514,240544,0,1,"State.fin[48]",48,2,6
"State.fin[49]1",1.49271666666667,0.499947783488279,1,1,1,2,2,1.00000044456987,3e+05,0,1,"State.fin[49]",49,2,6
"State.fin[50]1",1.95961666666667,0.19685692494225,1,2,2,2,2,0.999998266423244,3e+05,0,1,"State.fin[50]",50,2,6
"State.fin[1]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,3,6
"State.fin[2]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,3,6
"State.fin[3]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,3,6
"State.fin[4]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,3,6
