"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.000923021636924377,1.00085490962585,-1.96003997911922,-0.674878188780622,0.00102173040533601,0.677609658664653,1.95990143084914,1.00001014854415,3e+05,1,0.500423333333333,"gamma0",1,6
"gamma01",-0.0016601307145979,0.999497698603697,-1.95995157502952,-0.677199434469559,-0.00231051830107745,0.671208469954061,1.95985418374853,1.00000498729225,3e+05,1,0.500926666666667,"gamma0",2,6
"gamma02",-0.00224645696320969,1.00062016379145,-1.96427034382989,-0.678075268033119,-0.00223638877524629,0.67423518679897,1.96047404217234,0.999997406374696,3e+05,1,0.50094,"gamma0",3,6
"gamma03",-0.00380874272368072,0.998881928091915,-1.9642222810435,-0.676985893402204,-0.00432150010024349,0.666753686993243,1.95445462048808,1.00000081639306,3e+05,1,0.501773333333333,"gamma0",4,6
"gamma04",-0.00108113541804206,0.998587701208638,-1.95656302684306,-0.675211024707119,-0.00267475876199474,0.67235604667319,1.95588854455504,0.999999113264697,3e+05,1,0.50113,"gamma0",5,6
"gamma05",0.000240445696840873,0.999346466159842,-1.95799331813055,-0.674026142721897,0.000364881325759709,0.671778995138663,1.95643972696176,0.999997437514362,3e+05,1,0.500193333333333,"gamma0",6,6
"gamma06",-0.00282319050800922,1.00009077332535,-1.96153688824202,-0.679198331597982,-0.00114592489344602,0.671818770824938,1.96314582394234,1.00000011091839,3e+05,1,0.50042,"gamma0",7,6
"gamma07",-0.00470493723249591,0.997920300305659,-1.95848968023934,-0.6801811773055,-0.00498448024353597,0.665884760257849,1.95866897724998,1.00002001756814,80292,1,0.501966666666667,"gamma0",8,6
"gamma08",-0.00213415129637869,1.00056639490823,-1.96359402291165,-0.677907947056198,-0.00210031352200341,0.672071209152446,1.95619951596022,1.00000369661174,256267,1,0.500886666666667,"gamma0",9,6
"gamma09",-0.0042712937509881,1.0005060568147,-1.96497058880864,-0.67841854743768,-0.00530043213103541,0.669958510772174,1.95756195889457,0.999995936008963,3e+05,1,0.50214,"gamma0",10,6
"gamma010",0.000499703044157462,1.00007144889592,-1.96175318637225,-0.672962310797578,-0.00137558616627949,0.675755593835288,1.96080275477075,1.00001698032647,168669,1,0.49948,"gamma0",1,7
"gamma011",0.0008638050678818,0.999280755022029,-1.96356969256869,-0.671880786118929,0.000968703642538498,0.673219174299073,1.96504958447587,1.00000699022236,3e+05,1,0.500363333333333,"gamma0",2,7
"gamma021",6.33626661561755e-05,1.00046216851297,-1.95329905944547,-0.677439279122035,0.00145449950451792,0.673489364730954,1.96427904321296,1.00000952131726,163495,1,0.500596666666667,"gamma0",3,7
"gamma031",0.00237533549471641,0.998591383081286,-1.95296217222803,-0.671170792625046,0.00516065967011858,0.679403140076787,1.95594851485028,1.00000608584757,191485,1,0.50204,"gamma0",4,7
"gamma041",0.00228236510642021,0.999294878952335,-1.95555944986676,-0.671772283305433,0.00097991826006139,0.673618712513966,1.96415754973579,0.99999768553551,3e+05,1,0.50037,"gamma0",5,7
"gamma051",0.00202811722583413,0.999968144139421,-1.95726361696174,-0.67187750059275,0.00198712447234581,0.675085409284413,1.96817782400892,0.999999261556371,3e+05,1,0.500773333333333,"gamma0",6,7
"gamma061",-0.00116501552113541,1.00075465200944,-1.96293865860102,-0.677457716468016,0.000385113837320906,0.674528194714153,1.95769964480773,0.99999911174046,3e+05,1,0.499836666666667,"gamma0",7,7
"gamma071",0.0031382146235821,1.00025517152937,-1.95897420812846,-0.67262807632172,0.0056965491081337,0.675620609547331,1.9599432542554,0.999999040560076,3e+05,1,0.50236,"gamma0",8,7
"gamma081",0.00102291283984702,1.00186560758802,-1.96599666486469,-0.673343717284453,0.00197171000320932,0.676654832341792,1.95945190467543,1.0000023342178,3e+05,1,0.50086,"gamma0",9,7
"gamma091",0.0010693607238571,0.99896427413507,-1.95842788824878,-0.673012096188526,0.000307306257045883,0.674472126368333,1.95288060324317,1.00000520797251,3e+05,1,0.5001,"gamma0",10,7
"gamma012",-0.00295543196056648,0.999819488857886,-1.95962986958382,-0.678709669207869,-0.00355969144315183,0.671861387427956,1.95834879248174,0.999998116241427,3e+05,1,0.501383333333333,"gamma0",1,8
"gamma013",-0.000800892931144118,1.00149757363804,-1.96548202642272,-0.674473156840398,5.87978681051006e-06,0.674296509787603,1.96038400655637,1.00000203234718,3e+05,1,0.5,"gamma0",2,8
"gamma022",-0.000613623528672815,1.00031995803025,-1.96265762550483,-0.675938878689395,0.000852829908260942,0.671838495984768,1.96090347912061,1.00001420831069,201149,1,0.499676666666667,"gamma0",3,8
