"","n.obs","year","sim","segment"
"1","1","1","1",12
"2","2","1","1",15
"3","3","1","1",22
"4","4","1","1",23
"5","5","1","1",24
"6","6","1","1",27
"7","7","1","1",33
"8","8","1","1",36
"9","9","1","1",39
"10","10","1","1",45
"11","1","2","1",42
"12","2","2","1",44
"13","3","2","1",46
"14","4","2","1",47
"15","5","2","1",48
"16","6","2","1",40
"17","7","2","1",39
"18","8","2","1",38
"19","9","2","1",37
"20","10","2","1",36
"21","1","3","1",49
"22","2","3","1",50
"23","3","3","1",43
"24","4","3","1",45
"25","5","3","1",41
"26","6","3","1",40
"27","7","3","1",39
"28","8","3","1",38
"29","9","3","1",37
"30","10","3","1",36
"31","1","4","1",41
"32","2","4","1",42
"33","3","4","1",43
"34","4","4","1",44
"35","5","4","1",45
"36","6","4","1",46
"37","7","4","1",47
"38","8","4","1",48
"39","9","4","1",49
"40","10","4","1",36
"41","1","5","1",50
"42","2","5","1",44
"43","3","5","1",43
"44","4","5","1",42
"45","5","5","1",41
"46","6","5","1",40
"47","7","5","1",39
"48","8","5","1",38
"49","9","5","1",37
"50","10","5","1",36
"51","1","6","1",45
"52","2","6","1",46
"53","3","6","1",47
"54","4","6","1",48
"55","5","6","1",49
"56","6","6","1",40
"57","7","6","1",39
"58","8","6","1",38
"59","9","6","1",37
"60","10","6","1",36
"61","1","7","1",50
"62","2","7","1",41
"63","3","7","1",42
"64","4","7","1",43
"65","5","7","1",44
"66","6","7","1",46
"67","7","7","1",47
"68","8","7","1",48
"69","9","7","1",37
"70","10","7","1",36
"71","1","8","1",49
"72","2","8","1",50
"73","3","8","1",44
"74","4","8","1",45
"75","5","8","1",41
"76","6","8","1",40
"77","7","8","1",39
"78","8","8","1",38
"79","9","8","1",37
"80","10","8","1",36
"81","1","9","1",42
"82","2","9","1",43
"83","3","9","1",46
"84","4","9","1",47
"85","5","9","1",48
"86","6","9","1",40
"87","7","9","1",39
"88","8","9","1",38
"89","9","9","1",37
"90","10","9","1",36
"91","1","10","1",47
"92","2","10","1",48
"93","3","10","1",49
"94","4","10","1",50
"95","5","10","1",41
"96","6","10","1",44
"97","7","10","1",45
