"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps",0.500497647093721,0.288906808818095,0.024734074721545,0.249629012384428,0.500443733391532,0.750429896121837,0.97525838983676,1.00005432575673,37211,0,1,"eps",0.577239094920252,1,6
"eps1",0.509008540215082,0.289971616202618,0.0262518832580932,0.258061638922267,0.512914717972656,0.761520999242021,0.977551717648307,1.00039994300862,5519,0,1,"eps",0.569679275086603,2,6
"eps2",0.501264372156157,0.288025832817456,0.0254512627419156,0.252329221531392,0.50282417538059,0.750391986007218,0.974472557563089,1.00026818706054,10594,0,1,"eps",0.574598652560387,3,6
"eps3",0.499111833455504,0.288247043222631,0.0257904446193233,0.24970698157407,0.49757534364682,0.749551295738518,0.974427162166226,1.00023148349008,26982,0,1,"eps",0.577519954249549,4,6
"eps4",0.500822272091035,0.290350688108633,0.0249042188556428,0.249451420127148,0.499815327614764,0.753819299490688,0.976529834498007,1.00016402262123,11923,0,1,"eps",0.579747955090654,5,6
"eps5",0.502930332111167,0.294302210612579,0.0236289223412324,0.244773070933752,0.502008355237697,0.761922954433821,0.978980246491453,1.00018860366495,20268,0,1,"eps",0.585174907580493,6,6
"eps6",0.498315080158996,0.293437752278049,0.0207401598921578,0.242271033683211,0.497760851287934,0.754465217641588,0.977957005207042,1.0003892298501,5675,0,1,"eps",0.588859867906109,7,6
"eps7",0.494358568420624,0.29291286709382,0.0220519917719979,0.236986039828978,0.49274739014541,0.749853699709405,0.976779324089528,1.00001785982969,101943,0,1,"eps",0.592510954203985,8,6
"eps8",0.496273629383443,0.294338068930278,0.0210834330135584,0.237999436316298,0.494896586658751,0.753067622274335,0.978717362115552,1.00020546573935,11647,0,1,"eps",0.593096331344375,9,6
"eps9",0.490559548791159,0.294960446580209,0.019570075905766,0.230632523248973,0.486267389862661,0.748250017547637,0.977325049219434,1.00241254888808,842,0,1,"eps",0.601273479044599,10,6
"eps10",0.50277624906563,0.288428217430109,0.0250661408676504,0.253886624839209,0.505352404851775,0.751922605100441,0.974804444250127,1.00020025065475,16510,0,1,"eps",0.573671126999595,1,7
"eps11",0.505590250333482,0.290777538806751,0.0251465432389416,0.253838141889398,0.507228358877954,0.758654334451113,0.977278517516856,1.00012013356785,38268,0,1,"eps",0.575124893359706,2,7
"eps21",0.504778187751305,0.290192214607309,0.0248726894817652,0.252636878889261,0.507169327150491,0.757599645903664,0.976400082257855,1.00055187862307,3737,0,1,"eps",0.574890559158395,3,7
"eps31",0.502728209651669,0.292103891282408,0.0239010998148314,0.248593421547483,0.503661682946043,0.756910155934769,0.978942378457883,1.00029913438126,9963,0,1,"eps",0.581037398885577,4,7
"eps41",0.508153060117399,0.292895844779691,0.0237287862052938,0.253357685287161,0.512666701793235,0.764967227793728,0.979046112979275,1.00099220697914,2214,0,1,"eps",0.576392956704862,5,7
"eps51",0.504715402072201,0.292365150235857,0.0237731472095823,0.250027365312369,0.506234676303243,0.761826797482844,0.978070917184166,1.00008581777855,29779,0,1,"eps",0.579267343606909,6,7
"eps61",0.510157803336818,0.293044455783465,0.0238387400617363,0.256168645146009,0.514229669434873,0.767131257990038,0.979895982051262,1.00029723092071,8727,0,1,"eps",0.574419236296558,7,7
"eps71",0.502503368336038,0.291761709730829,0.0231290867056018,0.249736366645611,0.502334585439659,0.758127851326174,0.977644417692321,1.00007593826293,36120,0,1,"eps",0.580616425909647,8,7
"eps81",0.504175152603766,0.292029396763043,0.0237804905768311,0.249424108787416,0.507107704170533,0.760405031375378,0.976158154654422,1.00034008684426,10650,0,1,"eps",0.579222112107042,9,7
"eps91",0.505926574669005,0.290924715555709,0.0239915716657418,0.253141692159429,0.509530838101019,0.759880253571005,0.977783504265145,1.00021891665433,9794,0,1,"eps",0.575033473475954,10,7
"eps12",0.499547347317214,0.289652183384283,0.0245529197083214,0.248183729347624,0.499309064155199,0.751567753264111,0.975182527944947,1.00063641588772,3239,0,1,"eps",0.579829289335317,1,8
"eps13",0.496872379160374,0.289295571963258,0.0246119600375376,0.246315172723837,0.49383098391306,0.748574197123015,0.974311083537134,1.0011251054594,1956,0,1,"eps",0.582233153012281,2,8
"eps22",0.497129973233239,0.287367109541314,0.0238850317535827,0.249667877370106,0.49632999508732,0.744162387467634,0.973870503188899,1.00002141618047,80076,0,1,"eps",0.578052270057935,3,8
"eps32",0.502419600586496,0.287049702279134,0.0262185583896471,0.253617146708355,0.504270450213441,0.750921675112894,0.973423697069582,1.00108264293978,1862,0,1,"eps",0.571334601484592,4,8
"eps42",0.503667796694975,0.28643676990852,0.026908469364265,0.257913740609568,0.504951800054537,0.75028615179573,0.975421018960647,1.00080135045848,2755,0,1,"eps",0.568701774836695,5,8
"eps52",0.514992657279315,0.290029031888384,0.0286425740139715,0.264185752056807,0.517869395010655,0.769885444646714,0.978527972212564,1.00024097836385,27226,0,1,"eps",0.563171198246973,6,8
"eps62",0.519116696737214,0.2897507746419,0.0289619656307161,0.270646005083045,0.524997848035115,0.773640997281411,0.979615485573437,1.00060079592037,3557,0,1,"eps",0.558161154251174,7,8
"eps72",0.515370741163392,0.287156723735001,0.0292859728511023,0.270363993551113,0.520364117081725,0.764646083857366,0.979420523910545,1.00100780481768,2500,0,1,"eps",0.557184761957531,8,8
"eps82",0.519575910390717,0.287744004512712,0.0302359053389927,0.273514910285563,0.52715586663565,0.770647439032113,0.979758757260362,1.00094604323506,2125,0,1,"eps",0.553805514763629,9,8
"eps92",0.516610228283945,0.286657747103284,0.030766680354608,0.270994427356044,0.522812940569929,0.766792848401134,0.977433784115835,1.00013594201707,15312,0,1,"eps",0.554882058869589,10,8
"eps14",0.49967088127061,0.289342103410867,0.0248567334621086,0.248971926014078,0.499173020482753,0.750619468567094,0.975509299690102,1.00008548813615,22725,0,1,"eps",0.579065369338916,1,9
"eps15",0.506659117562272,0.289928927776903,0.0249144726554591,0.256278507287092,0.50928850388466,0.759060457159854,0.977509210222872,1.00081758438144,2500,0,1,"eps",0.572236672995958,2,9
"eps23",0.503380824959288,0.288965569244016,0.0262918247129513,0.254098984096462,0.502858332294837,0.754117903338716,0.976895884202999,1.00007463693111,27443,0,1,"eps",0.57404961594909,3,9
"eps33",0.5066587431738,0.290169094346987,0.0254830941478595,0.255950707095957,0.508728600721069,0.760950065990738,0.976457424262255,1.00055421787418,4425,0,1,"eps",0.572711116222563,4,9
"eps43",0.506784104125116,0.287015093613884,0.0263016044554832,0.2601195271997,0.511359986988293,0.753862991690801,0.97550883136433,1.00028794345537,7859,0,1,"eps",0.566345888274004,5,9
"eps53",0.501725386763555,0.28582073285258,0.0268577043986621,0.256378355821416,0.501971060715253,0.748858370242419,0.97365644872731,1.00105714661402,2192,0,1,"eps",0.569675644073551,6,9
