"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","segment","year","sim"
"State.fin[1]",1.63081333333333,0.482585379096504,1,1,2,2,2,1.00018532514536,11284,0,1,"State.fin[1]",1,1,6
"State.fin[2]",1.61987,0.485419373881899,1,1,2,2,2,1.00014493563536,14157,0,1,"State.fin[2]",2,1,6
"State.fin[3]",1.62109666666667,0.485114812984337,1,1,2,2,2,1.00029611416941,7060,0,1,"State.fin[3]",3,1,6
"State.fin[4]",1.62251666666667,0.484758135249309,1,1,2,2,2,1.0002550330344,8189,0,1,"State.fin[4]",4,1,6
"State.fin[5]",1.61683666666667,0.486158391016233,1,1,2,2,2,1.0003333354024,6262,0,1,"State.fin[5]",5,1,6
"State.fin[6]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,1,6
"State.fin[7]",1.97785333333333,0.147160674127869,2,2,2,2,2,1.03797857970276,581,0,1,"State.fin[7]",7,1,6
"State.fin[8]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,1,6
"State.fin[9]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,1,6
"State.fin[10]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,1,6
"State.fin[11]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,1,6
"State.fin[12]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,1,6
"State.fin[13]",1.97801333333333,0.146640120135333,2,2,2,2,2,1.05473355622328,398,0,1,"State.fin[13]",13,1,6
"State.fin[14]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,1,6
"State.fin[15]",1.97834666666667,0.145549088296741,2,2,2,2,2,1.03009240224306,757,0,1,"State.fin[15]",15,1,6
"State.fin[16]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,1,6
"State.fin[17]",1.97853,0.144945193540054,2,2,2,2,2,1.04213182085351,537,0,1,"State.fin[17]",17,1,6
"State.fin[18]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,1,6
"State.fin[19]",1.98225666666667,0.132017292620225,2,2,2,2,2,1.06278963090686,422,0,1,"State.fin[19]",19,1,6
"State.fin[20]",1.98839666666667,0.107092176268871,2,2,2,2,2,1.02905150071363,1443,0,1,"State.fin[20]",20,1,6
"State.fin[21]",1.98988666666667,0.100055420605347,2,2,2,2,2,1.05721427118439,806,0,1,"State.fin[21]",21,1,6
"State.fin[22]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,1,6
"State.fin[23]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[23]",23,1,6
"State.fin[24]",1.97977,0.140786409746741,2,2,2,2,2,1.04935039395205,481,0,1,"State.fin[24]",24,1,6
"State.fin[25]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[25]",25,1,6
"State.fin[26]",1.98369333333333,0.126652330252012,2,2,2,2,2,1.03266943803049,915,0,1,"State.fin[26]",26,1,6
"State.fin[27]",1.98887333333333,0.104894712125497,2,2,2,2,2,1.03750246078301,1151,0,1,"State.fin[27]",27,1,6
"State.fin[28]",1.98273666666667,0.130251169694478,2,2,2,2,2,1.04039660281044,693,0,1,"State.fin[28]",28,1,6
"State.fin[29]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,1,6
"State.fin[30]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,1,6
"State.fin[31]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,1,6
"State.fin[32]",1.95795333333333,0.200695985888652,1,2,2,2,2,1.03705885971573,324,0,1,"State.fin[32]",32,1,6
"State.fin[33]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,1,6
"State.fin[34]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[34]",34,1,6
"State.fin[35]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,1,6
"State.fin[36]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,1,6
"State.fin[37]",1.97815333333333,0.146182971148349,2,2,2,2,2,1.03061686855945,737,0,1,"State.fin[37]",37,1,6
"State.fin[38]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[38]",38,1,6
"State.fin[39]",1.9834,0.12776734486942,2,2,2,2,2,1.04276547240767,678,0,1,"State.fin[39]",39,1,6
"State.fin[40]",1.98815333333333,0.108195943439497,2,2,2,2,2,1.02057236733837,2020,0,1,"State.fin[40]",40,1,6
"State.fin[41]",1.98233,0.131749113695045,2,2,2,2,2,1.05023638566517,538,0,1,"State.fin[41]",41,1,6
"State.fin[42]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[42]",42,1,6
"State.fin[43]",1.98113,0.136066104571575,2,2,2,2,2,1.04260116486172,601,0,1,"State.fin[43]",43,1,6
"State.fin[44]",1.98883666666667,0.105065456350106,2,2,2,2,2,1.04619671100034,920,0,1,"State.fin[44]",44,1,6
"State.fin[45]",1.99044,0.0973069265886377,2,2,2,2,2,1.03292747620917,1532,0,1,"State.fin[45]",45,1,6
"State.fin[46]",1.96676,0.179262961922883,1,2,2,2,2,1.04257286664692,350,0,1,"State.fin[46]",46,1,6
"State.fin[47]",1.99019,0.0985585931277479,2,2,2,2,2,1.01423556092031,3547,0,1,"State.fin[47]",47,1,6
"State.fin[48]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[48]",48,1,6
"State.fin[49]",1.98413,0.124972777678383,2,2,2,2,2,1.05658828964252,525,0,1,"State.fin[49]",49,1,6
"State.fin[50]",1.99592,0.0637445459985177,2,2,2,2,2,1.04311143956214,2677,0,1,"State.fin[50]",50,1,6
"State.fin[1]1",1.99991,0.00948642187413147,2,2,2,2,2,1.00204664512213,3e+05,0,1,"State.fin[1]",1,2,6
"State.fin[2]1",1.99991333333333,0.00930910545758133,2,2,2,2,2,1.08925659299308,56111,0,1,"State.fin[2]",2,2,6
"State.fin[3]1",1.99992,0.00894392903852788,2,2,2,2,2,1.06367233898155,88883,0,1,"State.fin[3]",3,2,6
"State.fin[4]1",1.99993,0.0083663213730873,2,2,2,2,2,1.02298961960145,299980,0,1,"State.fin[4]",4,2,6
"State.fin[5]1",1.99992333333333,0.00875562929923965,2,2,2,2,2,1.0851055998508,66986,0,1,"State.fin[5]",5,2,6
"State.fin[6]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,2,6
"State.fin[7]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,2,6
"State.fin[8]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,2,6
"State.fin[9]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,2,6
"State.fin[10]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,2,6
"State.fin[11]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,2,6
"State.fin[12]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,2,6
"State.fin[13]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,2,6
"State.fin[14]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,2,6
"State.fin[15]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,2,6
"State.fin[16]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,2,6
"State.fin[17]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,2,6
"State.fin[18]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,2,6
"State.fin[19]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,2,6
"State.fin[20]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,2,6
"State.fin[21]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[21]",21,2,6
"State.fin[22]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,2,6
"State.fin[23]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[23]",23,2,6
"State.fin[24]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,2,6
"State.fin[25]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[25]",25,2,6
"State.fin[26]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[26]",26,2,6
"State.fin[27]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,2,6
"State.fin[28]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,2,6
"State.fin[29]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,2,6
"State.fin[30]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,2,6
"State.fin[31]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,2,6
"State.fin[32]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[32]",32,2,6
"State.fin[33]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,2,6
"State.fin[34]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[34]",34,2,6
"State.fin[35]1",1.64607666666667,0.478186542746086,1,1,2,2,2,1.00015034687479,14079,0,1,"State.fin[35]",35,2,6
"State.fin[36]1",1.64716333333333,0.477853235280392,1,1,2,2,2,1.00005740316873,35107,0,1,"State.fin[36]",36,2,6
"State.fin[37]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,2,6
"State.fin[38]1",1.64649333333333,0.478059060253478,1,1,2,2,2,1.00026784494152,8017,0,1,"State.fin[38]",38,2,6
"State.fin[39]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[39]",39,2,6
"State.fin[40]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[40]",40,2,6
"State.fin[41]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[41]",41,2,6
"State.fin[42]1",1.64491666666667,0.478539364164851,1,1,2,2,2,1.00012701665144,16534,0,1,"State.fin[42]",42,2,6
"State.fin[43]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[43]",43,2,6
"State.fin[44]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[44]",44,2,6
"State.fin[45]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[45]",45,2,6
"State.fin[46]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[46]",46,2,6
"State.fin[47]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[47]",47,2,6
"State.fin[48]1",1.648,0.477594765803117,1,1,2,2,2,1.00017781244099,12004,0,1,"State.fin[48]",48,2,6
"State.fin[49]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[49]",49,2,6
"State.fin[50]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[50]",50,2,6
"State.fin[1]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,3,6
"State.fin[2]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,3,6
"State.fin[3]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,3,6
"State.fin[4]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,3,6
