"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma1",2.21459379933744,2.08879074369239,-0.659944858240109,0.577747985351363,1.84833573367794,3.46680444295888,7.13394336334591,1.00510709710554,429,1,0.868246666666667,"gamma1",1,6
"gamma11",2.213821246593,0.694741070005847,0.852701038406119,1.74696178917697,2.21341412766501,2.68086616390592,3.5727320324235,1.0000158721459,3e+05,0,0.99926,"gamma1",2,6
"gamma12",2.23658232590906,1.16340852004822,0.0316636208536478,1.41941647906886,2.22057940615186,3.02613127630935,4.56089161671494,1.00010161820431,20053,0,0.977133333333333,"gamma1",3,6
"gamma13",2.24001259373754,0.920825685504006,0.432695785540689,1.613995431283,2.23732908128491,2.8619762521264,4.0538582420837,1.00002457340037,113588,0,0.993506666666667,"gamma1",4,6
"gamma14",2.25020221730767,1.02636292028746,0.260811703875357,1.55096582350875,2.2429033286242,2.94120012732041,4.28863800129113,1.00043133412774,6173,0,0.98778,"gamma1",5,6
"gamma15",2.25740825222036,0.984494150989646,0.307806079977317,1.59387221589756,2.25879596254337,2.92025666417447,4.18774631184208,1.00034551745333,10859,0,0.988723333333333,"gamma1",6,6
"gamma16",2.26406562845085,0.996696243112115,0.32376784995326,1.58447500628076,2.26128993725757,2.93703545535343,4.22856151819163,1.00020896933614,17947,0,0.98992,"gamma1",7,6
"gamma17",2.26225133823316,0.999873076656774,0.306654702065014,1.58226001017883,2.26076895226922,2.93827452602091,4.22256281098032,1.00024249292604,15395,0,0.98868,"gamma1",8,6
"gamma18",2.2715099925423,0.987828981346707,0.353841521815157,1.59416137277365,2.26648495716328,2.93956542369289,4.22152410344775,1.0000270691036,135040,0,0.991236666666667,"gamma1",9,6
"gamma19",2.28587992092729,0.992902671037522,0.372838099621773,1.60386821007739,2.27953761708735,2.95870884884708,4.24676457933655,1.0000405704753,151159,0,0.992113333333333,"gamma1",10,6
"gamma110",2.0416457629033,2.09778044884122,-0.932172459945864,0.415675242344544,1.7052933903302,3.29154120605994,6.96427968608357,1.00415206066804,493,1,0.833996666666667,"gamma1",1,7
"gamma111",2.0425102801461,0.690640704188555,0.687970795243019,1.57586624507574,2.04219662604505,2.50848946116385,3.39886787600063,1.00000361894766,3e+05,0,0.998556666666667,"gamma1",2,7
"gamma121",2.10830589021399,1.14137494791579,0.00715403653659806,1.29549517678802,2.08092705457141,2.88256071702874,4.41166667100127,1.00019081181722,13329,0,0.9755,"gamma1",3,7
"gamma131",2.1167555842023,0.922663595981341,0.329834381174144,1.48907147254523,2.11011075289563,2.73752097336205,3.94569397554112,1.00010640379618,26523,0,0.99145,"gamma1",4,7
"gamma141",2.11802756665881,1.03781353126713,0.0760633636000642,1.41517535025191,2.11743830832865,2.8208624391035,4.14471008244245,1.00036614210675,10101,0,0.978953333333333,"gamma1",5,7
"gamma151",2.13177748393553,0.963561732930276,0.26000807622804,1.47253676295414,2.12384496682856,2.78377819173029,4.04057251116498,1.00005890916088,3e+05,0,0.98922,"gamma1",6,7
"gamma161",2.13598091764782,1.01414939302136,0.131394010846579,1.44982077154093,2.13796205930859,2.82189028703262,4.12847212649047,1.0010135352493,4150,0,0.982053333333333,"gamma1",7,7
"gamma171",2.15173258189917,0.980146199679143,0.250678710741197,1.47998348861761,2.14477777422127,2.81110330573026,4.09088934761878,1.00049145139072,7691,0,0.987513333333333,"gamma1",8,7
"gamma181",2.14262083963621,1.00653629480523,0.174016309707092,1.45945676603465,2.14142310826488,2.82085878897856,4.12666904223371,1.00000955165035,3e+05,0,0.984073333333333,"gamma1",9,7
"gamma191",2.14701262783174,0.980207060487121,0.253177955180861,1.47371942126172,2.13917085176337,2.81038483243137,4.09024592814733,1.00014297026719,14381,0,0.98829,"gamma1",10,7
"gamma112",1.91991517863225,2.13211548940235,-1.20706963799959,0.279771088502526,1.5789891792012,3.22511324792114,6.82682896878647,1.00289155578573,828,1,0.80543,"gamma1",1,8
"gamma113",1.91813647137164,0.685118300638693,0.574182539986232,1.45453639566651,1.92024619851002,2.38211158784144,3.25807536778781,1.00002643270622,70481,0,0.997186666666667,"gamma1",2,8
"gamma122",1.98572580813236,1.14389769192012,-0.0945074649250902,1.16650480729382,1.95396152764856,2.75887933266929,4.3025357791581,1.00031640078195,9462,1,0.966693333333333,"gamma1",3,8
"gamma132",1.97340260064991,0.947896351664749,0.0778121098224697,1.34255306350131,1.9788571655575,2.61189729823846,3.81756851960381,1.00083461799188,4138,0,0.97918,"gamma1",4,8
"gamma142",1.98573122079591,1.00369554717406,0.0657595788716148,1.29001563088553,1.97727547578027,2.66460304465409,3.98514567097393,1.0000377878935,98406,0,0.979536666666667,"gamma1",5,8
"gamma152",1.98487448132721,1.00491845471505,-0.0268666182110416,1.31383206693226,1.99084042290385,2.66068886471231,3.95014712956216,1.00055424897794,5687,1,0.973366666666667,"gamma1",6,8
"gamma162",1.98150046651076,0.993606531664798,0.0400186022771666,1.30635498431606,1.97992681345888,2.65454881424103,3.93451315275339,1.00012845309161,21374,0,0.977343333333333,"gamma1",7,8
"gamma172",2.00139226464399,0.981813574161536,0.124226344058357,1.32254692681443,1.99205061876471,2.66424761889546,3.94765031339147,1.00001211927285,3e+05,0,0.982483333333333,"gamma1",8,8
"gamma182",2.01359371538344,0.995231496310502,0.0905596911056388,1.33221879752224,2.00922211202463,2.6836992037307,3.97983831959975,1.00043151263082,6926,0,0.980276666666667,"gamma1",9,8
"gamma192",2.03925344152107,0.976739528127843,0.170428007855527,1.36539470755221,2.02817526141208,2.70035524598776,3.98570002076985,1.00000455310779,227664,0,0.98562,"gamma1",10,8
"gamma114",2.11169358993063,1.96929436329588,-0.542294919341751,0.551941372777846,1.76190053495595,3.28641275030804,6.81956027908089,1.00050694989345,5870,1,0.87423,"gamma1",1,9
"gamma115",2.11080262729591,0.712338752705328,0.719388431755016,1.63136469431818,2.1096159816272,2.58839224602541,3.5151435175314,1.00003042549556,70142,0,0.998463333333333,"gamma1",2,9
"gamma123",2.12826697406687,1.16298796421818,-0.0979927683428517,1.32380595930417,2.11649830485702,2.91519134547237,4.43798883814152,1.00079525311261,5378,1,0.968963333333333,"gamma1",3,9
"gamma133",2.13612805444169,0.917086433187459,0.359878133711485,1.51088301665716,2.12955418652704,2.75649314468058,3.94331346863257,1.00020756074409,13446,0,0.99068,"gamma1",4,9
"gamma143",2.1114441324333,1.06986095910303,-0.0736770161910975,1.40686464740004,2.12133839848676,2.8326383631935,4.17682426149485,1.00040515861632,14264,1,0.97166,"gamma1",5,9
"gamma153",1.94591849450956,1.16051557038667,-0.872963203233966,1.31267097884683,2.03893793939058,2.71773818871299,3.98089902890543,1.00535275094673,824,1,0.931966666666667,"gamma1",6,9
"gamma163",1.94745742453918,0.925006737559804,0.140442356870304,1.31567674248815,1.94557074150262,2.57195577953723,3.7754347342336,1.00011407395927,28539,0,0.98338,"gamma1",7,9
"gamma173",1.95908926715381,1.0251061545422,-0.0503879107330187,1.26391906091793,1.95448012090623,2.65167416980805,3.97296015942765,1.00140853650116,2270,1,0.971913333333333,"gamma1",8,9
"gamma183",1.98071461896708,0.969954846496359,0.11624961879638,1.31284297873983,1.97287646906695,2.63767586979594,3.89953686635423,1.00016223916194,18764,0,0.982073333333333,"gamma1",9,9
"gamma193",2.00310275363971,0.987398791065971,0.127592690739734,1.31637218735935,1.99060545476003,2.66775947420515,3.97441114512795,1.00006558232636,33757,0,0.982743333333333,"gamma1",10,9
"gamma116",1.88359429124697,2.11609065690742,-1.08476036585551,0.222292318371947,1.53470231004095,3.1837882462516,6.79609598513451,1.00696864007075,308,1,0.79334,"gamma1",1,10
"gamma117",1.88432515658686,0.683043890557361,0.544219134657339,1.42312909810155,1.88336493269297,2.34647143877044,3.22618340247664,1.00001148019135,134144,0,0.997403333333333,"gamma1",2,10
"gamma124",1.92262841687714,1.16552497743101,-0.256299607974263,1.10427231043949,1.90211729672863,2.70795601697239,4.26303022611214,1.00019775730262,10761,1,0.95229,"gamma1",3,10
"gamma134",1.9401088470895,0.899212731916248,0.218689403779574,1.31987140943859,1.93073912773603,2.54716475262422,3.73154995853768,0.999996300229197,3e+05,0,0.98775,"gamma1",4,10
"gamma144",1.99203564156953,1.01210431743692,0.103832524955383,1.27828225929365,1.97137351855912,2.67556588462283,4.02073708191657,1.00018179902877,27073,0,0.982166666666667,"gamma1",5,10
