"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"p",0.671782681834685,0.13173613381019,0.39339250885835,0.584001460429826,0.681165203354599,0.769130822558226,0.899164618894629,1.00017474227976,15445,0,1,"p",0.196099329995244,1,6
"p1",0.546613067097253,0.103809668772158,0.340951298449024,0.475727132859733,0.54821643995541,0.619340548976861,0.744049862575364,0.999997656905804,3e+05,0,1,"p",0.189914356280268,2,6
"p2",0.594394798138931,0.0857923803420533,0.421753945712448,0.536611419580567,0.59635269359043,0.654668257835647,0.755564970231424,1.00001378517876,113496,0,1,"p",0.144335684986935,3,6
"p3",0.547819088548339,0.0760643547034309,0.397858996135076,0.496027133116998,0.548604095440163,0.600308105926457,0.693791353220593,1.0000169938933,3e+05,0,1,"p",0.138849405384893,4,6
"p4",0.596403676888783,0.0677020245838195,0.461213296971914,0.550769156862556,0.597610756020142,0.64325137612253,0.724668251853874,1.00001900613769,116548,0,1,"p",0.113517114678092,5,6
"p5",0.548216973222895,0.0629994521544396,0.423905904642306,0.505634275929477,0.548610727255169,0.591442679962186,0.67006315723287,0.999997973908729,3e+05,0,1,"p",0.114917004090687,6,6
"p6",0.555192138297042,0.0582524268556668,0.439852311014329,0.51577381621469,0.555648010387216,0.595137368597566,0.667652013418736,1.00003325529449,52432,0,1,"p",0.104923003834936,7,6
"p7",0.548613035071688,0.0547419144461685,0.440666358151279,0.51151753501428,0.548980276620174,0.586232651507485,0.654387028407372,1.00001285281995,232399,0,1,"p",0.0997823801962986,8,6
"p8",0.576046121120725,0.0512732307250835,0.474036326738417,0.54162677885664,0.576636811175702,0.611104786831008,0.674887686277664,1.00000400120536,3e+05,0,1,"p",0.0890088984981429,9,6
"p9",0.578251943277787,0.048636499828339,0.481393194070027,0.545559657060608,0.578823288896252,0.61153851450976,0.67187879303348,1.00000226591353,3e+05,0,1,"p",0.0841095311373203,10,6
"p10",0.590440274351589,0.138700696101781,0.311344756268716,0.494654192951021,0.595161383435332,0.690327357305456,0.844888121198272,1.00013736225278,19549,0,1,"p",0.234910628774602,1,7
"p11",0.641201869679485,0.100847557217203,0.433370556631328,0.573808332506991,0.645445764663446,0.713243594822488,0.824277840885374,1.00000613551823,3e+05,0,1,"p",0.157278950648745,2,7
"p21",0.628229568879344,0.084689246479615,0.456009814377825,0.571408302655374,0.631072927872996,0.687855833188715,0.785421704699183,1.00000576967449,3e+05,0,1,"p",0.134806208868338,3,7
"p31",0.645518883875603,0.0734223945050497,0.49616113412352,0.596497144152613,0.647826106928524,0.696943455708616,0.782420573761929,1.00001222119732,3e+05,0,1,"p",0.11374166788775,4,7
"p41",0.636855484787818,0.0664350078453607,0.50232859891307,0.592398733252387,0.638766936094973,0.683335311124726,0.76112797208507,0.999998374651173,3e+05,0,1,"p",0.10431724218799,5,7
"p51",0.680027475739908,0.0590859853950032,0.559160156319628,0.641024037309138,0.681986043807969,0.721152167768309,0.789922301365898,1.00000072920918,3e+05,0,1,"p",0.0868876442539536,6,7
"p61",0.641007480656407,0.056308468059211,0.527630989704256,0.603427510150066,0.642354770111837,0.679977440986408,0.747242957214634,0.999997001056744,3e+05,0,1,"p",0.0878436987998171,7,7
"p71",0.623640801819456,0.0532591919425624,0.516598009368931,0.588162188880459,0.624668425926967,0.660138992790286,0.725111553896792,1.00003552492534,256519,0,1,"p",0.0854004288801825,8,7
"p81",0.632173141553679,0.0500298612392599,0.531447503143999,0.598715616530288,0.633124609247638,0.666570162190459,0.727379568342544,1.00001789621281,128699,0,1,"p",0.0791394919377666,9,7
"p91",0.638967425047671,0.0473416842407905,0.54391453286315,0.607332826285073,0.639919219084696,0.671531681729614,0.728846795578484,1.00000355085929,3e+05,0,1,"p",0.0740909197949466,10,7
"p12",0.503757653363859,0.139485613949844,0.235959730467213,0.404670505712701,0.504045967597846,0.602764987779301,0.771190631916548,1.00009004138028,28550,0,1,"p",0.276890312273022,1,8
"p13",0.502229323228055,0.104406904929986,0.299442368042972,0.430089525026042,0.502237709161789,0.574402915256093,0.70464457603527,1.00000850702859,185253,0,1,"p",0.207886915600458,2,8
"p22",0.564234280789734,0.0864635101833682,0.392631033766304,0.505374988935406,0.565536333772788,0.62439833329871,0.729347595249947,1.00000716329458,275106,0,1,"p",0.15324044129745,3,8
"p32",0.549350234607314,0.0762961968124415,0.398239268231559,0.497643831297092,0.550219909065515,0.602006920919434,0.695809918053388,1.00000855980755,150657,0,1,"p",0.138884434748589,4,8
"p42",0.597800782959665,0.0677497750121868,0.461929617030239,0.552297162696408,0.59916067758599,0.644722269937805,0.726114087335047,1.00000771764152,272014,0,1,"p",0.11333169333898,5,8
