"","n.rem","year","sim","segment"
"1",6,6,6,1
"2",6,6,6,2
"3",6,6,6,3
"4",6,6,6,4
"5",6,6,6,5
"6",6,6,6,35
"7",6,6,6,36
"8",6,6,6,38
"9",6,6,6,42
"10",6,6,6,48
"11",6,6,6,45
"12",6,6,6,46
"13",6,6,6,47
"14",6,6,6,49
"15",6,6,6,50
"16",6,6,6,41
"17",6,6,6,42
"18",6,6,6,43
"19",6,6,6,44
"20",6,6,6,48
"21",6,6,6,39
"22",6,6,6,40
"23",6,6,6,45
"24",6,6,6,46
"25",6,6,6,50
"26",6,6,6,42
"27",6,6,6,44
"28",6,6,6,47
"29",6,6,6,48
"30",6,6,6,49
"31",6,6,6,40
"32",6,6,6,41
"33",6,6,6,43
"34",6,6,6,45
"35",6,6,6,46
"36",6,6,6,39
"37",6,6,6,42
"38",6,6,6,48
"39",6,6,6,49
"40",6,6,6,50
"41",6,6,6,40
"42",6,6,6,43
"43",6,6,6,44
"44",6,6,6,45
"45",6,6,6,47
"46",6,6,6,41
"47",6,6,6,42
"48",6,6,6,46
"49",6,6,6,48
"50",6,6,6,49
"51",6,6,6,1
"52",6,6,6,2
"53",6,6,6,3
"54",6,6,6,4
"55",6,6,6,5
"56",6,6,6,37
"57",6,6,6,40
"58",6,6,6,45
"59",6,6,6,46
"60",6,6,6,50
"61",6,6,6,43
"62",6,6,6,44
"63",6,6,6,47
"64",6,6,6,48
"65",6,6,6,49
"66",6,6,6,40
"67",6,6,6,41
"68",6,6,6,42
"69",6,6,6,45
"70",6,6,6,50
"71",6,6,6,43
"72",6,6,6,46
"73",6,6,6,47
"74",6,6,6,48
"75",6,6,6,49
"76",6,6,6,38
"77",6,6,6,39
"78",6,6,6,40
"79",6,6,6,41
"80",6,6,6,44
"81",6,6,6,45
"82",6,6,6,46
"83",6,6,6,47
"84",6,6,6,49
"85",6,6,6,50
"86",6,6,6,41
"87",6,6,6,42
"88",6,6,6,43
"89",6,6,6,44
"90",6,6,6,48
"91",6,6,6,38
"92",6,6,6,39
"93",6,6,6,40
"94",6,6,6,46
"95",6,6,6,49
"96",6,6,6,44
"97",6,6,6,45
"98",6,6,6,47
"99",6,6,6,48
"100",6,6,6,50
"101",6,6,6,1
"102",6,6,6,2
"103",6,6,6,3
"104",6,6,6,4
"105",6,6,6,5
"106",6,6,6,46
"107",6,6,6,47
"108",6,6,6,48
"109",6,6,6,49
"110",6,6,6,50
"111",6,6,6,41
"112",6,6,6,42
"113",6,6,6,43
"114",6,6,6,44
"115",6,6,6,45
"116",6,6,6,40
"117",6,6,6,46
"118",6,6,6,47
"119",6,6,6,48
"120",6,6,6,49
"121",6,6,6,37
"122",6,6,6,38
"123",6,6,6,39
"124",6,6,6,44
"125",6,6,6,50
"126",6,6,6,43
"127",6,6,6,45
"128",6,6,6,46
"129",6,6,6,48
"130",6,6,6,49
"131",6,6,6,41
"132",6,6,6,42
"133",6,6,6,44
"134",6,6,6,47
"135",6,6,6,50
"136",6,6,6,39
"137",6,6,6,40
"138",6,6,6,43
"139",6,6,6,46
"140",6,6,6,48
"141",6,6,6,44
"142",6,6,6,45
"143",6,6,6,47
"144",6,6,6,49
"145",6,6,6,50
"146",6,6,6,39
"147",6,6,6,41
"148",6,6,6,42
"149",6,6,6,43
"150",6,6,6,48
"151",6,6,6,1
"152",6,6,6,2
"153",6,6,6,3
"154",6,6,6,4
"155",6,6,6,5
"156",6,6,6,44
"157",6,6,6,45
"158",6,6,6,46
"159",6,6,6,47
"160",6,6,6,48
"161",6,6,6,41
"162",6,6,6,42
"163",6,6,6,43
"164",6,6,6,49
"165",6,6,6,50
"166",6,6,6,39
"167",6,6,6,40
"168",6,6,6,44
"169",6,6,6,46
"170",6,6,6,48
"171",6,6,6,43
"172",6,6,6,45
"173",6,6,6,47
"174",6,6,6,49
"175",6,6,6,50
"176",6,6,6,38
"177",6,6,6,41
"178",6,6,6,42
"179",6,6,6,44
"180",6,6,6,48
"181",6,6,6,36
"182",6,6,6,37
"183",6,6,6,39
"184",6,6,6,40
"185",6,6,6,46
"186",6,6,6,44
"187",6,6,6,45
"188",6,6,6,47
"189",6,6,6,49
"190",6,6,6,50
"191",6,6,6,38
"192",6,6,6,41
"193",6,6,6,42
"194",6,6,6,43
"195",6,6,6,48
"196",6,6,6,40
"197",6,6,6,44
"198",6,6,6,45
"199",6,6,6,46
"200",6,6,6,47
"201",6,6,6,1
"202",6,6,6,2
"203",6,6,6,3
"204",6,6,6,4
"205",6,6,6,5
"206",6,6,6,44
"207",6,6,6,46
"208",6,6,6,47
"209",6,6,6,48
"210",6,6,6,50
"211",6,6,6,41
"212",6,6,6,42
"213",6,6,6,43
"214",6,6,6,45
"215",6,6,6,49
"216",6,6,6,39
"217",6,6,6,40
"218",6,6,6,44
"219",6,6,6,47
"220",6,6,6,48
"221",6,6,6,43
"222",6,6,6,45
"223",6,6,6,46
"224",6,6,6,49
"225",6,6,6,50
"226",6,6,6,40
"227",6,6,6,41
"228",6,6,6,42
"229",6,6,6,44
"230",6,6,6,47
"231",6,6,6,39
"232",6,6,6,43
"233",6,6,6,46
"234",6,6,6,48
"235",6,6,6,49
"236",6,6,6,40
"237",6,6,6,42
"238",6,6,6,44
"239",6,6,6,45
"240",6,6,6,50
"241",6,6,6,38
"242",6,6,6,41
"243",6,6,6,43
"244",6,6,6,47
"245",6,6,6,48
"246",6,6,6,39
"247",6,6,6,44
"248",6,6,6,46
"249",6,6,6,49
"250",6,6,6,50
