"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps",0.501982074092564,0.288419945747434,0.0251470232964493,0.251533039903734,0.502665827645325,0.749724972120021,0.975443509063916,1.00000318935594,30000,0,1,"eps",0.574562241627477,1,1
"eps1",0.499955943127696,0.288517738663,0.0258820028975606,0.251240620040335,0.499417108654094,0.752607865447772,0.974551478205809,1.00002006172158,30000,0,1,"eps",0.577086326563195,2,1
"eps2",0.500662783617714,0.287390597695049,0.0256243812444154,0.252906528700188,0.502886096468501,0.748205518210631,0.97411948055853,1.00000182246641,30000,0,1,"eps",0.574020292897364,3,1
"eps3",0.500942353164657,0.286940514246845,0.0263440056471154,0.253913162090129,0.49949417398884,0.749235010007396,0.973770726821385,1.00020742438651,9019,0,1,"eps",0.572801465945383,4,1
"eps4",0.501271803985096,0.288027323756446,0.0261019994951427,0.249643226705103,0.502348258392885,0.750920465798117,0.973518512916053,1.00003640538083,23256,0,1,"eps",0.574593107904009,5,1
"eps5",0.497053664655904,0.288347576187576,0.02531302740317,0.245980308325786,0.495612382309397,0.746318422200534,0.974543524974117,0.999964184567004,30000,0,1,"eps",0.5801135706085,6,1
"eps6",0.496567158127756,0.289369682276215,0.0246730835433918,0.246235441591125,0.493989189511108,0.748115654438625,0.975283655163678,1.00005425182311,24149,0,1,"eps",0.582740274985658,7,1
"eps7",0.49743230745879,0.288396798900929,0.0245143788395681,0.249450749950483,0.493293570354581,0.74897847668035,0.972897402831586,0.999999268993308,30000,0,1,"eps",0.579770944863329,8,1
"eps8",0.498411410878267,0.288706549738188,0.0249599927885332,0.247193856233079,0.499166147783399,0.747326806711499,0.974415170464557,1.00014500687893,10985,0,1,"eps",0.579253491065643,9,1
"eps9",0.49877858516628,0.287661404911105,0.0265935554401949,0.249836985441377,0.498816552339122,0.748288655013312,0.97411225405946,1.00003053586311,30000,0,1,"eps",0.576731667048629,10,1
"eps10",0.49877064342794,0.289536147320342,0.0243467344669625,0.247167837747838,0.499838446057313,0.748371840157656,0.974985427298816,1.00001977034998,30000,0,1,"eps",0.580499576579777,1,2
"eps11",0.500667796732848,0.29060403241681,0.0244649531195214,0.249599808759978,0.498996772104874,0.753276374750824,0.978042247041865,1.00016202355389,9757,0,1,"eps",0.580432842521872,2,2
"eps21",0.500142126494627,0.289923157778976,0.0237818214664962,0.2479385319213,0.501256370684132,0.75111280271085,0.975594830819681,0.999980257330791,30000,0,1,"eps",0.579681539347577,3,2
"eps31",0.501781355870802,0.290418004051875,0.0240318853064134,0.24959007446887,0.501966396346688,0.755416400965177,0.975525900407229,1.0000190084563,30000,0,1,"eps",0.578774003166933,4,2
"eps41",0.503045927530804,0.290744080888202,0.024046218907601,0.250124794217011,0.505528126074301,0.753671670837827,0.977005991574421,1.00000932594832,30000,0,1,"eps",0.577967268943647,5,2
"eps51",0.502461574338266,0.290361982267769,0.023144144116668,0.250060624336131,0.50468025286682,0.755346212306052,0.976112881157314,1.00004760501969,23868,0,1,"eps",0.577878980397996,6,2
"eps61",0.505152559897041,0.290490437552776,0.0240010685229208,0.251725137874018,0.506183148490974,0.757742959088458,0.977204348629364,1.00004144881935,27504,0,1,"eps",0.575054865825055,7,2
"eps71",0.502569931393398,0.289545846918974,0.0256703703023959,0.251751977866792,0.504477576236241,0.75583058376511,0.976614852773491,1.00013181421324,11516,0,1,"eps",0.576130462314358,8,2
"eps81",0.501016148843608,0.289132604883652,0.0243340139077349,0.25189576488175,0.49976724665612,0.751094990400622,0.975600896059768,1.00014071218884,10695,0,1,"eps",0.577092386245427,9,2
"eps91",0.503678929393696,0.288355276248192,0.0242172311952331,0.254769748065641,0.508833318048365,0.753533113667964,0.975374755158555,0.999969938399759,30000,0,1,"eps",0.572498191646213,10,2
