"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","segment","year","sim"
"State.fin[1]",1.51476666666667,0.499790227893615,1,1,2,2,2,1.00003189673258,24447,0,1,"State.fin[1]",1,1,1
"State.fin[2]",1.51323333333333,0.499833178833143,1,1,2,2,2,1.00000913832627,30000,0,1,"State.fin[2]",2,1,1
"State.fin[3]",1.51246666666667,0.499852889010934,1,1,2,2,2,1.00019769122598,8085,0,1,"State.fin[3]",3,1,1
"State.fin[4]",1.51616666666667,0.499746899727934,1,1,2,2,2,0.999993087545105,30000,0,1,"State.fin[4]",4,1,1
"State.fin[5]",1.50986666666667,0.49991097132876,1,1,2,2,2,0.999957719982385,30000,0,1,"State.fin[5]",5,1,1
"State.fin[6]",1.94703333333333,0.223970692244741,1,2,2,2,2,1.00141601908917,6788,0,1,"State.fin[6]",6,1,1
"State.fin[7]",1.9458,0.226415699107402,1,2,2,2,2,1.00079947607368,11486,0,1,"State.fin[7]",7,1,1
"State.fin[8]",1.87253333333333,0.333500559184421,1,2,2,2,2,1.00300029414723,1469,0,1,"State.fin[8]",8,1,1
"State.fin[9]",1.9471,0.223837575283218,1,2,2,2,2,1.0006858374416,13566,0,1,"State.fin[9]",9,1,1
"State.fin[10]",1.94616666666667,0.225692276021291,1,2,2,2,2,1.00239604538094,3996,0,1,"State.fin[10]",10,1,1
"State.fin[11]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,1,1
"State.fin[12]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,1,1
"State.fin[13]",1.94686666666667,0.224303052329206,1,2,2,2,2,1.00307304224426,3170,0,1,"State.fin[13]",13,1,1
"State.fin[14]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,1,1
"State.fin[15]",1.948,0.222030725924984,1,2,2,2,2,1.00087646915209,10948,0,1,"State.fin[15]",15,1,1
"State.fin[16]",1.946,0.226021465477865,1,2,2,2,2,1.00093518495548,9933,0,1,"State.fin[16]",16,1,1
"State.fin[17]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,1,1
"State.fin[18]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,1,1
"State.fin[19]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,1,1
"State.fin[20]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,1,1
"State.fin[1]1",1.9357,0.245290675696922,1,2,2,2,2,1.000478270571,15737,0,1,"State.fin[1]",1,2,1
"State.fin[2]1",1.9326,0.250717640606274,1,2,2,2,2,1.00043138441456,16499,0,1,"State.fin[2]",2,2,1
"State.fin[3]1",1.9331,0.249852898487015,1,2,2,2,2,1.0004621658343,15646,0,1,"State.fin[3]",3,2,1
"State.fin[4]1",1.9367,0.243505824371581,1,2,2,2,2,1.00009416836034,30000,0,1,"State.fin[4]",4,2,1
"State.fin[5]1",1.9353,0.245999852027543,1,2,2,2,2,1.00004150314489,30000,0,1,"State.fin[5]",5,2,1
"State.fin[6]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,2,1
"State.fin[7]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,2,1
"State.fin[8]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,2,1
"State.fin[9]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,2,1
"State.fin[10]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,2,1
"State.fin[11]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,2,1
"State.fin[12]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,2,1
"State.fin[13]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,2,1
"State.fin[14]1",1.5125,0.499852056515339,1,1,2,2,2,0.999998381209637,30000,0,1,"State.fin[14]",14,2,1
"State.fin[15]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,2,1
"State.fin[16]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,2,1
"State.fin[17]1",1.5146,0.499795124531593,1,1,2,2,2,0.999968937408515,30000,0,1,"State.fin[17]",17,2,1
"State.fin[18]1",1.5085,0.499936077116572,1,1,2,2,2,0.99996688804594,30000,0,1,"State.fin[18]",18,2,1
"State.fin[19]1",1.51406666666667,0.499810419963495,1,1,2,2,2,0.999958687825575,30000,0,1,"State.fin[19]",19,2,1
"State.fin[20]1",1.50873333333333,0.499932055341078,1,1,2,2,2,1.00006423087156,17518,0,1,"State.fin[20]",20,2,1
"State.fin[1]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,3,1
"State.fin[2]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,3,1
"State.fin[3]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,3,1
"State.fin[4]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,3,1
"State.fin[5]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,3,1
"State.fin[6]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,3,1
"State.fin[7]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,3,1
"State.fin[8]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,3,1
"State.fin[9]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,3,1
"State.fin[10]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,3,1
"State.fin[11]2",1.52366666666667,0.499447899013517,1,1,2,2,2,1.0005408444453,3397,0,1,"State.fin[11]",11,3,1
"State.fin[12]2",1.52093333333333,0.499569929598824,1,1,2,2,2,1.00055870641381,3296,0,1,"State.fin[12]",12,3,1
"State.fin[13]2",1.5216,0.499541547880256,1,1,2,2,2,1.00036433079278,4842,0,1,"State.fin[13]",13,3,1
"State.fin[14]2",1.95533333333333,0.206574388509697,1,2,2,2,2,1.01885287417721,605,0,1,"State.fin[14]",14,3,1
"State.fin[15]2",1.51766666666667,0.499696119752754,1,1,2,2,2,1.00044531892095,4048,0,1,"State.fin[15]",15,3,1
"State.fin[16]2",1.52123333333333,0.499557268126181,1,1,2,2,2,1.00053657278165,3420,0,1,"State.fin[16]",16,3,1
"State.fin[17]2",1.9217,0.268647567860181,1,2,2,2,2,1.01050391826505,648,0,1,"State.fin[17]",17,3,1
"State.fin[18]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,3,1
"State.fin[19]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,3,1
"State.fin[20]2",1.91886666666667,0.27304431995968,1,2,2,2,2,1.09362275238736,67,0,1,"State.fin[20]",20,3,1
"State.fin[1]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,4,1
"State.fin[2]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,4,1
"State.fin[3]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,4,1
"State.fin[4]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,4,1
"State.fin[5]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,4,1
"State.fin[6]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,4,1
"State.fin[7]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,4,1
"State.fin[8]3",1.5195,0.499627932501474,1,1,2,2,2,1.00023025785254,7153,0,1,"State.fin[8]",8,4,1
"State.fin[9]3",1.52123333333333,0.499557268126181,1,1,2,2,2,1.00001970168133,28747,0,1,"State.fin[9]",9,4,1
"State.fin[10]3",1.51846666666667,0.499667193705675,1,1,2,2,2,1.0000423885046,21683,0,1,"State.fin[10]",10,4,1
"State.fin[11]3",1.94626666666667,0.225494472543033,1,2,2,2,2,1.00032206977487,26422,0,1,"State.fin[11]",11,4,1
"State.fin[12]3",1.9473,0.223437629207358,1,2,2,2,2,1.00019133916659,30000,0,1,"State.fin[12]",12,4,1
"State.fin[13]3",1.94643333333333,0.225164315233381,1,2,2,2,2,1.00030936203839,27438,0,1,"State.fin[13]",13,4,1
"State.fin[14]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,4,1
"State.fin[15]3",1.94813333333333,0.221761481838896,1,2,2,2,2,1.00065023684899,14517,0,1,"State.fin[15]",15,4,1
"State.fin[16]3",1.949,0.220001393981444,1,2,2,2,2,1.00095777501418,10248,0,1,"State.fin[16]",16,4,1
"State.fin[17]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,4,1
"State.fin[18]3",1.51403333333333,0.4998113570158,1,1,2,2,2,1.00008856478727,14451,0,1,"State.fin[18]",18,4,1
"State.fin[19]3",1.51736666666667,0.499706636384093,1,1,2,2,2,0.999959550209084,30000,0,1,"State.fin[19]",19,4,1
"State.fin[20]3",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,4,1
"State.fin[1]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,5,1
"State.fin[2]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,5,1
"State.fin[3]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,5,1
"State.fin[4]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,5,1
"State.fin[5]4",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,5,1
"State.fin[6]4",1.5148,0.499789241890563,1,1,2,2,2,1.00031928782754,5426,0,1,"State.fin[6]",6,5,1
"State.fin[7]4",1.5204,0.499591993269166,1,1,2,2,2,1.00003110903652,24704,0,1,"State.fin[7]",7,5,1
"State.fin[8]4",1.94626666666667,0.225494472543033,1,2,2,2,2,1.00000305611359,30000,0,1,"State.fin[8]",8,5,1
