"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"gamma",0.514875969667726,0.275282753842626,0.0665648664615587,0.27591679417557,0.509780527729449,0.752548813947742,0.975218417409001,1.00010514703997,30000,0,1,"gamma",0.53465838388278,1,1
"gamma1",0.512366687055272,0.275730420404909,0.0409723261825316,0.28077265243109,0.516135204466991,0.746740308939479,0.967260726378299,1.00026887305698,6462,0,1,"gamma",0.538150561640952,2,1
"gamma2",0.526075918239277,0.264875407740478,0.072146989180021,0.302222669738455,0.529929656327567,0.752409726834209,0.96640964621991,1.00612356964807,364,0,1,"gamma",0.503492744216441,3,1
"gamma3",0.526397607325543,0.266075886793631,0.0515659458994192,0.307724773453111,0.535918823863102,0.749594627472106,0.963837829825934,1.00005398546352,30000,0,1,"gamma",0.505465608298405,4,1
"gamma4",0.523818111556689,0.26631799057746,0.0522669676167425,0.3059180866112,0.531175801181234,0.745386838249873,0.965705644082787,0.999984466317404,30000,0,1,"gamma",0.50841691935014,5,1
"gamma5",0.560179257519576,0.24586748954167,0.119050231832713,0.361353732152978,0.564882843288825,0.766623297412638,0.968795694960367,1.00051118033617,3678,0,1,"gamma",0.438908592635774,6,1
"gamma6",0.56062114960629,0.246744423032303,0.0918103594188318,0.367688755368642,0.576938347539729,0.763514400461018,0.960206606282109,1.00006493232541,18352,0,1,"gamma",0.440126854303633,7,1
"gamma7",0.536657384137832,0.257047368851283,0.0738329314880162,0.327946735344801,0.550975858751325,0.74983280852141,0.959113569721246,1.00966300067948,275,0,1,"gamma",0.478978537236086,8,1
"gamma8",0.533737444734995,0.258315329857258,0.0648871151600579,0.325791212056164,0.541967947152443,0.748473335649005,0.960536705186612,1.00011736526868,19648,0,1,"gamma",0.483974531682921,9,1
"gamma9",0.535732530841804,0.258578451292689,0.0661049937911957,0.327391850820277,0.544560167391284,0.750709265954447,0.96235224622799,1.00008851906703,29605,0,1,"gamma",0.482663337405292,10,1
"gamma10",0.509251835342164,0.28617788433448,0.0432991234149778,0.257060297106598,0.508876744686596,0.759255041060506,0.976895010425994,1.00508394059778,558,0,1,"gamma",0.56195749229298,1,2
"gamma11",0.496036678202674,0.294895708362688,0.0189983426628963,0.235670271698761,0.498965706719027,0.755014759593845,0.975204904411537,1.00109843948516,1923,0,1,"gamma",0.594503836754986,2,2
"gamma21",0.451214283146966,0.309402091014909,0.00953801086160656,0.161914724318617,0.432052034149851,0.725694751147148,0.976952606418642,1.00645452562959,329,0,1,"gamma",0.685709877925415,3,2
"gamma31",0.536047998560431,0.279133156352109,0.0737115217104047,0.292188278558689,0.535885230602512,0.78322767067631,0.983465615698161,1.00276606815379,765,0,1,"gamma",0.520724183471867,4,2
"gamma41",0.561894928823951,0.262632751238599,0.0906605051215975,0.347687067770329,0.572505823114906,0.787564741779172,0.979088536318419,1.00018126384002,8706,0,1,"gamma",0.467405448538733,5,2
"gamma51",0.559791234913468,0.2623500033715,0.0712914813774188,0.350456232606558,0.578527456784104,0.780971355826526,0.973755614968771,1.00017070998704,11022,0,1,"gamma",0.468656861717483,6,2
"gamma61",0.581445166143426,0.251702095017584,0.109154751388963,0.378760887817553,0.599850770914746,0.794842037930457,0.974476142416504,1.0005312208602,5495,0,1,"gamma",0.432890510874927,7,2
"gamma71",0.557414788075508,0.265512810207866,0.0637949081345595,0.345238267637873,0.577599860578343,0.784037292497529,0.97008479207052,1.00087869472462,2383,0,1,"gamma",0.476328967023925,8,2
"gamma81",0.556334084593018,0.265333637978901,0.0653515992350513,0.343233185068352,0.573034674279931,0.781614009258931,0.974517661957449,0.999972880416105,30000,0,1,"gamma",0.476932198344459,9,2
"gamma91",0.557603668473164,0.26524894968705,0.0632890395470712,0.345692258987055,0.577854384593241,0.784946033654773,0.973176492122295,1.00004309288796,22476,0,1,"gamma",0.4756944128674,10,2
