"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"p",0.728249983771442,0.162428079798452,0.36250225236932,0.623518323260218,0.750418012063247,0.855373087274889,0.971427999005447,1.00059335540097,5784,0,1,"p",0.223038906169656,1,1
"p1",0.586100700684427,0.140646762695787,0.302030104333453,0.488175611411169,0.591767072822073,0.689382165187812,0.840589571632689,1.00003526778208,30000,0,1,"p",0.239970302938633,2,1
"p2",0.535294491777401,0.12225438437914,0.293068491545068,0.449946577656049,0.536962388584467,0.622279138704959,0.765878513865693,1.00097328005259,2524,0,1,"p",0.228387151852066,3,1
"p3",0.550085124381368,0.106948653469253,0.338958577416819,0.477589190927914,0.550976228680567,0.624854507390177,0.753259650920496,1.00008535338092,30000,0,1,"p",0.194422006211364,4,1
"p4",0.599164150744786,0.0945617019754773,0.407817669034771,0.535425107454102,0.601907082977819,0.66562972278881,0.775659268284332,1.00011838883281,12442,0,1,"p",0.157822696598141,5,1
"p5",0.6325192268567,0.0849461601533551,0.457845797460361,0.576034047096195,0.635311770110692,0.692510301739177,0.789189415533172,1.00004696297691,30000,0,1,"p",0.134298147070555,6,1
"p6",0.683696817289388,0.0756341323865893,0.52776938716315,0.633872469699812,0.687432278444509,0.737289970480285,0.822064289669973,1.00013813035544,19746,0,1,"p",0.110625251535398,7,1
"p7",0.676195613073893,0.0724442287158556,0.527481402632626,0.62832337659175,0.678529341728268,0.727266213264327,0.810618597624849,1.00086554072423,2194,0,1,"p",0.107135017316268,8,1
"p8",0.711654165837844,0.0663682899141891,0.573249918382028,0.668505138782012,0.714260717990512,0.758114628341031,0.833359021286955,1.00016056511034,11004,0,1,"p",0.0932591883812728,9,1
"p9",0.681093254896243,0.0642348101611254,0.549659585087531,0.638042068045113,0.682940798961672,0.726391355574656,0.800023732017727,1.00009436219002,30000,0,1,"p",0.0943113291746089,10,1
"p10",0.444429624510555,0.181691531659994,0.122318313476267,0.307904986650987,0.436843826015823,0.573835260094523,0.80794220172821,1.00297177573006,715,0,1,"p",0.408819578263013,1,2
"p11",0.427259528363159,0.140897536251748,0.169845652539792,0.324985651960496,0.423077987279501,0.524516788014348,0.709005324259748,1.00015021430326,13191,0,1,"p",0.329770378185665,2,2
"p21",0.365842689365359,0.117265166625033,0.156310812720436,0.280842751778184,0.359709837905841,0.444165912952464,0.608307890193478,1.00001124124427,30000,0,1,"p",0.320534399166093,3,2
"p31",0.424347002913347,0.107081944540747,0.225227630667581,0.348749893147103,0.421212810578684,0.497330058206114,0.636830517145689,1.00024516615741,8027,0,1,"p",0.252345235869648,4,2
"p41",0.498555801011196,0.0970995740059879,0.310577997817207,0.431435942169067,0.498321240088087,0.56480172589216,0.687538123946773,1.00038856825924,6424,0,1,"p",0.194761697304586,5,2
"p51",0.515299774060303,0.0892889300847378,0.340688756969964,0.453728988265618,0.515464127289683,0.576946743388496,0.687855420127274,1.00004802981262,21707,0,1,"p",0.173275701988351,6,2
"p61",0.52634977126531,0.0825648188984825,0.3648215229449,0.469711259881522,0.527220001177552,0.583280169505374,0.684627464254141,1.00006454977037,21189,0,1,"p",0.156863027982329,7,2
"p71",0.487199253474471,0.0780899554066048,0.33469004343121,0.433681823064288,0.486849445970783,0.540386789976545,0.640006114435945,1.00012609608976,14876,0,1,"p",0.160283405300203,8,2
"p81",0.499848783386635,0.0731892738187776,0.357105699847048,0.45005270014879,0.499618073599385,0.54982661319158,0.642520789006774,1.00003907057905,30000,0,1,"p",0.146422830766731,9,2
"p91",0.489969846653115,0.0694422980254188,0.355356394488579,0.442413372776124,0.489868018594074,0.537623716514501,0.625967180393332,1.00002446905489,30000,0,1,"p",0.141727697122109,10,2
