"","n.obs","year","sim","segment"
"1","1","1","1",8
"2","2","1","1",11
"3","3","1","1",12
"4","4","1","1",14
"5","5","1","1",18
"6","1","2","1",13
"7","2","2","1",12
"8","3","2","1",11
"9","4","2","1",10
"10","5","2","1",9
"11","1","3","1",17
"12","2","3","1",18
"13","3","3","1",19
"14","4","3","1",20
"15","5","3","1",10
"16","1","4","1",20
"17","2","4","1",7
"18","3","4","1",6
"19","4","4","1",5
"20","5","4","1",4
"21","1","5","1",5
"22","2","5","1",4
"23","3","5","1",3
"24","4","5","1",2
"25","5","5","1",1
"26","1","6","1",17
"27","2","6","1",18
"28","3","6","1",19
"29","4","6","1",20
"30","5","6","1",10
"31","1","7","1",9
"32","2","7","1",8
"33","3","7","1",7
"34","4","7","1",6
"35","5","7","1",5
"36","1","8","1",15
"37","2","8","1",16
"38","3","8","1",17
"39","4","8","1",18
"40","5","8","1",19
"41","1","9","1",18
"42","2","9","1",19
"43","3","9","1",20
"44","4","9","1",11
"45","5","9","1",10
"46","1","10","1",9
"47","2","10","1",8
"48","3","10","1",7
"49","4","10","1",6
"50","5","10","1",5
"51","1","1","2",8
"52","2","1","2",11
"53","3","1","2",12
"54","4","1","2",14
"55","5","1","2",18
"56","1","2","2",19
"57","2","2","2",20
"58","3","2","2",7
"59","4","2","2",6
"60","5","2","2",5
"61","1","3","2",13
"62","2","3","2",12
"63","3","3","2",11
"64","4","3","2",10
"65","5","3","2",9
"66","1","4","2",14
"67","2","4","2",15
"68","3","4","2",16
"69","4","4","2",17
"70","5","4","2",18
"71","1","5","2",19
"72","2","5","2",20
"73","3","5","2",10
"74","4","5","2",9
"75","5","5","2",8
"76","1","6","2",8
"77","2","6","2",7
"78","3","6","2",6
"79","4","6","2",5
"80","5","6","2",4
"81","1","7","2",14
"82","2","7","2",15
"83","3","7","2",16
"84","4","7","2",17
"85","5","7","2",18
"86","1","8","2",19
"87","2","8","2",20
"88","3","8","2",13
"89","4","8","2",12
"90","5","8","2",11
"91","1","9","2",8
"92","2","9","2",7
"93","3","9","2",6
"94","4","9","2",5
"95","5","9","2",4
"96","1","10","2",14
"97","2","10","2",15
"98","3","10","2",16
"99","4","10","2",17
"100","5","10","2",18
