"","segment","month","year","sim","state"
"1","1","1","1","1",2
"2","2","1","1","1",2
"3","3","1","1","1",2
"4","4","1","1","1",2
"5","5","1","1","1",2
"6","6","1","1","1",1
"7","7","1","1","1",1
"8","8","1","1","1",1
"9","9","1","1","1",1
"10","10","1","1","1",1
"11","11","1","1","1",1
"12","12","1","1","1",1
"13","13","1","1","1",1
"14","14","1","1","1",1
"15","15","1","1","1",1
"16","16","1","1","1",1
"17","17","1","1","1",1
"18","18","1","1","1",1
"19","19","1","1","1",1
"20","20","1","1","1",1
"21","1","2","1","1",1
"22","2","2","1","1",1
"23","3","2","1","1",2
"24","4","2","1","1",1
"25","5","2","1","1",1
"26","6","2","1","1",1
"27","7","2","1","1",1
"28","8","2","1","1",1
"29","9","2","1","1",2
"30","10","2","1","1",1
"31","11","2","1","1",1
"32","12","2","1","1",1
"33","13","2","1","1",2
"34","14","2","1","1",2
"35","15","2","1","1",2
"36","16","2","1","1",2
"37","17","2","1","1",1
"38","18","2","1","1",2
"39","19","2","1","1",2
"40","20","2","1","1",2
"41","1","3","1","1",1
"42","2","3","1","1",1
"43","3","3","1","1",2
"44","4","3","1","1",1
"45","5","3","1","1",1
"46","6","3","1","1",1
"47","7","3","1","1",1
"48","8","3","1","1",1
"49","9","3","1","1",2
"50","10","3","1","1",2
"51","11","3","1","1",2
"52","12","3","1","1",1
"53","13","3","1","1",2
"54","14","3","1","1",2
"55","15","3","1","1",2
"56","16","3","1","1",2
"57","17","3","1","1",2
"58","18","3","1","1",2
"59","19","3","1","1",2
"60","20","3","1","1",2
"61","1","4","1","1",1
"62","2","4","1","1",1
"63","3","4","1","1",1
"64","4","4","1","1",1
"65","5","4","1","1",2
"66","6","4","1","1",1
"67","7","4","1","1",1
"68","8","4","1","1",2
"69","9","4","1","1",2
"70","10","4","1","1",2
"71","11","4","1","1",2
"72","12","4","1","1",1
"73","13","4","1","1",2
"74","14","4","1","1",2
"75","15","4","1","1",2
"76","16","4","1","1",2
"77","17","4","1","1",2
"78","18","4","1","1",2
"79","19","4","1","1",2
"80","20","4","1","1",2
"81","1","5","1","1",1
"82","2","5","1","1",1
"83","3","5","1","1",1
"84","4","5","1","1",2
"85","5","5","1","1",1
"86","6","5","1","1",1
"87","7","5","1","1",1
"88","8","5","1","1",2
"89","9","5","1","1",2
"90","10","5","1","1",2
"91","11","5","1","1",2
"92","12","5","1","1",1
"93","13","5","1","1",2
"94","14","5","1","1",2
"95","15","5","1","1",2
"96","16","5","1","1",2
"97","17","5","1","1",2
"98","18","5","1","1",2
"99","19","5","1","1",2
"100","20","5","1","1",2
"101","1","6","1","1",1
"102","2","6","1","1",2
"103","3","6","1","1",1
"104","4","6","1","1",1
"105","5","6","1","1",1
"106","6","6","1","1",1
"107","7","6","1","1",1
"108","8","6","1","1",2
"109","9","6","1","1",2
"110","10","6","1","1",2
"111","11","6","1","1",2
"112","12","6","1","1",1
"113","13","6","1","1",2
"114","14","6","1","1",2
"115","15","6","1","1",2
"116","16","6","1","1",2
"117","17","6","1","1",2
"118","18","6","1","1",2
"119","19","6","1","1",2
"120","20","6","1","1",2
"121","1","7","1","1",1
"122","2","7","1","1",1
"123","3","7","1","1",1
"124","4","7","1","1",2
"125","5","7","1","1",1
"126","6","7","1","1",1
"127","7","7","1","1",1
"128","8","7","1","1",2
"129","9","7","1","1",2
"130","10","7","1","1",2
"131","11","7","1","1",2
"132","12","7","1","1",1
"133","13","7","1","1",2
"134","14","7","1","1",2
"135","15","7","1","1",2
"136","16","7","1","1",2
"137","17","7","1","1",2
"138","18","7","1","1",2
"139","19","7","1","1",2
"140","20","7","1","1",2
"141","1","8","1","1",2
"142","2","8","1","1",1
"143","3","8","1","1",1
"144","4","8","1","1",2
"145","5","8","1","1",1
"146","6","8","1","1",1
"147","7","8","1","1",2
"148","8","8","1","1",2
"149","9","8","1","1",2
"150","10","8","1","1",2
"151","11","8","1","1",2
"152","12","8","1","1",2
"153","13","8","1","1",2
"154","14","8","1","1",2
"155","15","8","1","1",2
"156","16","8","1","1",2
"157","17","8","1","1",2
"158","18","8","1","1",2
"159","19","8","1","1",2
"160","20","8","1","1",2
"161","1","9","1","1",1
"162","2","9","1","1",1
"163","3","9","1","1",1
"164","4","9","1","1",1
"165","5","9","1","1",1
"166","6","9","1","1",1
"167","7","9","1","1",2
"168","8","9","1","1",2
"169","9","9","1","1",2
"170","10","9","1","1",2
"171","11","9","1","1",2
"172","12","9","1","1",2
"173","13","9","1","1",2
"174","14","9","1","1",2
"175","15","9","1","1",2
"176","16","9","1","1",2
"177","17","9","1","1",2
"178","18","9","1","1",2
"179","19","9","1","1",2
"180","20","9","1","1",2
"181","1","10","1","1",1
"182","2","10","1","1",1
"183","3","10","1","1",1
"184","4","10","1","1",1
"185","5","10","1","1",1
"186","6","10","1","1",1
"187","7","10","1","1",2
"188","8","10","1","1",2
"189","9","10","1","1",2
"190","10","10","1","1",2
"191","11","10","1","1",2
"192","12","10","1","1",2
"193","13","10","1","1",2
"194","14","10","1","1",2
"195","15","10","1","1",2
"196","16","10","1","1",2
"197","17","10","1","1",2
"198","18","10","1","1",2
"199","19","10","1","1",2
"200","20","10","1","1",2
"201","1","11","1","1",1
"202","2","11","1","1",1
"203","3","11","1","1",1
"204","4","11","1","1",1
"205","5","11","1","1",1
"206","6","11","1","1",1
"207","7","11","1","1",2
"208","8","11","1","1",2
"209","9","11","1","1",2
"210","10","11","1","1",2
"211","11","11","1","1",2
"212","12","11","1","1",2
"213","13","11","1","1",2
"214","14","11","1","1",2
"215","15","11","1","1",2
"216","16","11","1","1",2
"217","17","11","1","1",2
"218","18","11","1","1",2
"219","19","11","1","1",2
"220","20","11","1","1",2
"221","1","12","1","1",1
"222","2","12","1","1",2
"223","3","12","1","1",1
"224","4","12","1","1",2
"225","5","12","1","1",2
"226","6","12","1","1",1
"227","7","12","1","1",2
"228","8","12","1","1",2
"229","9","12","1","1",2
"230","10","12","1","1",2
"231","11","12","1","1",2
"232","12","12","1","1",2
"233","13","12","1","1",2
"234","14","12","1","1",2
"235","15","12","1","1",2
"236","16","12","1","1",2
"237","17","12","1","1",2
"238","18","12","1","1",2
"239","19","12","1","1",2
"240","20","12","1","1",2
"241","1","1","2","1",2
"242","2","1","2","1",2
"243","3","1","2","1",2
"244","4","1","2","1",2
"245","5","1","2","1",2
"246","6","1","2","1",1
"247","7","1","2","1",2
"248","8","1","2","1",2
"249","9","1","2","1",2
"250","10","1","2","1",2
"251","11","1","2","1",2
"252","12","1","2","1",2
"253","13","1","2","1",2
"254","14","1","2","1",2
"255","15","1","2","1",2
"256","16","1","2","1",2
"257","17","1","2","1",2
"258","18","1","2","1",2
"259","19","1","2","1",1
"260","20","1","2","1",1
"261","1","2","2","1",2
"262","2","2","2","1",2
"263","3","2","2","1",2
"264","4","2","2","1",2
"265","5","2","2","1",2
"266","6","2","2","1",2
"267","7","2","2","1",2
"268","8","2","2","1",2
"269","9","2","2","1",2
"270","10","2","2","1",2
"271","11","2","2","1",2
"272","12","2","2","1",2
"273","13","2","2","1",2
"274","14","2","2","1",1
"275","15","2","2","1",2
"276","16","2","2","1",2
"277","17","2","2","1",1
"278","18","2","2","1",1
"279","19","2","2","1",2
"280","20","2","2","1",2
"281","1","3","2","1",2
"282","2","3","2","1",2
"283","3","3","2","1",2
"284","4","3","2","1",2
"285","5","3","2","1",2
"286","6","3","2","1",2
"287","7","3","2","1",2
"288","8","3","2","1",2
"289","9","3","2","1",2
"290","10","3","2","1",2
"291","11","3","2","1",2
"292","12","3","2","1",2
"293","13","3","2","1",2
"294","14","3","2","1",1
"295","15","3","2","1",2
"296","16","3","2","1",2
"297","17","3","2","1",1
"298","18","3","2","1",1
"299","19","3","2","1",2
"300","20","3","2","1",1
"301","1","4","2","1",2
"302","2","4","2","1",2
"303","3","4","2","1",2
"304","4","4","2","1",2
"305","5","4","2","1",2
"306","6","4","2","1",2
"307","7","4","2","1",2
"308","8","4","2","1",2
"309","9","4","2","1",2
"310","10","4","2","1",2
"311","11","4","2","1",2
"312","12","4","2","1",2
