"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps",0.499758606129429,0.288528198139707,0.0248022607760504,0.250105377926957,0.49937751411926,0.749197092372924,0.974779835878871,0.999998737117137,3e+05,0,1,"eps",0.577335126601067,1,1
"eps1",0.500191038266706,0.288535233926515,0.0252254877421226,0.250200846558328,0.500135173218521,0.750834747333788,0.974351539681995,1.00001598464344,104901,0,1,"eps",0.576850066979139,2,1
"eps2",0.500340424410059,0.288533632506324,0.0249297829365896,0.251076674773782,0.500612452685242,0.750064755885308,0.975239727509762,0.999998882446767,3e+05,0,1,"eps",0.576674636766613,3,1
"eps3",0.498956526711829,0.288577867470804,0.0249070383447996,0.24833912228187,0.499014272346009,0.748768309319487,0.974613021348652,1.00000273558473,261923,0,1,"eps",0.578362747096545,4,1
"eps4",0.498997683047312,0.288366919331038,0.0246647029789459,0.249482835230251,0.498803549504385,0.747773939475872,0.974791522760203,0.999996697405092,3e+05,0,1,"eps",0.577892301162644,5,1
"eps5",0.498554485891336,0.288011431348243,0.0249607231267932,0.249375216201696,0.498468655488304,0.747724181653577,0.974573475104736,1.0000012800892,3e+05,0,1,"eps",0.577692989429881,6,1
"eps6",0.498145458146486,0.288117813209887,0.0252080334070807,0.248242561364332,0.497911016871864,0.747112727481322,0.973999270495377,1.00000599407027,185475,0,1,"eps",0.578380889553674,7,1
"eps7",0.49784733062726,0.288382292427514,0.0250257281114951,0.24804086987368,0.496714252097906,0.747200637160427,0.974136246012438,1.00001129359183,166736,0,1,"eps",0.579258488870813,8,1
"eps8",0.497245821108203,0.288388268690685,0.0247678041670437,0.247274564971575,0.495262392090159,0.746697539446226,0.974375204796348,1.00000096795701,3e+05,0,1,"eps",0.579971226400574,9,1
"eps9",0.497851510813748,0.288708193497511,0.0246193475153141,0.24802186766494,0.497487794734114,0.747851639013955,0.974821197844626,0.999997057598055,3e+05,0,1,"eps",0.579908240161032,10,1
"eps10",0.498998021468835,0.288571936885019,0.0251132795470767,0.249269714870024,0.497800831333734,0.748417366994545,0.974905426375335,0.999999527502645,3e+05,0,1,"eps",0.578302767685506,1,2
"eps11",0.498722617541799,0.289086464789884,0.0245854234210602,0.247753229315678,0.49779965715214,0.749727065975148,0.97481433588851,1.00001720172855,95260,0,1,"eps",0.579653808794134,2,2
"eps21",0.498609928139991,0.289403226977191,0.0245451871058662,0.24714697217171,0.498669678150027,0.749579587234444,0.975110660267433,1.00001400072001,115444,0,1,"eps",0.580420105265008,3,2
"eps31",0.499556998606487,0.289653627905514,0.0243551608498852,0.247870324588511,0.499361916485245,0.751407650997706,0.975020440583271,1.00001452646365,112507,0,1,"eps",0.579820978814235,4,2
"eps41",0.499825765041061,0.28958285904668,0.0245850319658732,0.248544895177504,0.499957181206105,0.75056082997788,0.975747938272857,1.00001062382006,129230,0,1,"eps",0.579367610276934,5,2
"eps51",0.499293173317161,0.289870681640039,0.0237916815818589,0.247663469749077,0.499119151292344,0.75106992897266,0.974986382443655,1.00000220459034,294746,0,1,"eps",0.580562076813952,6,2
"eps61",0.498854179198361,0.289994716467036,0.0238458901295467,0.246563567647892,0.498285784061041,0.751100527062986,0.975606186396933,1.00000293199261,3e+05,0,1,"eps",0.581321613728979,7,2
"eps71",0.498420119477929,0.290093645227001,0.023779295681598,0.245798890339262,0.497916391571171,0.75041092208562,0.975182379581241,1.00000019343779,3e+05,0,1,"eps",0.582026354656108,8,2
"eps81",0.497979758445946,0.289983362209031,0.0233937763204946,0.245429339317024,0.497399972472363,0.749995315703291,0.975393899074062,0.999998245058281,3e+05,0,1,"eps",0.582319576831772,9,2
"eps91",0.498719515146063,0.289975842619864,0.023830341676483,0.24677241544541,0.498379317505574,0.750192012893272,0.975703810203754,0.999996888911022,3e+05,0,1,"eps",0.581440737355018,10,2
"eps12",0.500077664694092,0.288633715698075,0.0249880634248257,0.250013629789464,0.500052030314691,0.750364125822671,0.97502009353484,1.00000067993379,3e+05,0,1,"eps",0.577177778724907,1,3
"eps13",0.500205734822363,0.288063952484708,0.0251088218108945,0.25065998061098,0.500518506649906,0.749153422924572,0.974700590206167,0.999999861812674,3e+05,0,1,"eps",0.575890943327565,2,3
"eps22",0.500104923295114,0.288115890704467,0.0258234870910266,0.250810796052993,0.500084683436817,0.749729208744569,0.974323104013083,1.00000186146644,3e+05,0,1,"eps",0.576110886503808,3,3
"eps32",0.500282726966549,0.288060608201616,0.0254608802444224,0.251372283513317,0.500735684373878,0.748654897061163,0.975201451874016,0.999998754769016,3e+05,0,1,"eps",0.575795630499307,4,3
