"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","segment","year","sim"
"State.fin[1]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,1,1
"State.fin[2]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,1,1
"State.fin[3]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,1,1
"State.fin[4]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,1,1
"State.fin[5]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,1,1
"State.fin[6]",1.39818333333333,0.489524427551312,1,1,1,2,2,0.999999551666589,3e+05,0,1,"State.fin[6]",6,1,1
"State.fin[7]",1.66441333333333,0.472195932905207,1,1,2,2,2,1.00000879733391,162513,0,1,"State.fin[7]",7,1,1
"State.fin[8]",1.60747666666667,0.4883129743864,1,1,2,2,2,1.0000059064195,192245,0,1,"State.fin[8]",8,1,1
"State.fin[9]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,1,1
"State.fin[10]",1.61657,0.486222400903891,1,1,2,2,2,1.00000920133659,148903,0,1,"State.fin[10]",10,1,1
"State.fin[11]",1.40028666666667,0.489957193384341,1,1,1,2,2,1.00001592189079,99546,0,1,"State.fin[11]",11,1,1
"State.fin[12]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,1,1
"State.fin[13]",1.61204333333333,0.487285422463911,1,1,2,2,2,1.00000424638235,227714,0,1,"State.fin[13]",13,1,1
"State.fin[14]",1.61196333333333,0.487303810306159,1,1,2,2,2,1.00001550294667,102679,0,1,"State.fin[14]",14,1,1
"State.fin[15]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,1,1
"State.fin[16]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,1,1
"State.fin[17]",1.60768666666667,0.488266706322966,1,1,2,2,2,1.00001427986334,108765,0,1,"State.fin[17]",17,1,1
"State.fin[18]",1.66028,0.473614895567658,1,1,2,2,2,1.00000700697545,185622,0,1,"State.fin[18]",18,1,1
"State.fin[19]",1.6076,0.488285812555975,1,1,2,2,2,1.00001076261286,133027,0,1,"State.fin[19]",19,1,1
"State.fin[20]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,1,1
"State.fin[21]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[21]",21,1,1
"State.fin[22]",1.61569333333333,0.486431743764419,1,1,2,2,2,1.00000751413188,168834,0,1,"State.fin[22]",22,1,1
"State.fin[23]",1.39971666666667,0.489840844427111,1,1,1,2,2,0.999996524540032,3e+05,0,1,"State.fin[23]",23,1,1
"State.fin[24]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,1,1
"State.fin[25]",1.40054333333333,0.490009358910073,1,1,1,2,2,0.999998684755242,3e+05,0,1,"State.fin[25]",25,1,1
"State.fin[26]",1.61597666666667,0.486364268105255,1,1,2,2,2,1.00000744987494,169764,0,1,"State.fin[26]",26,1,1
"State.fin[27]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,1,1
"State.fin[28]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,1,1
