"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma1",-0.00264455897466964,3.15805296726536,-6.19009339097709,-2.13014793531225,-0.00458525589836895,2.12727328199991,6.18427501837778,1.00001453151643,115585,1,0.500456666666667,"gamma1",1,1
"gamma11",-0.00190829178882259,0.562439592456026,-1.10228144517878,-0.382419769288469,-0.00120234430867117,0.377858835178826,1.09664135834409,1.00001484634643,3e+05,1,0.500913333333333,"gamma1",2,1
"gamma12",-0.000252213148949284,1.33530539616165,-2.61345315711695,-0.899608851652172,-0.00219636978513865,0.901151957282618,2.61816752674157,0.999998381239237,3e+05,1,0.50066,"gamma1",3,1
"gamma13",-0.00143868839918108,0.866173011577981,-1.69387758570095,-0.587283432224556,-0.00171830598027083,0.583000909597719,1.70150758085883,0.999999579264843,3e+05,1,0.500816666666667,"gamma1",4,1
"gamma14",-0.00500220388093504,1.07619468366788,-2.10958761583891,-0.732895367144686,-0.00345455014130377,0.724266259929987,2.10199209017283,1.00000862117724,166406,1,0.501286666666667,"gamma1",5,1
"gamma15",-0.00368267368988117,0.962063487765861,-1.88915118499535,-0.651534901279509,-0.00300784970264635,0.643000576254519,1.88460949118842,1.00001225812098,191533,1,0.501193333333333,"gamma1",6,1
"gamma16",-0.00644846759347905,1.02017543685905,-2.01096828904697,-0.693574748248793,-0.00749773352521071,0.680886793277706,1.99797950518645,1.00000245587558,3e+05,1,0.50279,"gamma1",7,1
"gamma17",-0.00957547056529866,0.989729383602099,-1.94585991438971,-0.67841563703014,-0.00930324907832839,0.660057080472868,1.92902143383161,1.00001302914925,118646,1,0.50388,"gamma1",8,1
"gamma18",-0.00786455997314811,1.00548366897307,-1.97467781773892,-0.686858355174055,-0.0086603569905901,0.672291125207933,1.9665888152532,0.999998124393822,3e+05,1,0.50342,"gamma1",9,1
"gamma19",-0.00840999679786451,0.996026748297504,-1.9633510287841,-0.679601799704648,-0.00835037002981368,0.66134953556412,1.94611261547435,0.999995881416181,3e+05,1,0.503256666666667,"gamma1",10,1
"gamma110",0.00371958832961944,3.16285483210105,-6.18896798409943,-2.13879503785657,0.00656997876109857,2.1374897021349,6.20337511020044,1.00000196781721,3e+05,1,0.50085,"gamma1",1,2
"gamma111",0.00453605962371327,0.563653254552268,-1.09895030113666,-0.375604846719594,0.00553690089136714,0.385289894864369,1.10780987396458,1.00000376987135,268027,1,0.50399,"gamma1",2,2
"gamma121",0.00755807063620205,1.32914982879282,-2.59372133149841,-0.889147682265434,0.00647801636562307,0.902584111201582,2.61784950854601,0.999996490863902,3e+05,1,0.501973333333333,"gamma1",3,2
"gamma131",0.00584512009637676,0.866669588529077,-1.69449638785794,-0.577766346481485,0.00661218423453581,0.591246028932382,1.70022310370593,1.00000215127654,3e+05,1,0.503166666666667,"gamma1",4,2
"gamma141",0.00779233732322162,1.07598928456149,-2.10863047415156,-0.715200174855223,0.00986520061278238,0.733707539400403,2.10894292335249,1.00001022788438,252890,1,0.503626666666667,"gamma1",5,2
"gamma151",0.00889958343223043,0.963967387847556,-1.87693998070213,-0.642519972529515,0.00853202363931361,0.658559947999246,1.896997498196,1.00000690315135,3e+05,1,0.503436666666667,"gamma1",6,2
"gamma161",0.00640589922925645,1.0202410092378,-1.9872594677712,-0.682311890841494,0.00467095222708116,0.696843719315652,2.00985214369148,0.999998376773744,3e+05,1,0.501913333333333,"gamma1",7,2
"gamma171",0.00699416462922861,0.99170036068697,-1.93879158040324,-0.663971778799792,0.00547891943498302,0.676850569596475,1.94820078943741,1.00000867593935,151308,1,0.502206666666667,"gamma1",8,2
"gamma181",0.0057030074957126,1.0031816450934,-1.96612931387296,-0.669300972519747,0.00547797829570081,0.681510003486238,1.97203304844157,1.00000426897973,261201,1,0.502193333333333,"gamma1",9,2
"gamma191",0.00669887849478842,0.997128682964675,-1.95247425150914,-0.665411094184149,0.00533826049817597,0.680256497827577,1.96062509466292,1.00000427085881,257775,1,0.502046666666667,"gamma1",10,2
"gamma112",0.00268741493261531,3.16147617938974,-6.17895231349515,-2.13231310372157,-0.00433799682405789,2.13625530989901,6.22851878482275,1.00000296235208,3e+05,1,0.49942,"gamma1",1,3
"gamma113",0.00407716594457957,0.561468587981871,-1.0962856311926,-0.37497231983974,0.0040374362912573,0.383061829589385,1.10157566915297,1.00000867606051,163229,1,0.502963333333333,"gamma1",2,3
"gamma122",0.00667182387360814,1.33470096195303,-2.62002018773134,-0.89359412797604,0.00840783865833132,0.909880265644442,2.61493383295717,0.999999072123318,3e+05,1,0.502546666666667,"gamma1",3,3
"gamma132",0.00773507148389616,0.866162295355235,-1.69095402087824,-0.575795757714816,0.00892643904976217,0.591636525908682,1.70700639989638,1.00000757136976,192671,1,0.504166666666667,"gamma1",4,3
"gamma142",0.00646690604878259,1.07451493917853,-2.09672566526606,-0.718401001463554,0.00777131989062217,0.733286245130868,2.11012432660522,1.00000135034746,3e+05,1,0.502903333333333,"gamma1",5,3
"gamma152",0.00138283477107513,0.963244199795682,-1.88365971430436,-0.650774719907602,0.00301469939684992,0.650785861263156,1.88715593568467,1.00000102901815,3e+05,1,0.501143333333333,"gamma1",6,3
"gamma162",0.000810187351752966,1.01802988446945,-1.99776116407647,-0.686735584737106,0.000872788124850062,0.688154494360539,1.99176454985144,0.999997428765857,3e+05,1,0.500353333333333,"gamma1",7,3
"gamma172",-0.000428234957702317,0.990823098160202,-1.94517718846275,-0.666462329555144,0.00112973605295503,0.66812890003045,1.94114682481328,0.999998252855855,3e+05,1,0.4995,"gamma1",8,3
"gamma182",0.000345195966425753,1.00197582463496,-1.97077350841825,-0.676189464735365,0.000414147697253829,0.676495949254964,1.95990216435465,1.00000826542504,156479,1,0.500166666666667,"gamma1",9,3
"gamma192",0.000464293915745773,0.999178655024088,-1.95363835329839,-0.675198951429861,0.00202455674353555,0.672834919984684,1.95780979128316,1.00000828140501,3e+05,1,0.50083,"gamma1",10,3
"gamma114",-0.00188124880786291,3.15898082132582,-6.20215938793084,-2.12546522896934,0.00349314900168035,2.1266283538698,6.17156204865268,1.00000773957338,192878,1,0.499583333333333,"gamma1",1,4
"gamma115",-0.00280776747086734,0.563222282466559,-1.10958968757754,-0.382213879548566,-0.0029043052936882,0.37870973473941,1.09781967003784,1.00000222981289,3e+05,1,0.50192,"gamma1",2,4
