"","n.rem","year","sim","segment"
"1","1","1","1",25
"2","2","1","1",11
"3","3","1","1",6
"4","4","1","1",37
"5","5","1","1",23
"6","1","2","1",34
"7","2","2","1",38
"8","3","2","1",4
"9","4","2","1",5
"10","5","2","1",50
"11","1","3","1",49
"12","2","3","1",15
"13","3","3","1",33
"14","4","3","1",3
"15","5","3","1",48
"16","1","4","1",45
"17","2","4","1",23
"18","3","4","1",8
"19","4","4","1",42
"20","5","4","1",21
"21","1","5","1",18
"22","2","5","1",37
"23","3","5","1",31
"24","4","5","1",12
"25","5","5","1",39
"26","1","6","1",40
"27","2","6","1",30
"28","3","6","1",14
"29","4","6","1",28
"30","5","6","1",11
"31","1","7","1",44
"32","2","7","1",3
"33","3","7","1",10
"34","4","7","1",9
"35","5","7","1",7
"36","1","8","1",19
"37","2","8","1",35
"38","3","8","1",24
"39","4","8","1",4
"40","5","8","1",29
"41","1","9","1",16
"42","2","9","1",22
"43","3","9","1",20
"44","4","9","1",49
"45","5","9","1",17
"46","1","10","1",2
"47","2","10","1",50
"48","3","10","1",43
"49","4","10","1",32
"50","5","10","1",1
"51","1","1","2",25
"52","2","1","2",11
"53","3","1","2",6
"54","4","1","2",37
"55","5","1","2",23
"56","1","2","2",28
"57","2","2","2",16
"58","3","2","2",36
"59","4","2","2",20
"60","5","2","2",26
"61","1","3","2",4
"62","2","3","2",3
"63","3","3","2",1
"64","4","3","2",43
"65","5","3","2",40
"66","1","4","2",42
"67","2","4","2",41
"68","3","4","2",14
"69","4","4","2",21
"70","5","4","2",30
"71","1","5","2",35
"72","2","5","2",10
"73","3","5","2",7
"74","4","5","2",25
"75","5","5","2",50
"76","1","6","2",32
"77","2","6","2",12
"78","3","6","2",37
"79","4","6","2",8
"80","5","6","2",6
"81","1","7","2",40
"82","2","7","2",19
"83","3","7","2",48
"84","4","7","2",49
"85","5","7","2",5
"86","1","8","2",2
"87","2","8","2",27
"88","3","8","2",15
"89","4","8","2",44
"90","5","8","2",3
"91","1","9","2",7
"92","2","9","2",38
"93","3","9","2",20
"94","4","9","2",1
"95","5","9","2",33
"96","1","10","2",18
"97","2","10","2",9
"98","3","10","2",45
"99","4","10","2",17
"100","5","10","2",50
"101","1","1","3",25
"102","2","1","3",11
"103","3","1","3",6
"104","4","1","3",37
"105","5","1","3",23
"106","1","2","3",17
"107","2","2","3",41
"108","3","2","3",12
"109","4","2","3",38
"110","5","2","3",33
"111","1","3","3",47
"112","2","3","3",39
"113","3","3","3",27
"114","4","3","3",2
"115","5","3","3",44
"116","1","4","3",31
"117","2","4","3",21
"118","3","4","3",28
"119","4","4","3",16
"120","5","4","3",20
"121","1","5","3",29
"122","2","5","3",37
"123","3","5","3",13
"124","4","5","3",25
"125","5","5","3",10
"126","1","6","3",18
"127","2","6","3",50
"128","3","6","3",6
"129","4","6","3",4
"130","5","6","3",27
"131","1","7","3",1
"132","2","7","3",24
"133","3","7","3",36
"134","4","7","3",46
"135","5","7","3",17
"136","1","8","3",40
"137","2","8","3",14
"138","3","8","3",15
"139","4","8","3",34
"140","5","8","3",26
"141","1","9","3",28
"142","2","9","3",5
"143","3","9","3",35
"144","4","9","3",8
"145","5","9","3",22
"146","1","10","3",17
"147","2","10","3",42
"148","3","10","3",23
"149","4","10","3",48
"150","5","10","3",32
"151","1","1","4",25
"152","2","1","4",11
"153","3","1","4",6
"154","4","1","4",37
"155","5","1","4",23
"156","1","2","4",3
"157","2","2","4",31
"158","3","2","4",18
"159","4","2","4",9
"160","5","2","4",27
"161","1","3","4",1
"162","2","3","4",50
"163","3","3","4",34
"164","4","3","4",41
"165","5","3","4",22
"166","1","4","4",13
"167","2","4","4",20
"168","3","4","4",25
"169","4","4","4",29
"170","5","4","4",37
"171","1","5","4",16
"172","2","5","4",35
"173","3","5","4",43
"174","4","5","4",49
"175","5","5","4",14
"176","1","6","4",4
"177","2","6","4",21
"178","3","6","4",36
"179","4","6","4",24
"180","5","6","4",2
"181","1","7","4",11
"182","2","7","4",26
"183","3","7","4",45
"184","4","7","4",7
"185","5","7","4",46
"186","1","8","4",39
"187","2","8","4",17
"188","3","8","4",33
"189","4","8","4",8
"190","5","8","4",1
"191","1","9","4",38
"192","2","9","4",6
"193","3","9","4",21
"194","4","9","4",35
"195","5","9","4",12
"196","1","10","4",47
"197","2","10","4",40
"198","3","10","4",50
"199","4","10","4",19
"200","5","10","4",30
"201","1","1","5",25
"202","2","1","5",11
"203","3","1","5",6
"204","4","1","5",37
"205","5","1","5",23
"206","1","2","5",34
"207","2","2","5",7
"208","3","2","5",10
"209","4","2","5",42
"210","5","2","5",5
"211","1","3","5",2
"212","2","3","5",32
"213","3","3","5",16
"214","4","3","5",19
"215","5","3","5",41
"216","1","4","5",49
"217","2","4","5",12
"218","3","4","5",18
"219","4","4","5",20
"220","5","4","5",1
"221","1","5","5",30
"222","2","5","5",35
"223","3","5","5",13
"224","4","5","5",40
"225","5","5","5",22
"226","1","6","5",2
"227","2","6","5",17
"228","3","6","5",37
"229","4","6","5",15
"230","5","6","5",24
"231","1","7","5",9
"232","2","7","5",48
"233","3","7","5",50
"234","4","7","5",45
"235","5","7","5",29
"236","1","8","5",14
"237","2","8","5",44
"238","3","8","5",43
"239","4","8","5",47
"240","5","8","5",26
"241","1","9","5",49
"242","2","9","5",8
"243","3","9","5",23
"244","4","9","5",27
"245","5","9","5",11
"246","1","10","5",38
"247","2","10","5",39
"248","3","10","5",4
"249","4","10","5",50
"250","5","10","5",3
