"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","segment","year","sim"
"State.fin[1]",1.41829333333333,0.493279668854287,1,1,1,2,2,1.00000719367461,168503,0,1,"State.fin[1]",1,1,6
"State.fin[2]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,1,6
"State.fin[3]",1.39408,0.488652995017082,1,1,1,2,2,1.00000226118364,288372,0,1,"State.fin[3]",3,1,6
"State.fin[4]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,1,6
"State.fin[5]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,1,6
"State.fin[6]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,1,6
"State.fin[7]",1.61250333333333,0.48717942396499,1,1,2,2,2,1.00000396362873,234991,0,1,"State.fin[7]",7,1,6
"State.fin[8]",1.61237333333333,0.487209426426637,1,1,2,2,2,1.00000753134114,168087,0,1,"State.fin[8]",8,1,6
"State.fin[9]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,1,6
"State.fin[10]",1.59084666666667,0.491678440630852,1,1,2,2,2,0.999997806809503,3e+05,0,1,"State.fin[10]",10,1,6
"State.fin[11]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,1,6
"State.fin[12]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,1,6
"State.fin[13]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,1,6
"State.fin[14]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,1,6
"State.fin[15]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,1,6
"State.fin[16]",1.59041666666667,0.491757696914172,1,1,2,2,2,1.00000253399082,274414,0,1,"State.fin[16]",16,1,6
"State.fin[17]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,1,6
"State.fin[18]",1.59083666666667,0.491680288216414,1,1,2,2,2,1.00000533905515,200023,0,1,"State.fin[18]",18,1,6
"State.fin[19]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,1,6
"State.fin[20]",1.40014,0.489927321646726,1,1,1,2,2,1.00000702583565,173215,0,1,"State.fin[20]",20,1,6
"State.fin[21]",1.61030666666667,0.487681486286212,1,1,2,2,2,0.999998385381315,3e+05,0,1,"State.fin[21]",21,1,6
"State.fin[22]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,1,6
"State.fin[23]",1.61241,0.487200967893069,1,1,2,2,2,1.00001239641886,121091,0,1,"State.fin[23]",23,1,6
"State.fin[24]",1.61214333333333,0.487262418214699,1,1,2,2,2,1.00000606241369,190344,0,1,"State.fin[24]",24,1,6
"State.fin[25]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[25]",25,1,6
"State.fin[26]",1.61680333333333,0.486166400712198,1,1,2,2,2,1.00000526979261,205975,0,1,"State.fin[26]",26,1,6
"State.fin[27]",1.39898333333333,0.489690139146171,1,1,1,2,2,1.00000247015944,279154,0,1,"State.fin[27]",27,1,6
"State.fin[28]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,1,6
"State.fin[29]",1.39470333333333,0.488787692528072,1,1,1,2,2,0.999995716043587,3e+05,0,1,"State.fin[29]",29,1,6
"State.fin[30]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,1,6
"State.fin[31]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,1,6
"State.fin[32]",1.59023666666667,0.491790758537331,1,1,2,2,2,0.999999097140808,3e+05,0,1,"State.fin[32]",32,1,6
"State.fin[33]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,1,6
"State.fin[34]",1.59066,0.491712894216297,1,1,2,2,2,1.00000559298075,195216,0,1,"State.fin[34]",34,1,6
"State.fin[35]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[35]",35,1,6
"State.fin[36]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,1,6
"State.fin[37]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,1,6
"State.fin[38]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[38]",38,1,6
"State.fin[39]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[39]",39,1,6
"State.fin[40]",1.59034666666667,0.491770562305068,1,1,2,2,2,1.0000030016242,258362,0,1,"State.fin[40]",40,1,6
"State.fin[41]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[41]",41,1,6
"State.fin[42]",1.60748666666667,0.488310773292575,1,1,2,2,2,1.00000745380955,168394,0,1,"State.fin[42]",42,1,6
"State.fin[43]",1.65474333333333,0.475452683562101,1,1,2,2,2,1.00000282754406,282612,0,1,"State.fin[43]",43,1,6
"State.fin[44]",1.64569333333333,0.478303476051491,1,1,2,2,2,0.999998711790505,3e+05,0,1,"State.fin[44]",44,1,6
"State.fin[45]",1.65386333333333,0.475738193840182,1,1,2,2,2,0.999999127307265,3e+05,0,1,"State.fin[45]",45,1,6
"State.fin[46]",1.60790666666667,0.488218133432221,1,1,2,2,2,1.00000298680003,262649,0,1,"State.fin[46]",46,1,6
"State.fin[47]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[47]",47,1,6
"State.fin[48]",1.59063333333333,0.491717810175279,1,1,2,2,2,1.00000595466192,188776,0,1,"State.fin[48]",48,1,6
"State.fin[49]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[49]",49,1,6
"State.fin[50]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[50]",50,1,6
"State.fin[1]1",1.93577,0.245162614297174,1,2,2,2,2,1.00003252771559,221598,0,1,"State.fin[1]",1,2,6
"State.fin[2]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,2,6
"State.fin[3]1",1.85109666666667,0.35599375429081,1,2,2,2,2,1.00002892996663,116231,0,1,"State.fin[3]",3,2,6
