"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.0027601333285422,1.00105993036935,-1.95786665077811,-0.67091772177556,0.00173591217779337,0.678429378141874,1.96738651669776,0.99999826281062,3e+05,1,0.50069,"gamma0",1,6
"gamma01",0.0013716356820164,0.998037104883287,-1.95630684722996,-0.670599546446294,0.00139938543378873,0.674567004222145,1.95639704511914,0.999998711765198,3e+05,1,0.500516666666667,"gamma0",2,6
"gamma02",-0.000505419745434175,1.00148601832471,-1.96420141967346,-0.677464791765015,0.000414081987134619,0.67310614224123,1.96325190316402,0.999995671119605,3e+05,1,0.49982,"gamma0",3,6
"gamma03",-0.000123334536129566,1.00044127870035,-1.96334357821355,-0.674949685553103,-0.00219826997435818,0.675014067705243,1.9649204519988,1.00000081371616,3e+05,1,0.500896666666667,"gamma0",4,6
"gamma04",-0.000735713290676593,0.999920787381676,-1.96255957312675,-0.675376966030669,-0.00194841180739926,0.673380605726686,1.95942948765651,1.00000545293654,3e+05,1,0.500826666666667,"gamma0",5,6
"gamma05",-0.00232143661903877,1.00033268847172,-1.95790998624538,-0.676770465838107,-0.00533980239862266,0.672903212747366,1.9580856201795,1.00001548619346,110303,1,0.502103333333333,"gamma0",6,6
"gamma06",-0.00599352981693028,0.999762427601369,-1.9644409182495,-0.681330441227256,-0.00405190010712713,0.669657506932846,1.95275043151323,1.00000113374753,3e+05,1,0.501593333333333,"gamma0",7,6
"gamma07",-0.00423485660144318,1.00058093982155,-1.96878321907605,-0.6770386242293,-0.00159261725598917,0.670427069734074,1.95217825468139,1.00000309143887,276608,1,0.500633333333333,"gamma0",8,6
"gamma08",-0.00568963149284327,1.00107564311025,-1.96050378339041,-0.682053698859051,-0.00761454918815045,0.670130429807533,1.95689506528874,0.999999131995027,3e+05,1,0.503013333333333,"gamma0",9,6
"gamma09",-0.00736031924954165,1.00096979492999,-1.96604919771052,-0.682517412345659,-0.00704294970120999,0.668237898008108,1.9538373487353,1.00001415606491,123840,1,0.502786666666667,"gamma0",10,6
"gamma010",-0.000706898025716814,1.00023661916394,-1.95970527258498,-0.676971962586052,0.00178188860132151,0.675296621278513,1.95796953205175,1.00000509409335,235005,1,0.499323333333333,"gamma0",1,7
"gamma011",-0.000651456949817318,0.997299764861717,-1.96031898042619,-0.676355486247294,-0.000379532038375283,0.676174825659627,1.94960949084772,1.00000611213172,3e+05,1,0.500153333333333,"gamma0",2,7
"gamma021",-0.00217642537160168,1.00025176528436,-1.9608794812273,-0.673251513733733,-0.00232817430887044,0.670931247603723,1.96101547778835,1.00000526676447,235239,1,0.50089,"gamma0",3,7
"gamma031",-0.0032175718108506,1.00044961158368,-1.96306550453689,-0.678863674844788,-0.00227954855205747,0.673161507065568,1.95495495927342,0.999999294005519,3e+05,1,0.500936666666667,"gamma0",4,7
"gamma041",-0.0044533755901846,1.00097535366563,-1.96808990428444,-0.680838930028179,-0.00254136626270407,0.671331609141837,1.95438274436441,1.00000977312572,3e+05,1,0.501013333333333,"gamma0",5,7
"gamma051",-0.00529886091390608,1.00332354235142,-1.97411536286762,-0.68296423976768,-0.00602372576061247,0.670866855054641,1.95814767586646,1.00000189129925,3e+05,1,0.50248,"gamma0",6,7
"gamma061",-0.00629351385947555,0.997136048920293,-1.96714615288238,-0.677063927413115,-0.00577831795523695,0.66401315777709,1.9509310273917,0.999999345511224,3e+05,1,0.502353333333333,"gamma0",7,7
"gamma071",-0.00569761837561748,0.999543254321339,-1.96105861984952,-0.678559502697274,-0.00735533550429345,0.665922383590908,1.95354951300315,0.999999455286055,3e+05,1,0.502933333333333,"gamma0",8,7
"gamma081",-0.00673602763463767,1.00133358801325,-1.97743113437267,-0.67849036528537,-0.00770031997130271,0.668440358842568,1.95446818493491,0.9999984548453,3e+05,1,0.503113333333333,"gamma0",9,7
"gamma091",-0.00826142494064889,0.999355025607907,-1.96709038559163,-0.680679656235985,-0.0102988565688186,0.665210960962595,1.95516072959582,0.999997760698732,3e+05,1,0.503896666666667,"gamma0",10,7
"gamma012",-0.00137732899760984,1.00040580633342,-1.96161945638356,-0.674780598177611,-0.00195498518834792,0.675101049344781,1.95363474165807,1.00000735889307,298954,1,0.50075,"gamma0",1,8
"gamma013",0.000558592677306761,0.999976069679175,-1.95721098275568,-0.674543395602275,-0.000267061891967382,0.67806872804568,1.95875628453277,0.999998104649729,3e+05,1,0.499886666666667,"gamma0",2,8
"gamma022",0.00422621456591424,1.00128590201798,-1.9603657805274,-0.670593684655432,0.0059020766990455,0.681906611641541,1.96686945023648,1.00001321320666,126894,1,0.502283333333333,"gamma0",3,8
"gamma032",0.00584381329198411,0.999153519430539,-1.9608393223545,-0.667939843385604,0.00646468386343604,0.680831267590909,1.95947941463449,1.00001595409622,261930,1,0.502513333333333,"gamma0",4,8
"gamma042",0.00539549421807072,1.00199662541993,-1.95703256503667,-0.670807208583136,0.00215696122546288,0.681393323680357,1.96911838938703,1.0000019665368,3e+05,1,0.500833333333333,"gamma0",5,8
"gamma052",0.00551932386549069,0.998288602027982,-1.94917152493081,-0.669537303264161,0.0057272740750879,0.678867171403773,1.96222664471266,1.0000103288119,230258,1,0.502253333333333,"gamma0",6,8
"gamma062",0.00437152058296247,1.00124934512735,-1.96285932286105,-0.670341520542091,0.0056980477055486,0.679157142906616,1.96717524515216,1.00001070922443,157093,1,0.502223333333333,"gamma0",7,8
"gamma072",0.00339281441997943,0.998912459283928,-1.95304044335459,-0.668490658044283,0.000935246959996002,0.677483070696239,1.95977681347801,0.999999560055382,3e+05,1,0.500393333333333,"gamma0",8,8
"gamma082",0.00339464372476281,1.000928910565,-1.95124643946223,-0.671497014717773,0.000522808318418601,0.67627491519985,1.97304884140275,1.00000380465727,3e+05,1,0.500236666666667,"gamma0",9,8
"gamma092",0.00433417476678184,0.999660205183651,-1.95782860196493,-0.669212536667896,0.00618222054556821,0.679266593567588,1.95833849855107,1.00000068453937,3e+05,1,0.502506666666667,"gamma0",10,8
"gamma014",9.84526197187225e-05,1.00235508758513,-1.95696584339377,-0.678756724908165,-0.00285576858087282,0.678946047952586,1.96943746882485,0.999996185101881,3e+05,1,0.498823333333333,"gamma0",1,9
"gamma015",-0.00286694307860841,0.9986131746302,-1.95642214552681,-0.676777135147336,-0.00117081388225254,0.670057805783973,1.95556245505588,0.999999514781079,3e+05,1,0.50045,"gamma0",2,9
"gamma023",-0.0064954173888037,1.00276365324614,-1.97357910237675,-0.681135173789748,-0.00714298260174775,0.67063475093625,1.95916265693667,1.00002991094431,76939,1,0.503006666666667,"gamma0",3,9
"gamma033",-0.00756772939578474,0.997752351625818,-1.96561905532346,-0.679775239701455,-0.00701160621410005,0.664202911232614,1.95257493258786,0.999996768989761,3e+05,1,0.50276,"gamma0",4,9
"gamma043",-0.00441054888919219,1.00274494947794,-1.96592167054454,-0.681343629711798,-0.00442976487322938,0.670790211712793,1.95889776159037,1.0000151340413,102105,1,0.50173,"gamma0",5,9
"gamma053",-0.00411708279204175,0.999290253354478,-1.96268135638568,-0.677956582451493,-0.00236592028723819,0.669877990884745,1.95149468108995,1.0000023738036,3e+05,1,0.50086,"gamma0",6,9
"gamma063",-0.00494029619308483,1.00023312775744,-1.96309454597052,-0.679932445735627,-0.00586324437991841,0.671543757957556,1.95225834390836,0.99999854501809,3e+05,1,0.50226,"gamma0",7,9
"gamma073",-0.00566109545332148,0.999768536886721,-1.96877858329717,-0.67892144261447,-0.00516246654184204,0.666714578975357,1.95462387750092,0.999998833930806,3e+05,1,0.502106666666667,"gamma0",8,9
"gamma083",-0.00357513443908193,0.99922852605197,-1.96373140867435,-0.676763338187014,-0.00359033266807114,0.669855114073767,1.95985222904207,1.00000365784565,267533,1,0.501416666666667,"gamma0",9,9
