"","n.rem","year","sim","segment"
"1",6,6,6,20
"2",6,6,6,3
"3",6,6,6,27
"4",6,6,6,1
"5",6,6,6,29
"6",6,6,6,41
"7",6,6,6,49
"8",6,6,6,19
"9",6,6,6,13
"10",6,6,6,28
"11",6,6,6,9
"12",6,6,6,39
"13",6,6,6,30
"14",6,6,6,11
"15",6,6,6,31
"16",6,6,6,47
"17",6,6,6,35
"18",6,6,6,5
"19",6,6,6,12
"20",6,6,6,32
"21",6,6,6,29
"22",6,6,6,6
"23",6,6,6,1
"24",6,6,6,21
"25",6,6,6,7
"26",6,6,6,15
"27",6,6,6,11
"28",6,6,6,38
"29",6,6,6,45
"30",6,6,6,8
"31",6,6,6,10
"32",6,6,6,30
"33",6,6,6,46
"34",6,6,6,4
"35",6,6,6,2
"36",6,6,6,25
"37",6,6,6,42
"38",6,6,6,48
"39",6,6,6,17
"40",6,6,6,1
"41",6,6,6,27
"42",6,6,6,18
"43",6,6,6,11
"44",6,6,6,3
"45",6,6,6,29
"46",6,6,6,40
"47",6,6,6,13
"48",6,6,6,44
"49",6,6,6,22
"50",6,6,6,36
"51",6,6,6,20
"52",6,6,6,3
"53",6,6,6,27
"54",6,6,6,1
"55",6,6,6,29
"56",6,6,6,44
"57",6,6,6,41
"58",6,6,6,9
"59",6,6,6,50
"60",6,6,6,30
"61",6,6,6,15
"62",6,6,6,37
"63",6,6,6,40
"64",6,6,6,14
"65",6,6,6,47
"66",6,6,6,6
"67",6,6,6,25
"68",6,6,6,26
"69",6,6,6,11
"70",6,6,6,27
"71",6,6,6,22
"72",6,6,6,20
"73",6,6,6,19
"74",6,6,6,36
"75",6,6,6,28
"76",6,6,6,3
"77",6,6,6,21
"78",6,6,6,48
"79",6,6,6,17
"80",6,6,6,12
"81",6,6,6,29
"82",6,6,6,50
"83",6,6,6,5
"84",6,6,6,18
"85",6,6,6,41
"86",6,6,6,24
"87",6,6,6,14
"88",6,6,6,2
"89",6,6,6,39
"90",6,6,6,27
"91",6,6,6,38
"92",6,6,6,33
"93",6,6,6,45
"94",6,6,6,23
"95",6,6,6,26
"96",6,6,6,20
"97",6,6,6,13
"98",6,6,6,29
"99",6,6,6,49
"100",6,6,6,1
"101",6,6,6,20
"102",6,6,6,3
"103",6,6,6,27
"104",6,6,6,1
"105",6,6,6,29
"106",6,6,6,32
"107",6,6,6,44
"108",6,6,6,34
"109",6,6,6,5
"110",6,6,6,16
"111",6,6,6,2
"112",6,6,6,4
"113",6,6,6,35
"114",6,6,6,47
"115",6,6,6,24
"116",6,6,6,33
"117",6,6,6,31
"118",6,6,6,12
"119",6,6,6,43
"120",6,6,6,42
"121",6,6,6,26
"122",6,6,6,20
"123",6,6,6,14
"124",6,6,6,3
"125",6,6,6,37
"126",6,6,6,13
"127",6,6,6,45
"128",6,6,6,25
"129",6,6,6,22
"130",6,6,6,34
"131",6,6,6,17
"132",6,6,6,19
"133",6,6,6,21
"134",6,6,6,29
"135",6,6,6,15
"136",6,6,6,36
"137",6,6,6,38
"138",6,6,6,48
"139",6,6,6,7
"140",6,6,6,44
"141",6,6,6,6
"142",6,6,6,11
"143",6,6,6,10
"144",6,6,6,9
"145",6,6,6,32
"146",6,6,6,23
"147",6,6,6,50
"148",6,6,6,39
"149",6,6,6,5
"150",6,6,6,37
"151",6,6,6,20
"152",6,6,6,3
"153",6,6,6,27
"154",6,6,6,1
"155",6,6,6,29
"156",6,6,6,42
"157",6,6,6,16
"158",6,6,6,23
"159",6,6,6,25
"160",6,6,6,2
"161",6,6,6,12
"162",6,6,6,4
"163",6,6,6,28
"164",6,6,6,47
"165",6,6,6,9
"166",6,6,6,26
"167",6,6,6,15
"168",6,6,6,21
"169",6,6,6,30
"170",6,6,6,36
"171",6,6,6,1
"172",6,6,6,40
"173",6,6,6,32
"174",6,6,6,5
"175",6,6,6,46
"176",6,6,6,6
"177",6,6,6,19
"178",6,6,6,43
"179",6,6,6,48
"180",6,6,6,8
"181",6,6,6,41
"182",6,6,6,39
"183",6,6,6,17
"184",6,6,6,13
"185",6,6,6,20
"186",6,6,6,47
"187",6,6,6,18
"188",6,6,6,24
"189",6,6,6,27
"190",6,6,6,3
"191",6,6,6,5
"192",6,6,6,45
"193",6,6,6,1
"194",6,6,6,44
"195",6,6,6,50
"196",6,6,6,25
"197",6,6,6,22
"198",6,6,6,31
"199",6,6,6,20
"200",6,6,6,10
"201",6,6,6,20
"202",6,6,6,3
"203",6,6,6,27
"204",6,6,6,1
"205",6,6,6,29
"206",6,6,6,48
"207",6,6,6,2
"208",6,6,6,40
"209",6,6,6,22
"210",6,6,6,39
"211",6,6,6,46
"212",6,6,6,34
"213",6,6,6,13
"214",6,6,6,5
"215",6,6,6,43
"216",6,6,6,16
"217",6,6,6,4
"218",6,6,6,23
"219",6,6,6,30
"220",6,6,6,27
"221",6,6,6,11
"222",6,6,6,7
"223",6,6,6,17
"224",6,6,6,45
"225",6,6,6,25
"226",6,6,6,29
"227",6,6,6,35
"228",6,6,6,3
"229",6,6,6,32
"230",6,6,6,49
"231",6,6,6,31
"232",6,6,6,28
"233",6,6,6,20
"234",6,6,6,40
"235",6,6,6,42
"236",6,6,6,19
"237",6,6,6,14
"238",6,6,6,15
"239",6,6,6,33
"240",6,6,6,50
"241",6,6,6,41
"242",6,6,6,18
"243",6,6,6,44
"244",6,6,6,9
"245",6,6,6,1
"246",6,6,6,37
"247",6,6,6,29
"248",6,6,6,5
"249",6,6,6,32
"250",6,6,6,8
