"","n.rem","year","sim","segment"
"1",6,6,6,1
"2",6,6,6,2
"3",6,6,6,3
"4",6,6,6,4
"5",6,6,6,5
"6",6,6,6,38
"7",6,6,6,44
"8",6,6,6,45
"9",6,6,6,48
"10",6,6,6,49
"11",6,6,6,32
"12",6,6,6,33
"13",6,6,6,35
"14",6,6,6,36
"15",6,6,6,37
"16",6,6,6,42
"17",6,6,6,43
"18",6,6,6,46
"19",6,6,6,47
"20",6,6,6,50
"21",6,6,6,31
"22",6,6,6,34
"23",6,6,6,39
"24",6,6,6,40
"25",6,6,6,41
"26",6,6,6,38
"27",6,6,6,44
"28",6,6,6,45
"29",6,6,6,48
"30",6,6,6,49
"31",6,6,6,35
"32",6,6,6,36
"33",6,6,6,37
"34",6,6,6,42
"35",6,6,6,50
"36",6,6,6,33
"37",6,6,6,39
"38",6,6,6,40
"39",6,6,6,46
"40",6,6,6,47
"41",6,6,6,30
"42",6,6,6,32
"43",6,6,6,43
"44",6,6,6,44
"45",6,6,6,49
"46",6,6,6,36
"47",6,6,6,37
"48",6,6,6,38
"49",6,6,6,41
"50",6,6,6,50
"51",6,6,6,1
"52",6,6,6,2
"53",6,6,6,3
"54",6,6,6,4
"55",6,6,6,5
"56",6,6,6,44
"57",6,6,6,47
"58",6,6,6,48
"59",6,6,6,49
"60",6,6,6,50
"61",6,6,6,35
"62",6,6,6,38
"63",6,6,6,40
"64",6,6,6,41
"65",6,6,6,42
"66",6,6,6,37
"67",6,6,6,39
"68",6,6,6,43
"69",6,6,6,45
"70",6,6,6,46
"71",6,6,6,32
"72",6,6,6,33
"73",6,6,6,34
"74",6,6,6,36
"75",6,6,6,50
"76",6,6,6,42
"77",6,6,6,44
"78",6,6,6,47
"79",6,6,6,48
"80",6,6,6,49
"81",6,6,6,31
"82",6,6,6,35
"83",6,6,6,38
"84",6,6,6,40
"85",6,6,6,41
"86",6,6,6,33
"87",6,6,6,43
"88",6,6,6,45
"89",6,6,6,46
"90",6,6,6,50
"91",6,6,6,30
"92",6,6,6,36
"93",6,6,6,37
"94",6,6,6,39
"95",6,6,6,48
"96",6,6,6,32
"97",6,6,6,34
"98",6,6,6,41
"99",6,6,6,42
"100",6,6,6,44
"101",6,6,6,1
"102",6,6,6,2
"103",6,6,6,3
"104",6,6,6,4
"105",6,6,6,5
"106",6,6,6,37
"107",6,6,6,38
"108",6,6,6,39
"109",6,6,6,42
"110",6,6,6,43
"111",6,6,6,26
"112",6,6,6,31
"113",6,6,6,32
"114",6,6,6,34
"115",6,6,6,36
"116",6,6,6,46
"117",6,6,6,47
"118",6,6,6,48
"119",6,6,6,49
"120",6,6,6,50
"121",6,6,6,35
"122",6,6,6,40
"123",6,6,6,41
"124",6,6,6,44
"125",6,6,6,45
"126",6,6,6,37
"127",6,6,6,38
"128",6,6,6,39
"129",6,6,6,42
"130",6,6,6,43
"131",6,6,6,46
"132",6,6,6,47
"133",6,6,6,48
"134",6,6,6,49
"135",6,6,6,50
"136",6,6,6,33
"137",6,6,6,36
"138",6,6,6,40
"139",6,6,6,41
"140",6,6,6,44
"141",6,6,6,29
"142",6,6,6,30
"143",6,6,6,31
"144",6,6,6,32
"145",6,6,6,38
"146",6,6,6,46
"147",6,6,6,47
"148",6,6,6,48
"149",6,6,6,49
"150",6,6,6,50
"151",6,6,6,1
"152",6,6,6,2
"153",6,6,6,3
"154",6,6,6,4
"155",6,6,6,5
"156",6,6,6,46
"157",6,6,6,47
"158",6,6,6,48
"159",6,6,6,49
"160",6,6,6,50
"161",6,6,6,34
"162",6,6,6,35
"163",6,6,6,38
"164",6,6,6,40
"165",6,6,6,45
"166",6,6,6,39
"167",6,6,6,41
"168",6,6,6,42
"169",6,6,6,43
"170",6,6,6,44
"171",6,6,6,32
"172",6,6,6,33
"173",6,6,6,36
"174",6,6,6,37
"175",6,6,6,50
"176",6,6,6,45
"177",6,6,6,46
"178",6,6,6,47
"179",6,6,6,48
"180",6,6,6,49
"181",6,6,6,35
"182",6,6,6,38
"183",6,6,6,40
"184",6,6,6,42
"185",6,6,6,43
"186",6,6,6,29
"187",6,6,6,30
"188",6,6,6,31
"189",6,6,6,34
"190",6,6,6,50
"191",6,6,6,44
"192",6,6,6,45
"193",6,6,6,46
"194",6,6,6,47
"195",6,6,6,48
"196",6,6,6,33
"197",6,6,6,36
"198",6,6,6,37
"199",6,6,6,39
"200",6,6,6,41
"201",6,6,6,1
"202",6,6,6,2
"203",6,6,6,3
"204",6,6,6,4
"205",6,6,6,5
"206",6,6,6,39
"207",6,6,6,43
"208",6,6,6,46
"209",6,6,6,49
"210",6,6,6,50
"211",6,6,6,27
"212",6,6,6,29
"213",6,6,6,32
"214",6,6,6,34
"215",6,6,6,37
"216",6,6,6,42
"217",6,6,6,44
"218",6,6,6,45
"219",6,6,6,47
"220",6,6,6,48
"221",6,6,6,36
"222",6,6,6,38
"223",6,6,6,40
"224",6,6,6,41
"225",6,6,6,50
"226",6,6,6,33
"227",6,6,6,35
"228",6,6,6,43
"229",6,6,6,46
"230",6,6,6,49
"231",6,6,6,28
"232",6,6,6,30
"233",6,6,6,31
"234",6,6,6,37
"235",6,6,6,39
"236",6,6,6,44
"237",6,6,6,45
"238",6,6,6,47
"239",6,6,6,48
"240",6,6,6,50
"241",6,6,6,34
"242",6,6,6,36
"243",6,6,6,38
"244",6,6,6,41
"245",6,6,6,42
"246",6,6,6,26
"247",6,6,6,29
"248",6,6,6,32
"249",6,6,6,46
"250",6,6,6,49
