"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","segment","year","sim"
"State.fin[1]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,1,6
"State.fin[2]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[2]",2,1,6
"State.fin[3]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,1,6
"State.fin[4]",1.58574333333333,0.492594041395672,1,1,2,2,2,1.00108670957455,1893,0,1,"State.fin[4]",4,1,6
"State.fin[5]",1.59155333333333,0.49154734517799,1,1,2,2,2,1.0008385053825,2458,0,1,"State.fin[5]",5,1,6
"State.fin[6]",1.95524333333333,0.206769557642614,1,2,2,2,2,1.05587634277118,199,0,1,"State.fin[6]",6,1,6
"State.fin[7]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,1,6
"State.fin[8]",1.64334666666667,0.479012001934415,1,1,2,2,2,1.00344641253561,637,0,1,"State.fin[8]",8,1,6
"State.fin[9]",1.94555,0.226903876383585,1,2,2,2,2,1.05830670926684,159,0,1,"State.fin[9]",9,1,6
"State.fin[10]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,1,6
"State.fin[11]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,1,6
"State.fin[12]",1.95032666666667,0.217269534547279,1,2,2,2,2,1.06481755410959,154,0,1,"State.fin[12]",12,1,6
"State.fin[13]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,1,6
"State.fin[14]",1.96231666666667,0.190429568608162,1,2,2,2,2,1.07213002528686,178,0,1,"State.fin[14]",14,1,6
"State.fin[15]",1.95266,0.212365427342233,1,2,2,2,2,1.05840314849299,180,0,1,"State.fin[15]",15,1,6
"State.fin[16]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,1,6
"State.fin[17]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,1,6
"State.fin[18]",1.92888,0.257025613134604,1,2,2,2,2,1.05640876158154,130,0,1,"State.fin[18]",18,1,6
"State.fin[19]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,1,6
"State.fin[20]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,1,6
"State.fin[21]",1.94196,0.233819461633262,1,2,2,2,2,1.05737327293881,153,0,1,"State.fin[21]",21,1,6
"State.fin[22]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,1,6
"State.fin[23]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[23]",23,1,6
"State.fin[24]",1.95562333333333,0.205930860923322,1,2,2,2,2,1.05228333834012,215,0,1,"State.fin[24]",24,1,6
"State.fin[25]",1.95683333333333,0.203232485675149,1,2,2,2,2,1.06039463241255,189,0,1,"State.fin[25]",25,1,6
"State.fin[26]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[26]",26,1,6
"State.fin[27]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,1,6
"State.fin[28]",1.94264,0.232529590876879,1,2,2,2,2,1.05211733013119,171,0,1,"State.fin[28]",28,1,6
"State.fin[29]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,1,6
"State.fin[30]",1.94098666666667,0.235650047581943,1,2,2,2,2,1.0554774558154,156,0,1,"State.fin[30]",30,1,6
"State.fin[31]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,1,6
"State.fin[32]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[32]",32,1,6
"State.fin[33]",1.95078333333333,0.216320462209882,1,2,2,2,2,1.05812382402129,175,0,1,"State.fin[33]",33,1,6
"State.fin[34]",1.9702,0.170035456224639,1,2,2,2,2,1.06000907721483,270,0,1,"State.fin[34]",34,1,6
"State.fin[35]",1.58526666666667,0.492676775032987,1,1,2,2,2,1.00110550384902,1860,0,1,"State.fin[35]",35,1,6
"State.fin[36]",1.96678,0.179210877613857,1,2,2,2,2,1.04717401612232,314,0,1,"State.fin[36]",36,1,6
"State.fin[37]",1.96899666666667,0.173326936153362,1,2,2,2,2,1.06954446014936,221,0,1,"State.fin[37]",37,1,6
"State.fin[38]",1.96772333333333,0.176734228637751,1,2,2,2,2,1.03892651681,395,0,1,"State.fin[38]",38,1,6
"State.fin[39]",1.96193666666667,0.191349517996995,1,2,2,2,2,1.07259464147538,175,0,1,"State.fin[39]",39,1,6
"State.fin[40]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[40]",40,1,6
"State.fin[41]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[41]",41,1,6
"State.fin[42]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[42]",42,1,6
"State.fin[43]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[43]",43,1,6
"State.fin[44]",1.58096666666667,0.493401672446419,1,1,2,2,2,1.00119181380115,1721,0,1,"State.fin[44]",44,1,6
"State.fin[45]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[45]",45,1,6
"State.fin[46]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[46]",46,1,6
"State.fin[47]",1.94205666666667,0.233636652538025,1,2,2,2,2,1.05501285959068,160,0,1,"State.fin[47]",47,1,6
"State.fin[48]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[48]",48,1,6
"State.fin[49]",1.93927,0.238834790682159,1,2,2,2,2,1.04714257423171,180,0,1,"State.fin[49]",49,1,6
"State.fin[50]",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[50]",50,1,6
"State.fin[1]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,2,6
"State.fin[2]1",1.65214666666667,0.476289983094384,1,1,2,2,2,1.00001774339265,96926,0,1,"State.fin[2]",2,2,6
"State.fin[3]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,2,6
"State.fin[4]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,2,6
"State.fin[5]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,2,6
"State.fin[6]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,2,6
"State.fin[7]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[7]",7,2,6
"State.fin[8]1",1.99988666666667,0.0106452274106809,2,2,2,2,2,1.17229308227482,19172,0,1,"State.fin[8]",8,2,6
"State.fin[9]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,2,6
"State.fin[10]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[10]",10,2,6
"State.fin[11]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,2,6
"State.fin[12]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,2,6
"State.fin[13]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[13]",13,2,6
"State.fin[14]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[14]",14,2,6
"State.fin[15]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[15]",15,2,6
"State.fin[16]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[16]",16,2,6
"State.fin[17]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[17]",17,2,6
"State.fin[18]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[18]",18,2,6
"State.fin[19]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[19]",19,2,6
"State.fin[20]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[20]",20,2,6
"State.fin[21]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[21]",21,2,6
"State.fin[22]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[22]",22,2,6
"State.fin[23]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[23]",23,2,6
"State.fin[24]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[24]",24,2,6
"State.fin[25]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[25]",25,2,6
"State.fin[26]1",1.65315666666667,0.475966165395739,1,1,2,2,2,1.00004735037083,42145,0,1,"State.fin[26]",26,2,6
"State.fin[27]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[27]",27,2,6
"State.fin[28]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[28]",28,2,6
"State.fin[29]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[29]",29,2,6
"State.fin[30]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[30]",30,2,6
"State.fin[31]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[31]",31,2,6
"State.fin[32]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[32]",32,2,6
"State.fin[33]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[33]",33,2,6
"State.fin[34]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[34]",34,2,6
"State.fin[35]1",1.99990666666667,0.00966048307825929,2,2,2,2,2,1.29114334675345,10714,0,1,"State.fin[35]",35,2,6
"State.fin[36]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[36]",36,2,6
"State.fin[37]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[37]",37,2,6
"State.fin[38]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[38]",38,2,6
"State.fin[39]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[39]",39,2,6
"State.fin[40]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[40]",40,2,6
"State.fin[41]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[41]",41,2,6
"State.fin[42]1",1.65536666666667,0.475249357455706,1,1,2,2,2,1.00000369034582,254690,0,1,"State.fin[42]",42,2,6
"State.fin[43]1",1.65221,0.476269747107218,1,1,2,2,2,1.00003489016091,55270,0,1,"State.fin[43]",43,2,6
"State.fin[44]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[44]",44,2,6
"State.fin[45]1",1.65518,0.475310341425897,1,1,2,2,2,1.00010071091143,20929,0,1,"State.fin[45]",45,2,6
"State.fin[46]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[46]",46,2,6
"State.fin[47]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[47]",47,2,6
"State.fin[48]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[48]",48,2,6
"State.fin[49]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[49]",49,2,6
"State.fin[50]1",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[50]",50,2,6
"State.fin[1]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[1]",1,3,6
"State.fin[2]2",1.96238,0.190275737504429,1,2,2,2,2,1.04081916268863,323,0,1,"State.fin[2]",2,3,6
"State.fin[3]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[3]",3,3,6
"State.fin[4]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[4]",4,3,6
"State.fin[5]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[5]",5,3,6
"State.fin[6]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[6]",6,3,6
"State.fin[7]2",1.62678,0.483660636561117,1,1,2,2,2,1.00028268811098,7428,0,1,"State.fin[7]",7,3,6
"State.fin[8]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[8]",8,3,6
"State.fin[9]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[9]",9,3,6
"State.fin[10]2",1.62658333333333,0.483712145440882,1,1,2,2,2,1.00040199753577,5250,0,1,"State.fin[10]",10,3,6
"State.fin[11]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[11]",11,3,6
"State.fin[12]2",2,0,2,2,2,2,2,NA,1,0,1,"State.fin[12]",12,3,6
