"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma1",1.92905045012283,2.10826818352167,-1.0555739868374,0.26454699386932,1.58270576384543,3.21665925055375,6.80439053680257,1.00552645002763,379,1,0.806676666666667,"gamma1",1,1
"gamma11",1.92822311158397,0.681751864216579,0.590551275624476,1.46768034389073,1.92869131096762,2.39040839956375,3.26180483094881,1.0000470734654,62125,0,0.99807,"gamma1",2,1
"gamma12",1.87273809873476,1.26672730001562,-0.790435310810898,1.05874743006758,1.89867271719919,2.72134983213243,4.30297299534377,1.00393122301812,990,1,0.92709,"gamma1",3,1
"gamma13",1.87335751631154,0.884391611045988,0.14528161995152,1.27051438312499,1.8701256038747,2.46849737023843,3.62142187923524,1.00012210355107,27173,0,0.983646666666667,"gamma1",4,1
"gamma14",1.87477813894013,1.06622172587431,-0.235228347112286,1.16077257168413,1.87782648529109,2.59152580003096,3.95808084314537,1.00111183970663,3649,1,0.959373333333333,"gamma1",5,1
"gamma15",1.88129685304701,0.957630653681557,0.0196870427757906,1.22650209680989,1.87406964463173,2.53054454607541,3.77351236185729,1.00008264057985,3e+05,0,0.97641,"gamma1",6,1
"gamma16",1.89602846400955,0.999237303351815,-0.0100182930742302,1.20599160372767,1.88483446577445,2.57082985786781,3.8928731222978,1.00019468123005,13074,1,0.974146666666667,"gamma1",7,1
"gamma17",1.8524361149611,1.04230372085086,-0.327445542961988,1.17826282379862,1.87181566829127,2.55857510057818,3.84372826463973,1.00014412187256,23263,1,0.95605,"gamma1",8,1
"gamma18",1.87214477332055,0.95510407282693,0.0404511261914969,1.21567984773448,1.86432014036443,2.5160282949763,3.76475296819708,1.00023825051054,15390,0,0.97761,"gamma1",9,1
"gamma19",1.85767579553546,1.03742472611695,-0.21354622643203,1.16676044473068,1.86138817577672,2.5575802251043,3.87525938678459,1.0012472602379,3049,1,0.961886666666667,"gamma1",10,1
"gamma110",1.35704017863604,2.22184424415958,-1.57502018888144,-0.477530532678219,0.93650439975441,2.75050092217891,6.48127891946223,1.00298912072641,675,1,0.656986666666667,"gamma1",1,2
"gamma111",1.35319782092121,0.67549960354464,0.0230661777283977,0.903829024005751,1.35648735672051,1.8087552533981,2.67002940225774,1.00068311325085,9831,0,0.97688,"gamma1",2,2
"gamma121",1.27562732718348,1.27857676832042,-1.29507867983047,0.432366546572931,1.30740129604448,2.14341441018856,3.72264258073996,1.00919760259603,290,1,0.838866666666667,"gamma1",3,2
"gamma131",1.2756648497629,0.882708451584057,-0.445822153167799,0.678796557067847,1.27475393535241,1.87419100124135,3.00297628617118,1.00054732156977,6804,1,0.92741,"gamma1",4,2
"gamma141",1.31460910703185,1.01953952306101,-0.560881190582984,0.588901973954355,1.29211605884756,2.00289868468155,3.37438097852738,1.00004717410736,45706,1,0.898516666666667,"gamma1",5,2
