"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"p",0.421640219606269,0.139193058591509,0.169556866360136,0.320333033315211,0.416706759003406,0.517308853214239,0.70303130470426,1.00027546871478,9519,0,1,"p",0.330122820639569,1,6
"p1",0.55082503237004,0.10453582754387,0.343520519604122,0.47931384262031,0.552376779537451,0.624370370943056,0.749096355969803,1.00000742217421,3e+05,0,1,"p",0.189780459130701,2,6
"p2",0.504639062942895,0.087939633712152,0.333604700280886,0.444218585024617,0.504538410700994,0.565101160411267,0.675453210794788,1.0001590909996,13220,0,1,"p",0.174262438581976,3,6
"p3",0.527992674460905,0.0768504965924456,0.376758544412063,0.475564944059143,0.528502503292585,0.581071721154123,0.676359409293948,1.00000637315991,3e+05,0,1,"p",0.145552202349989,4,6
"p4",0.522403385700211,0.0692661375615108,0.386466000772089,0.475184266334176,0.522779965266141,0.569751625410222,0.656932655342916,1.00001949102737,88509,0,1,"p",0.132591287609419,5,6
"p5",0.567977705939028,0.0628262473307019,0.44321413911768,0.525487734482179,0.568829435852705,0.611103347924918,0.688722543977489,1.00002471193716,75752,0,1,"p",0.110613931979658,6,6
"p6",0.572593695502179,0.0581830556412332,0.457183575648927,0.533229399031969,0.573164111337311,0.612580193652274,0.684176892937707,1.00001056118284,186257,0,1,"p",0.101613161476054,7,6
"p7",0.588432913123879,0.0542761884648153,0.480527884131125,0.551830453300379,0.589103150470262,0.625629517464851,0.6927009964626,1.00001851674703,101071,0,1,"p",0.092238532642019,8,6
"p8",0.600733049947856,0.0509675608431247,0.498767342807719,0.566389825250216,0.601525406607686,0.635874164063403,0.698108382347461,1.0000215824728,176182,0,1,"p",0.0848422786919227,9,6
"p9",0.610711581666533,0.0483456865293066,0.514554936990461,0.578239663498092,0.611410724434971,0.643736851866284,0.703412705442889,1.00000207679629,3e+05,0,1,"p",0.079162878158261,10,6
"p10",0.535520344763356,0.154752529486481,0.246138389635987,0.424444696173559,0.532266926747261,0.643217505895723,0.842430679215582,1.00079898004581,2656,0,1,"p",0.288976004366119,1,7
"p11",0.569142607305108,0.109678852275059,0.350310282301174,0.494141387646911,0.571232592695697,0.646780141460455,0.77468731800318,1.00000651786788,3e+05,0,1,"p",0.192708911382313,2,7
"p21",0.546931509344052,0.0905367368449845,0.367705732013042,0.485349152005685,0.54811523692954,0.609732200033604,0.720033406997662,1.00003613469249,79952,0,1,"p",0.165535785191033,3,7
"p31",0.586140997759591,0.0776160684894409,0.43040793153999,0.533916490837099,0.58759672812965,0.64007226043011,0.732957171202253,1.00000222511624,3e+05,0,1,"p",0.132418767474231,4,7
"p41",0.629950457639316,0.0681900287291279,0.491894434980117,0.584519489490682,0.631377278516747,0.677244989691892,0.758602327164132,1.00001351339098,162431,0,1,"p",0.108246653212483,5,7
"p51",0.574359950602049,0.0637365650002358,0.447862835837328,0.531312744737978,0.575115576556478,0.61812251674719,0.69651244999444,1.00003790135257,53116,0,1,"p",0.110969723660967,6,7
"p61",0.621468575619603,0.0578639851532493,0.5051009691067,0.582566478786468,0.622643420490344,0.661529339227614,0.730899240320394,1.00002470690218,122639,0,1,"p",0.0931084650508017,7,7
"p71",0.606168838900538,0.0544546535042679,0.497488006713827,0.569556962507608,0.607008413533076,0.643638856855634,0.710227754704657,1.00001071658095,136638,0,1,"p",0.08983413532612,8,7
"p81",0.571920697889422,0.0519663302385626,0.468422547427848,0.537206385782262,0.57255911631943,0.607427321307972,0.671946521258119,1.00003360334645,3e+05,0,1,"p",0.0908628249166985,9,7
"p91",0.604882992768248,0.0486748740683667,0.508188882960395,0.572128644051546,0.605447050950741,0.638195584851451,0.698448120785888,1.00000373856522,3e+05,0,1,"p",0.0804699002126114,10,7
"p12",0.75001222865954,0.120054505314312,0.483043432066615,0.673644240212805,0.764506130504601,0.840575385757775,0.939888748036214,0.999996970676329,3e+05,0,1,"p",0.160070063829332,1,8
"p13",0.63622834759154,0.100297972948186,0.429933078119838,0.568956816194387,0.64074749055719,0.707947253107068,0.818458630537579,1.0000053320196,279993,0,1,"p",0.15764461506292,2,8
"p22",0.624637966190726,0.0842494775063277,0.453185276189061,0.568096840941815,0.627297397793765,0.683779024157879,0.781527014252016,1.00001038382405,144406,0,1,"p",0.134877292233952,3,8
"p32",0.61870551702554,0.0743147143934724,0.468395127835413,0.568859507279335,0.62057298385601,0.670567206431173,0.758338063851809,1.0000034515849,3e+05,0,1,"p",0.120113224059718,4,8
"p42",0.653971933527632,0.0655453310539098,0.520157693170638,0.610287909714081,0.656096191445074,0.699840244867543,0.775459224268065,0.999996907393302,3e+05,0,1,"p",0.100226519967528,5,8
"p52",0.645373434325471,0.0604867644945169,0.522939157217456,0.605018751975415,0.646801216735864,0.687431076660123,0.758856505832323,0.999999942845445,3e+05,0,1,"p",0.0937236664501634,6,8
"p62",0.639116707254507,0.0562236336557086,0.525815258404763,0.601412325726679,0.640365192499845,0.678038253954234,0.745462354119634,1.00001935343997,88828,0,1,"p",0.0879708400946549,7,8
"p72",0.610050911839045,0.0533001819273829,0.502906637376119,0.574356040265782,0.611036307789511,0.646790414471404,0.711611857299126,1.00000165250055,3e+05,0,1,"p",0.0873700553396526,8,8
"p82",0.597963830698402,0.0506905267199272,0.496926044791903,0.563911741322563,0.598576713948954,0.632772635081619,0.694988317800453,1.00000762287914,208931,0,1,"p",0.0847718944149554,9,8
"p92",0.617637818541282,0.0477874897679162,0.522118337679601,0.585661857490583,0.618333451380967,0.650375486215438,0.708971491391563,1.00005644588066,34397,0,1,"p",0.0773713790401942,10,8
"p14",0.584958048733162,0.137010351540969,0.308366796261105,0.490600982995581,0.589761461957043,0.683971634982228,0.835526613244856,1.00002158071243,182160,0,1,"p",0.234222525594257,1,9
"p15",0.68270075513443,0.0976834366273951,0.477603085778339,0.618347488215416,0.688545572078787,0.753248996606326,0.855154863176437,0.99999615975624,3e+05,0,1,"p",0.143083826834438,2,9
"p23",0.625263696194967,0.0847001506832245,0.453456155085972,0.568454842736813,0.62783713675364,0.684893393713323,0.782973524636405,0.999996833764108,3e+05,0,1,"p",0.135463087332059,3,9
"p33",0.619255927137629,0.0746135871391111,0.468190166028848,0.569160590850523,0.62123036046729,0.671472693248605,0.758780652126473,1.00001184188034,130861,0,1,"p",0.12048909646129,4,9
"p43",0.596169436567172,0.0678376239820404,0.46042997305703,0.550510868848582,0.597255334968897,0.643182228750771,0.725171843473813,1.00000472699309,3e+05,0,1,"p",0.113789167677999,5,9
"p53",0.613072770137708,0.0617972711302239,0.489135471024013,0.571462362711884,0.614316295883525,0.655820283983998,0.730347245018128,0.999999124497922,3e+05,0,1,"p",0.100799242994177,6,9
"p63",0.555091124753037,0.0584889121754468,0.439412424501642,0.515653350900995,0.555716085554276,0.595147464742949,0.667601442783338,0.999998808711669,3e+05,0,1,"p",0.105368127082682,7,9
"p73",0.573113258163561,0.0545780600548454,0.464738150403316,0.536436487830599,0.573571087143326,0.610510094811137,0.678151498519464,1.00003413027182,60492,0,1,"p",0.0952308453476212,8,9
"p83",0.564916329845471,0.0517338856466022,0.462191351708189,0.530122601426091,0.565377522971519,0.600230384292527,0.665122113575636,0.999999362262025,3e+05,0,1,"p",0.0915779610420427,9,9
"p93",0.588504837432878,0.0487330128527911,0.491655462753632,0.5556963067076,0.589075830787636,0.621937924905541,0.682051400552235,1.00002200645057,3e+05,0,1,"p",0.0828081771857132,10,9
"p16",0.343073670021385,0.136343368179322,0.111371819315813,0.241898671727692,0.332078148222206,0.432957936173009,0.634312691262605,1.00026001942661,9733,0,1,"p",0.397417173316807,1,10
"p17",0.322782406563854,0.0989681501760558,0.147014469885482,0.251456248229813,0.317232117025508,0.388081513067207,0.530178525010466,1.00000203004522,285179,0,1,"p",0.306609493465306,2,10
"p24",0.410969728528581,0.0863095679009952,0.248755025958141,0.350495206367978,0.409025413576032,0.469135640749225,0.584693638148578,1.00000001242645,3e+05,0,1,"p",0.21001441690125,3,10
"p34",0.456589705128896,0.0763339818652169,0.309279602490026,0.404046073438185,0.455865509566783,0.508685352023768,0.606942615168425,1.00000598129066,228065,0,1,"p",0.167182879963682,4,10
"p44",0.484291111865349,0.0687917585223998,0.350523704835877,0.437120004658405,0.484053334509024,0.531234409856708,0.61881259249221,1.0000243780962,113117,0,1,"p",0.142046295785677,5,10
"p54",0.503302679468864,0.0631382098582121,0.37962375181274,0.460316239566388,0.503262397336493,0.546401291025266,0.626299673486166,1.0000700643646,45835,0,1,"p",0.125447792022172,6,10
"p64",0.544640958505055,0.0583736086355449,0.429086011461568,0.505157700765055,0.545061917088004,0.584702255885694,0.657512988890802,1.00000425820571,3e+05,0,1,"p",0.107178146858015,7,10
"p74",0.539074699115041,0.0548256508646972,0.431031018903385,0.502002756926725,0.539293642254814,0.576555674694765,0.64518794572705,1.00000825047175,182318,0,1,"p",0.101703253657982,8,10
"p84",0.545715814090778,0.0515833963744379,0.444052928122897,0.510789255283529,0.545952262653356,0.580961483414527,0.645784816012803,1.00001124265268,3e+05,0,1,"p",0.0945242835969147,9,10
"p94",0.560665511536649,0.0488559684888022,0.464070381716978,0.527764532694805,0.561037175235015,0.59410514822686,0.655170709385962,0.999996497939203,3e+05,0,1,"p",0.0871392434232307,10,10
