"","n.rem","year","sim","segment"
"1",6,6,6,35
"2",6,6,6,8
"3",6,6,6,44
"4",6,6,6,5
"5",6,6,6,4
"6",6,6,6,43
"7",6,6,6,42
"8",6,6,6,26
"9",6,6,6,45
"10",6,6,6,2
"11",6,6,6,21
"12",6,6,6,10
"13",6,6,6,30
"14",6,6,6,7
"15",6,6,6,22
"16",6,6,6,3
"17",6,6,6,31
"18",6,6,6,48
"19",6,6,6,36
"20",6,6,6,34
"21",6,6,6,49
"22",6,6,6,42
"23",6,6,6,47
"24",6,6,6,14
"25",6,6,6,20
"26",6,6,6,24
"27",6,6,6,43
"28",6,6,6,8
"29",6,6,6,25
"30",6,6,6,10
"31",6,6,6,16
"32",6,6,6,21
"33",6,6,6,39
"34",6,6,6,7
"35",6,6,6,37
"36",6,6,6,44
"37",6,6,6,40
"38",6,6,6,34
"39",6,6,6,18
"40",6,6,6,45
"41",6,6,6,10
"42",6,6,6,22
"43",6,6,6,25
"44",6,6,6,12
"45",6,6,6,35
"46",6,6,6,8
"47",6,6,6,7
"48",6,6,6,41
"49",6,6,6,17
"50",6,6,6,23
"51",6,6,6,35
"52",6,6,6,8
"53",6,6,6,44
"54",6,6,6,5
"55",6,6,6,4
"56",6,6,6,36
"57",6,6,6,21
"58",6,6,6,20
"59",6,6,6,25
"60",6,6,6,28
"61",6,6,6,11
"62",6,6,6,30
"63",6,6,6,9
"64",6,6,6,22
"65",6,6,6,40
"66",6,6,6,5
"67",6,6,6,34
"68",6,6,6,44
"69",6,6,6,46
"70",6,6,6,16
"71",6,6,6,15
"72",6,6,6,47
"73",6,6,6,20
"74",6,6,6,50
"75",6,6,6,13
"76",6,6,6,29
"77",6,6,6,3
"78",6,6,6,18
"79",6,6,6,4
"80",6,6,6,25
"81",6,6,6,19
"82",6,6,6,27
"83",6,6,6,34
"84",6,6,6,17
"85",6,6,6,47
"86",6,6,6,41
"87",6,6,6,5
"88",6,6,6,10
"89",6,6,6,28
"90",6,6,6,45
"91",6,6,6,23
"92",6,6,6,36
"93",6,6,6,30
"94",6,6,6,35
"95",6,6,6,2
"96",6,6,6,4
"97",6,6,6,39
"98",6,6,6,8
"99",6,6,6,15
"100",6,6,6,6
"101",6,6,6,35
"102",6,6,6,8
"103",6,6,6,44
"104",6,6,6,5
"105",6,6,6,4
"106",6,6,6,41
"107",6,6,6,3
"108",6,6,6,23
"109",6,6,6,16
"110",6,6,6,26
"111",6,6,6,27
"112",6,6,6,34
"113",6,6,6,46
"114",6,6,6,49
"115",6,6,6,45
"116",6,6,6,32
"117",6,6,6,18
"118",6,6,6,21
"119",6,6,6,36
"120",6,6,6,24
"121",6,6,6,6
"122",6,6,6,2
"123",6,6,6,35
"124",6,6,6,3
"125",6,6,6,48
"126",6,6,6,29
"127",6,6,6,30
"128",6,6,6,27
"129",6,6,6,21
"130",6,6,6,26
"131",6,6,6,42
"132",6,6,6,10
"133",6,6,6,28
"134",6,6,6,17
"135",6,6,6,11
"136",6,6,6,36
"137",6,6,6,12
"138",6,6,6,6
"139",6,6,6,18
"140",6,6,6,25
"141",6,6,6,40
"142",6,6,6,20
"143",6,6,6,44
"144",6,6,6,49
"145",6,6,6,24
"146",6,6,6,5
"147",6,6,6,22
"148",6,6,6,19
"149",6,6,6,8
"150",6,6,6,21
"151",6,6,6,35
"152",6,6,6,8
"153",6,6,6,44
"154",6,6,6,5
"155",6,6,6,4
"156",6,6,6,1
"157",6,6,6,13
"158",6,6,6,32
"159",6,6,6,48
"160",6,6,6,17
"161",6,6,6,15
"162",6,6,6,14
"163",6,6,6,3
"164",6,6,6,19
"165",6,6,6,46
"166",6,6,6,25
"167",6,6,6,45
"168",6,6,6,33
"169",6,6,6,26
"170",6,6,6,8
"171",6,6,6,50
"172",6,6,6,5
"173",6,6,6,47
"174",6,6,6,23
"175",6,6,6,42
"176",6,6,6,28
"177",6,6,6,6
"178",6,6,6,3
"179",6,6,6,32
"180",6,6,6,13
"181",6,6,6,44
"182",6,6,6,2
"183",6,6,6,38
"184",6,6,6,20
"185",6,6,6,33
"186",6,6,6,4
"187",6,6,6,27
"188",6,6,6,24
"189",6,6,6,17
"190",6,6,6,21
"191",6,6,6,14
"192",6,6,6,41
"193",6,6,6,11
"194",6,6,6,29
"195",6,6,6,48
"196",6,6,6,32
"197",6,6,6,1
"198",6,6,6,12
"199",6,6,6,16
"200",6,6,6,25
"201",6,6,6,35
"202",6,6,6,8
"203",6,6,6,44
"204",6,6,6,5
"205",6,6,6,4
"206",6,6,6,26
"207",6,6,6,42
"208",6,6,6,2
"209",6,6,6,14
"210",6,6,6,32
"211",6,6,6,6
"212",6,6,6,11
"213",6,6,6,48
"214",6,6,6,36
"215",6,6,6,45
"216",6,6,6,1
"217",6,6,6,35
"218",6,6,6,21
"219",6,6,6,46
"220",6,6,6,10
"221",6,6,6,36
"222",6,6,6,2
"223",6,6,6,40
"224",6,6,6,39
"225",6,6,6,23
"226",6,6,6,6
"227",6,6,6,8
"228",6,6,6,26
"229",6,6,6,20
"230",6,6,6,21
"231",6,6,6,32
"232",6,6,6,11
"233",6,6,6,5
"234",6,6,6,50
"235",6,6,6,30
"236",6,6,6,37
"237",6,6,6,13
"238",6,6,6,2
"239",6,6,6,19
"240",6,6,6,46
"241",6,6,6,45
"242",6,6,6,33
"243",6,6,6,1
"244",6,6,6,18
"245",6,6,6,39
"246",6,6,6,42
"247",6,6,6,14
"248",6,6,6,11
"249",6,6,6,23
"250",6,6,6,44
