"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps",0.498885250793624,0.287652792029353,0.024345276222977,0.250010972969603,0.49944108874301,0.746946042449414,0.973845160994687,1.00069629781443,2907,0,1,"eps",0.576591092985323,1,1
"eps1",0.50037196265709,0.287344748833519,0.0255609405578935,0.251829970189024,0.502554570921235,0.749657831597059,0.972779947431191,1.00012218207331,27256,0,1,"eps",0.574262289412965,2,1
"eps2",0.492185221313832,0.286371662462432,0.0253525834161167,0.244678139853449,0.487604560779325,0.738820508696266,0.971982684322574,1.00037212492519,5602,0,1,"eps",0.581837182550902,3,1
"eps3",0.49313387299084,0.285056176413881,0.0257265496111158,0.248069480595627,0.489442012246921,0.738142154556135,0.970197411707616,1.00006530763328,65768,0,1,"eps",0.578050286193129,4,1
"eps4",0.492821290297158,0.285919559820669,0.0262322380914851,0.245177430080026,0.488841629001166,0.738391122741155,0.971065657204212,1.00017359308205,11680,0,1,"eps",0.580168847105342,5,1
"eps5",0.492208871823831,0.286011617027791,0.0243570326407967,0.244914872556591,0.489316703747422,0.737177302526989,0.971337466266077,1.00007255372791,27200,0,1,"eps",0.581077736303295,6,1
"eps6",0.491936671934469,0.285224708422077,0.025282270490197,0.246199180203071,0.488465929878933,0.735429567918708,0.971826423422717,1.00021987928369,10189,0,1,"eps",0.57979964636601,7,1
"eps7",0.492727938865496,0.287015308340314,0.0245427243317361,0.243807192064643,0.4910541074689,0.739984797134769,0.970916709239059,1.00030633722934,7996,0,1,"eps",0.58250260580142,8,1
"eps8",0.495598830824905,0.287047174204156,0.0250188721585138,0.245600370659423,0.495937486351145,0.742210212682584,0.972252517403723,1.00007069299175,87931,0,1,"eps",0.579192597622511,9,1
"eps9",0.493371767559658,0.285283383187668,0.0252772843595341,0.246801502573171,0.490408237957271,0.738450868621663,0.97041249836012,1.00003509811025,79848,0,1,"eps",0.57823207963186,10,1
"eps10",0.501178450012822,0.290643643052097,0.024695204286319,0.249080432372302,0.500471382759735,0.754561455458641,0.976631489222078,1.00107658630363,1863,0,1,"eps",0.579920471529973,1,2
"eps11",0.493931091180239,0.289714809472385,0.0232064429492984,0.242379447122645,0.491465978509309,0.743845912429972,0.97529794260824,1.00069791697682,2957,0,1,"eps",0.586549044280889,2,2
"eps21",0.492953302952987,0.289628722429925,0.0224426684382733,0.24110747044216,0.49048261291199,0.743359724149826,0.974211257427272,1.00005668875462,102107,0,1,"eps",0.587537847286819,3,2
"eps31",0.49299476126742,0.290253209742915,0.0223401714069992,0.24073652420161,0.489839960245871,0.745059141657565,0.974872496686741,1.00030602411754,8532,0,1,"eps",0.588755160393012,4,2
"eps41",0.499709728138368,0.290435661781848,0.0238057244066541,0.24731616608105,0.50012659413705,0.75205500067251,0.975840370878441,1.00256302899886,857,0,1,"eps",0.581208740649986,5,2
"eps51",0.50287774475985,0.289952641186261,0.0243405683606195,0.252609472073677,0.503646852642708,0.753913507789709,0.977237182224531,1.00025313772144,9385,0,1,"eps",0.576586743413607,6,2
"eps61",0.51152886721676,0.292770069937905,0.0252717547948836,0.2574114326192,0.516218460890662,0.767613558121137,0.980899703501483,1.0003398656721,8899,0,1,"eps",0.572343202312068,7,2
"eps71",0.509962161425253,0.292778389884385,0.0243796898198705,0.255021423502493,0.514286284961102,0.766946299952581,0.979875562842825,1.00017165681741,11507,0,1,"eps",0.574117869973179,8,2
"eps81",0.507662426803847,0.293209230415182,0.023859146681158,0.252721351047491,0.509891937322197,0.765405568618572,0.980073751235723,1.00013539257161,14303,0,1,"eps",0.577567326109154,9,2
"eps91",0.505158343398793,0.292927728050931,0.0230761482360855,0.249954034053007,0.506542690259771,0.761624220938796,0.979167518248076,1.00009796292842,21546,0,1,"eps",0.579873087080108,10,2
"eps12",0.498034831446496,0.287548920704019,0.0244255984885337,0.249369596898101,0.499498814726707,0.745801424112456,0.973196089019969,1.00034467218438,6396,0,1,"eps",0.577367088701126,1,3
