"","segment","month","year","sim","state"
"1","1","1","1","1",2
"2","2","1","1","1",2
"3","3","1","1","1",2
"4","4","1","1","1",2
"5","5","1","1","1",2
"6","6","1","1","1",1
"7","7","1","1","1",1
"8","8","1","1","1",1
"9","9","1","1","1",1
"10","10","1","1","1",1
"11","11","1","1","1",1
"12","12","1","1","1",1
"13","13","1","1","1",1
"14","14","1","1","1",1
"15","15","1","1","1",1
"16","16","1","1","1",1
"17","17","1","1","1",1
"18","18","1","1","1",1
"19","19","1","1","1",1
"20","20","1","1","1",1
"21","21","1","1","1",1
"22","22","1","1","1",1
"23","23","1","1","1",1
"24","24","1","1","1",1
"25","25","1","1","1",1
"26","26","1","1","1",1
"27","27","1","1","1",1
"28","28","1","1","1",1
"29","29","1","1","1",1
"30","30","1","1","1",1
"31","31","1","1","1",1
"32","32","1","1","1",1
"33","33","1","1","1",1
"34","34","1","1","1",1
"35","35","1","1","1",1
"36","36","1","1","1",1
"37","37","1","1","1",1
"38","38","1","1","1",1
"39","39","1","1","1",1
"40","40","1","1","1",1
"41","41","1","1","1",1
"42","42","1","1","1",1
"43","43","1","1","1",1
"44","44","1","1","1",1
"45","45","1","1","1",1
"46","46","1","1","1",1
"47","47","1","1","1",1
"48","48","1","1","1",1
"49","49","1","1","1",1
"50","50","1","1","1",1
"51","1","2","1","1",2
"52","2","2","1","1",2
"53","3","2","1","1",2
"54","4","2","1","1",2
"55","5","2","1","1",2
"56","6","2","1","1",2
"57","7","2","1","1",1
"58","8","2","1","1",1
"59","9","2","1","1",1
"60","10","2","1","1",1
"61","11","2","1","1",2
"62","12","2","1","1",1
"63","13","2","1","1",2
"64","14","2","1","1",1
"65","15","2","1","1",2
"66","16","2","1","1",1
"67","17","2","1","1",1
"68","18","2","1","1",1
"69","19","2","1","1",2
"70","20","2","1","1",1
"71","21","2","1","1",2
"72","22","2","1","1",1
"73","23","2","1","1",1
"74","24","2","1","1",1
"75","25","2","1","1",1
"76","26","2","1","1",1
"77","27","2","1","1",1
"78","28","2","1","1",2
"79","29","2","1","1",1
"80","30","2","1","1",2
"81","31","2","1","1",1
"82","32","2","1","1",1
"83","33","2","1","1",1
"84","34","2","1","1",1
"85","35","2","1","1",1
"86","36","2","1","1",1
"87","37","2","1","1",2
"88","38","2","1","1",2
"89","39","2","1","1",2
"90","40","2","1","1",2
"91","41","2","1","1",1
"92","42","2","1","1",1
"93","43","2","1","1",1
"94","44","2","1","1",1
"95","45","2","1","1",2
"96","46","2","1","1",1
"97","47","2","1","1",1
"98","48","2","1","1",1
"99","49","2","1","1",1
"100","50","2","1","1",1
"101","1","3","1","1",2
"102","2","3","1","1",2
"103","3","3","1","1",2
"104","4","3","1","1",2
"105","5","3","1","1",2
"106","6","3","1","1",2
"107","7","3","1","1",1
"108","8","3","1","1",2
"109","9","3","1","1",1
"110","10","3","1","1",1
"111","11","3","1","1",2
"112","12","3","1","1",1
"113","13","3","1","1",1
"114","14","3","1","1",1
"115","15","3","1","1",2
"116","16","3","1","1",2
"117","17","3","1","1",2
"118","18","3","1","1",1
"119","19","3","1","1",2
"120","20","3","1","1",2
"121","21","3","1","1",2
"122","22","3","1","1",2
"123","23","3","1","1",1
"124","24","3","1","1",1
"125","25","3","1","1",1
"126","26","3","1","1",1
"127","27","3","1","1",1
"128","28","3","1","1",2
"129","29","3","1","1",1
"130","30","3","1","1",2
"131","31","3","1","1",1
"132","32","3","1","1",2
"133","33","3","1","1",1
"134","34","3","1","1",1
"135","35","3","1","1",1
"136","36","3","1","1",1
"137","37","3","1","1",1
"138","38","3","1","1",1
"139","39","3","1","1",2
"140","40","3","1","1",2
"141","41","3","1","1",1
"142","42","3","1","1",2
"143","43","3","1","1",1
"144","44","3","1","1",1
"145","45","3","1","1",2
"146","46","3","1","1",1
"147","47","3","1","1",1
"148","48","3","1","1",1
"149","49","3","1","1",1
"150","50","3","1","1",1
"151","1","4","1","1",2
"152","2","4","1","1",2
"153","3","4","1","1",2
"154","4","4","1","1",2
"155","5","4","1","1",2
"156","6","4","1","1",2
"157","7","4","1","1",1
"158","8","4","1","1",2
"159","9","4","1","1",1
"160","10","4","1","1",1
"161","11","4","1","1",2
"162","12","4","1","1",2
"163","13","4","1","1",2
"164","14","4","1","1",2
"165","15","4","1","1",2
"166","16","4","1","1",2
"167","17","4","1","1",2
"168","18","4","1","1",1
"169","19","4","1","1",2
"170","20","4","1","1",2
"171","21","4","1","1",2
"172","22","4","1","1",2
"173","23","4","1","1",1
"174","24","4","1","1",1
"175","25","4","1","1",1
"176","26","4","1","1",1
"177","27","4","1","1",1
"178","28","4","1","1",1
"179","29","4","1","1",1
"180","30","4","1","1",2
"181","31","4","1","1",2
"182","32","4","1","1",2
"183","33","4","1","1",1
"184","34","4","1","1",1
"185","35","4","1","1",1
"186","36","4","1","1",2
"187","37","4","1","1",1
"188","38","4","1","1",2
"189","39","4","1","1",2
"190","40","4","1","1",2
"191","41","4","1","1",1
"192","42","4","1","1",2
"193","43","4","1","1",2
"194","44","4","1","1",1
"195","45","4","1","1",2
"196","46","4","1","1",1
"197","47","4","1","1",1
"198","48","4","1","1",2
"199","49","4","1","1",2
"200","50","4","1","1",1
"201","1","5","1","1",2
"202","2","5","1","1",2
"203","3","5","1","1",2
"204","4","5","1","1",2
"205","5","5","1","1",2
"206","6","5","1","1",2
"207","7","5","1","1",2
"208","8","5","1","1",2
"209","9","5","1","1",1
"210","10","5","1","1",1
"211","11","5","1","1",2
"212","12","5","1","1",2
"213","13","5","1","1",2
"214","14","5","1","1",2
"215","15","5","1","1",2
"216","16","5","1","1",2
"217","17","5","1","1",2
"218","18","5","1","1",2
"219","19","5","1","1",2
"220","20","5","1","1",2
"221","21","5","1","1",2
"222","22","5","1","1",2
"223","23","5","1","1",2
"224","24","5","1","1",1
"225","25","5","1","1",1
"226","26","5","1","1",1
"227","27","5","1","1",1
"228","28","5","1","1",1
"229","29","5","1","1",1
"230","30","5","1","1",2
"231","31","5","1","1",2
"232","32","5","1","1",2
"233","33","5","1","1",1
"234","34","5","1","1",2
"235","35","5","1","1",1
"236","36","5","1","1",2
"237","37","5","1","1",1
"238","38","5","1","1",1
"239","39","5","1","1",2
"240","40","5","1","1",2
"241","41","5","1","1",2
"242","42","5","1","1",2
"243","43","5","1","1",2
"244","44","5","1","1",1
"245","45","5","1","1",2
"246","46","5","1","1",1
"247","47","5","1","1",2
"248","48","5","1","1",2
"249","49","5","1","1",2
"250","50","5","1","1",1
"251","1","6","1","1",2
"252","2","6","1","1",2
"253","3","6","1","1",2
"254","4","6","1","1",2
"255","5","6","1","1",2
"256","6","6","1","1",2
"257","7","6","1","1",2
"258","8","6","1","1",2
"259","9","6","1","1",1
"260","10","6","1","1",1
"261","11","6","1","1",2
"262","12","6","1","1",2
"263","13","6","1","1",2
"264","14","6","1","1",2
"265","15","6","1","1",2
"266","16","6","1","1",2
"267","17","6","1","1",2
"268","18","6","1","1",2
"269","19","6","1","1",2
"270","20","6","1","1",2
"271","21","6","1","1",2
"272","22","6","1","1",2
"273","23","6","1","1",2
"274","24","6","1","1",1
"275","25","6","1","1",1
"276","26","6","1","1",1
"277","27","6","1","1",1
"278","28","6","1","1",2
"279","29","6","1","1",1
"280","30","6","1","1",2
"281","31","6","1","1",2
"282","32","6","1","1",2
"283","33","6","1","1",2
"284","34","6","1","1",2
"285","35","6","1","1",1
"286","36","6","1","1",2
"287","37","6","1","1",1
"288","38","6","1","1",1
"289","39","6","1","1",2
"290","40","6","1","1",2
"291","41","6","1","1",2
"292","42","6","1","1",2
"293","43","6","1","1",2
"294","44","6","1","1",1
"295","45","6","1","1",2
"296","46","6","1","1",2
"297","47","6","1","1",2
"298","48","6","1","1",2
"299","49","6","1","1",2
"300","50","6","1","1",1
"301","1","7","1","1",2
"302","2","7","1","1",2
"303","3","7","1","1",2
"304","4","7","1","1",2
"305","5","7","1","1",2
"306","6","7","1","1",2
"307","7","7","1","1",2
"308","8","7","1","1",2
"309","9","7","1","1",2
"310","10","7","1","1",2
"311","11","7","1","1",2
"312","12","7","1","1",2
