"","n.obs","year","sim","segment"
"1",6,6,6,3
"2",6,6,6,7
"3",6,6,6,8
"4",6,6,6,12
"5",6,6,6,30
"6",6,6,6,3
"7",6,6,6,10
"8",6,6,6,11
"9",6,6,6,29
"10",6,6,6,43
"11",6,6,6,9
"12",6,6,6,22
"13",6,6,6,25
"14",6,6,6,34
"15",6,6,6,37
"16",6,6,6,3
"17",6,6,6,6
"18",6,6,6,11
"19",6,6,6,44
"20",6,6,6,45
"21",6,6,6,2
"22",6,6,6,9
"23",6,6,6,12
"24",6,6,6,34
"25",6,6,6,44
"26",6,6,6,3
"27",6,6,6,15
"28",6,6,6,21
"29",6,6,6,25
"30",6,6,6,27
"31",6,6,6,4
"32",6,6,6,9
"33",6,6,6,11
"34",6,6,6,15
"35",6,6,6,47
"36",6,6,6,5
"37",6,6,6,28
"38",6,6,6,32
"39",6,6,6,46
"40",6,6,6,48
"41",6,6,6,4
"42",6,6,6,25
"43",6,6,6,26
"44",6,6,6,39
"45",6,6,6,43
"46",6,6,6,30
"47",6,6,6,32
"48",6,6,6,41
"49",6,6,6,46
"50",6,6,6,50
"51",6,6,6,3
"52",6,6,6,7
"53",6,6,6,8
"54",6,6,6,12
"55",6,6,6,30
"56",6,6,6,5
"57",6,6,6,10
"58",6,6,6,17
"59",6,6,6,29
"60",6,6,6,33
"61",6,6,6,4
"62",6,6,6,6
"63",6,6,6,15
"64",6,6,6,24
"65",6,6,6,34
"66",6,6,6,4
"67",6,6,6,32
"68",6,6,6,33
"69",6,6,6,34
"70",6,6,6,49
"71",6,6,6,3
"72",6,6,6,15
"73",6,6,6,20
"74",6,6,6,28
"75",6,6,6,35
"76",6,6,6,12
"77",6,6,6,16
"78",6,6,6,35
"79",6,6,6,41
"80",6,6,6,50
"81",6,6,6,9
"82",6,6,6,13
"83",6,6,6,27
"84",6,6,6,31
"85",6,6,6,50
"86",6,6,6,1
"87",6,6,6,6
"88",6,6,6,16
"89",6,6,6,20
"90",6,6,6,45
"91",6,6,6,5
"92",6,6,6,11
"93",6,6,6,13
"94",6,6,6,35
"95",6,6,6,39
"96",6,6,6,9
"97",6,6,6,13
"98",6,6,6,14
"99",6,6,6,24
"100",6,6,6,26
"101",6,6,6,3
"102",6,6,6,7
"103",6,6,6,8
"104",6,6,6,12
"105",6,6,6,30
"106",6,6,6,5
"107",6,6,6,10
"108",6,6,6,31
"109",6,6,6,38
"110",6,6,6,43
"111",6,6,6,5
"112",6,6,6,8
"113",6,6,6,27
"114",6,6,6,42
"115",6,6,6,49
"116",6,6,6,15
"117",6,6,6,26
"118",6,6,6,40
"119",6,6,6,43
"120",6,6,6,48
"121",6,6,6,5
"122",6,6,6,16
"123",6,6,6,23
"124",6,6,6,35
"125",6,6,6,50
"126",6,6,6,2
"127",6,6,6,14
"128",6,6,6,17
"129",6,6,6,41
"130",6,6,6,49
"131",6,6,6,9
"132",6,6,6,15
"133",6,6,6,37
"134",6,6,6,39
"135",6,6,6,49
"136",6,6,6,1
"137",6,6,6,32
"138",6,6,6,35
"139",6,6,6,44
"140",6,6,6,45
"141",6,6,6,9
"142",6,6,6,10
"143",6,6,6,15
"144",6,6,6,17
"145",6,6,6,35
"146",6,6,6,17
"147",6,6,6,22
"148",6,6,6,30
"149",6,6,6,41
"150",6,6,6,50
"151",6,6,6,3
"152",6,6,6,7
"153",6,6,6,8
"154",6,6,6,12
"155",6,6,6,30
"156",6,6,6,4
"157",6,6,6,26
"158",6,6,6,29
"159",6,6,6,41
"160",6,6,6,46
"161",6,6,6,16
"162",6,6,6,30
"163",6,6,6,33
"164",6,6,6,47
"165",6,6,6,50
"166",6,6,6,10
"167",6,6,6,22
"168",6,6,6,26
"169",6,6,6,42
"170",6,6,6,44
"171",6,6,6,5
"172",6,6,6,25
"173",6,6,6,29
"174",6,6,6,35
"175",6,6,6,39
"176",6,6,6,22
"177",6,6,6,23
"178",6,6,6,26
"179",6,6,6,37
"180",6,6,6,47
"181",6,6,6,20
"182",6,6,6,25
"183",6,6,6,36
"184",6,6,6,47
"185",6,6,6,48
"186",6,6,6,1
"187",6,6,6,3
"188",6,6,6,5
"189",6,6,6,23
"190",6,6,6,40
"191",6,6,6,27
"192",6,6,6,29
"193",6,6,6,33
"194",6,6,6,49
"195",6,6,6,50
"196",6,6,6,11
"197",6,6,6,20
"198",6,6,6,24
"199",6,6,6,26
"200",6,6,6,30
"201",6,6,6,3
"202",6,6,6,7
"203",6,6,6,8
"204",6,6,6,12
"205",6,6,6,30
"206",6,6,6,8
"207",6,6,6,13
"208",6,6,6,22
"209",6,6,6,24
"210",6,6,6,29
"211",6,6,6,2
"212",6,6,6,4
"213",6,6,6,12
"214",6,6,6,33
"215",6,6,6,39
"216",6,6,6,5
"217",6,6,6,18
"218",6,6,6,20
"219",6,6,6,32
"220",6,6,6,50
"221",6,6,6,18
"222",6,6,6,19
"223",6,6,6,35
"224",6,6,6,42
"225",6,6,6,48
"226",6,6,6,9
"227",6,6,6,31
"228",6,6,6,40
"229",6,6,6,45
"230",6,6,6,49
"231",6,6,6,17
"232",6,6,6,28
"233",6,6,6,39
"234",6,6,6,40
"235",6,6,6,49
"236",6,6,6,32
"237",6,6,6,35
"238",6,6,6,37
"239",6,6,6,43
"240",6,6,6,49
"241",6,6,6,2
"242",6,6,6,3
"243",6,6,6,15
"244",6,6,6,17
"245",6,6,6,25
"246",6,6,6,8
"247",6,6,6,15
"248",6,6,6,28
"249",6,6,6,36
"250",6,6,6,39
